Species,NCBI Taxon ID,Order,Family,Genus
European roller astrovirus,2565896,Stellavirales,Astroviridae,
Puffin papillomavirus 1,2562557,Zurhausenvirales,Papillomaviridae,
Duck papillomavirus 3,2562546,Zurhausenvirales,Papillomaviridae,
Gull papillomavirus 1,2562547,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 2,2562551,Zurhausenvirales,Papillomaviridae,
Gull papillomavirus 2,2562548,Zurhausenvirales,Papillomaviridae,
Gull papillomavirus 3,2562549,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 1,2562550,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 3,2562552,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 4,2562553,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 5,2562554,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 6,2562555,Zurhausenvirales,Papillomaviridae,
Kittiwake papillomavirus 7,2562556,Zurhausenvirales,Papillomaviridae,
Chicken circovirus SDWF,2518641,Cirlivirales,Circoviridae,
Bubo bubo herpesvirus,2489502,Herpesvirales,,
Avocet calicivirus,2212749,Picornavirales,Caliciviridae,
Avocet picornavirus,2212755,Picornavirales,,
Avocet picornavirus B,2212790,Durnavirales,Picobirnaviridae,
Duck calicivirus,2212758,Picornavirales,Caliciviridae,
Duck rhabdovirus,2212761,Mononegavirales,Rhabdoviridae,
Ruddy turnstone calicivirus A,2212768,Picornavirales,Caliciviridae,
Ruddy turnstone calicivirus B,2212769,Picornavirales,Caliciviridae,
Shelduck calicivirus,2212776,Picornavirales,Caliciviridae,
Shelduck picobirnavirus I,2212779,Durnavirales,Picobirnaviridae,
Shelduck picobirnavirus II,2212780,Durnavirales,Picobirnaviridae,
Shelduck picobirnavirus III,2212781,Durnavirales,Picobirnaviridae,
Shelduck rhabdovirus,2212784,Mononegavirales,Rhabdoviridae,
Chicken chapparvovirus 1,2109366,Piccovirales,Parvoviridae,
Hepatitis E virus,291484,Hepelivirales,Hepeviridae,
Duck parvovirus NM100,1941434,Piccovirales,Parvoviridae,
Culex negev-like virus 3,2010275,,,
RNA virus sp.,2217650,,,
Justusliebigvirus phi92,2956041,,,Justusliebigvirus
Antarctic picorna-like virus,2184269,Picornavirales,,
Strigid herpesvirus 1,2171489,Herpesvirales,Orthoherpesviridae,
Phacovirus sp.,2108520,Picornavirales,Picornaviridae,
unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,2115844,Mononegavirales,Paramyxoviridae,
Cacatuid alphaherpesvirus 1,2115842,Herpesvirales,Orthoherpesviridae,
Podargid alphaherpesvirus 1,2115843,Herpesvirales,Orthoherpesviridae,
Circoviridae TaCV1,2094724,Cirlivirales,Circoviridae,
Circoviridae TaCV2,2094725,Cirlivirales,Circoviridae,
Neotropic cormorant herpesvirus,2086349,Herpesvirales,Orthoherpesviridae,
Crahelivirus A,2734526,Picornavirales,Picornaviridae,Crahelivirus
Chaphamaparvovirus gruiform1,3059865,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus gruiform2,3059866,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus gruiform3,3059867,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus gruiform4,3059868,Piccovirales,Parvoviridae,Chaphamaparvovirus
Kestrel picornavirus,1964371,Picornavirales,Picornaviridae,
Chicken picornavirus UCC13,1839669,Picornavirales,Picornaviridae,
Chicken proventriculitis virus,1566005,Picornavirales,Picornaviridae,
Jingmen toti-like virus 1,1923352,,,
Jingmen birna-like virus,1923347,,,
Jingmen picobirna-like virus 1,1923349,,,
Jingmen bunya-like virus 1,1923348,,,
Jingmen ascaridia virus 1,1923346,,,
Avihepevirus egretti,2955389,Hepelivirales,Hepeviridae,Avihepevirus
Penguin herpesvirus 1,1615847,Herpesvirales,,
Poecivirus RBNH-12,1871151,Picornavirales,Picornaviridae,
Poecivirus RBNH-929,1871152,Picornavirales,Picornaviridae,
Poecivirus NOCR-848,1871150,Picornavirales,Picornaviridae,
Poecivirus NOCR-674,1871149,Picornavirales,Picornaviridae,
Duck papillomavirus,1867231,Zurhausenvirales,Papillomaviridae,
Penguin herpesvirus 2,1770252,Herpesvirales,Orthoherpesviridae,
Chicken picornavirus,1819751,Picornavirales,Picornaviridae,
Turkey picornavirus,1819752,Picornavirales,Picornaviridae,
Goose-dominant Coronavirus,1649335,Nidovirales,Coronaviridae,
Thalassarchid herpesvirus 1,1770233,Herpesvirales,,
Anativirus B,2734519,Picornavirales,Picornaviridae,Anativirus
Phacovirus BY/PhV,1766560,Picornavirales,Picornaviridae,
Phacovirus GT/PhV,1766563,Picornavirales,Picornaviridae,
Phacovirus TR/PhV,1766566,Picornavirales,Picornaviridae,
Phacovirus NG/PhV,1766564,Picornavirales,Picornaviridae,
Phacovirus VG/PhV,1766567,Picornavirales,Picornaviridae,
Phacovirus CAB/PhV,1766561,Picornavirales,Picornaviridae,
Phacovirus DM/PhV,1766562,Picornavirales,Picornaviridae,
Astrovirus black-naped monarch/Cambodia/2010,1752874,Stellavirales,Astroviridae,
Akhtuba virus,1539747,Bunyavirales,Peribunyaviridae,
Astrovirus HK-2014,1566335,Stellavirales,Astroviridae,
Chicken picornavirus HK-2014,1566337,Picornavirales,Picornaviridae,
Astrovirus Er/BMTK529/HUN/2011,1671381,Stellavirales,Astroviridae,
Sulid herpesvirus 1,1638619,Herpesvirales,Orthoherpesviridae,
Astrovirus Pygoscelis/DT/2012,1586002,Stellavirales,Astroviridae,
Gallid herpesvirus,39566,Herpesvirales,,
shorebird astrovirus,1344564,Stellavirales,Astroviridae,
shorebird coronavirus,1344565,Nidovirales,Coronaviridae,
Eurasian oystercatcher coronavirus,1446361,Nidovirales,Coronaviridae,
BeAn 157575 virus,1272938,Mononegavirales,Rhabdoviridae,
Kannamangalam virus,1272944,Mononegavirales,Rhabdoviridae,
Navarro virus,1272950,Mononegavirales,Rhabdoviridae,
Guinea fowl circovirus,1267906,Cirlivirales,Circoviridae,
Cygnet River virus,1151044,Articulavirales,Orthomyxoviridae,
Small anellovirus,393049,,Anelloviridae,
Astrovirus CDB-2012,1166568,Stellavirales,Astroviridae,
Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,1049185,Mononegavirales,Paramyxoviridae,
Picornavirus chicken/CHK1/USA/2010,990662,Picornavirales,Picornaviridae,
Picornavirus chicken/CHK165/USA/2010,990664,Picornavirales,Picornaviridae,
Picornavirus chicken/CHK168/USA/2010,990665,Picornavirales,Picornaviridae,
Picornavirus chicken/CHK175/USA/2010,990666,Picornavirales,Picornaviridae,
Picornavirus turkey/TRK24/USA/2010,990668,Picornavirales,Picornaviridae,
Picornavirus turkey/TRK90/USA/2010,990669,Picornavirales,Picornaviridae,
Picornavirus turkey/TRK91/USA/2010,990670,Picornavirales,Picornaviridae,
Picornavirus chicken/CHK148/USA/2010,990663,Picornavirales,Picornaviridae,
Picornavirus turkey/TRK22/USA/2010,990667,Picornavirales,Picornaviridae,
Pigeon picornavirus A,928290,Picornavirales,Picornaviridae,
Parvovirus partridge/PA147/ITA/2008,995017,Piccovirales,Parvoviridae,
Fregata magnificens herpesvirus,576892,Herpesvirales,Orthoherpesviridae,
Birnavirus sp.,41996,,Birnaviridae,
Calicivirus chicken/V0013/Bayern/2004,1001627,Picornavirales,Caliciviridae,
Calicivirus chicken/V0027/Bayern/2004,1001628,Picornavirales,Caliciviridae,
Herpesvirus goose/GAV08/Poland/2008,936150,Herpesvirales,,
Common buzzard alphaherpesvirus,690691,Herpesvirales,Orthoherpesviridae,
Duck hepatitis virus AP,464094,Picornavirales,Picornaviridae,
Coronavirus Anas/p71/2005/GBR,643397,Nidovirales,Coronaviridae,
Coronavirus red knot/p60/2006/GBR,643398,Nidovirales,Coronaviridae,
Coronavirus oystercatcher/p17/2006/GBR,643399,Nidovirales,Coronaviridae,
Coronavirus Anas/p42/2005/GBR,643400,Nidovirales,Coronaviridae,
Quail coronavirus Italy/Elvia/2005,431320,Nidovirales,Coronaviridae,
Chicken enteric coronavirus,229103,Nidovirales,Coronaviridae,
Parrot coronavirus AV71/99,352849,Nidovirales,Coronaviridae,
Vulture herpesvirus,285986,Herpesvirales,Orthoherpesviridae,
Reovirus sp.,10891,Reovirales,,
IC4 retrovirus,36381,Ortervirales,Retroviridae,
JDV virus,12521,,,
