,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
2438,Chestnut teal chaphamaparvovirus 1,Anas castanea,1,1,0,0
2439,Chestnut teal chaphamaparvovirus 2,Anas castanea,1,1,0,0
2440,Chestnut teal chaphamaparvovirus 3,Anas castanea,1,1,0,0
2441,Chestnut teal chaphamaparvovirus,Anas castanea,48,48,0,0
2442,Wood duck chaphamaparvovirus,Chenonetta jubata,18,18,0,0
2443,Grey teal chaphamaparvovirus,Anas gracilis,4,4,0,0
2444,Chestnut teal aalivirus,Anas castanea,5,5,0,0
2445,Chestnut teal megrivirus,Anas castanea,2,2,0,0
2446,Chestnut teal sicinivirus-like virus,Anas castanea,1,1,0,0
2447,Pacific black duck sicinivirus-like virus,Anas superciliosa,2,2,0,0
2448,Pacific black duck aalivirus,Anas superciliosa,3,3,0,0
2449,Pacific black duck anativirus-like virus,Anas superciliosa,1,1,0,0
2450,Pacific black duck megrivirus,Anas superciliosa,6,6,0,0
2451,Wood duck megrivirus,Chenonetta jubata,7,7,0,0
2452,Orthoavulavirus javaense,Pica,1,1,0,0
2453,Adenoviridae sp.,Aves,7,7,0,0
2454,Parvoviridae sp.,Acanthis flammea,1,1,0,0
2455,Caliciviridae sp.,Aves,11,11,0,0
2456,Deltacoronavirus sp.,Aves,5,5,0,0
2457,Retroviridae sp.,Aves,1,1,0,0
2458,Reticuloendotheliosis virus,Tragopan caboti,2,2,0,0
2459,Picornavirales sp.,Anser indicus,6,6,0,0
2460,Picornavirales sp.,Emberiza chrysophrys,1,1,0,0
2461,Picornavirales sp.,Phoenicurus auroreus,3,3,0,0
2462,Dependoparvovirus sp.,Aves,13,13,0,0
2463,Gemycircularvirus sp.,Gallus gallus,1,1,0,0
2464,Duck hepacivirus,Anatidae,4,4,0,0
2465,Alphainfluenzavirus influenzae,Buteo rufofuscus,8,8,0,0
2466,Alphainfluenzavirus influenzae,Phalacrocorax capensis,8,8,0,0
2467,Alphainfluenzavirus influenzae,Microcarbo coronatus,8,8,0,0
2468,Alphainfluenzavirus influenzae,Haematopus moquini,8,8,0,0
2469,Avipoxvirus 1130,Calypte anna,1,1,0,0
2470,Owl adenovirus Aichi10341,Megascops choliba,1,1,0,0
2471,Astroviridae sp.,Aves,36,36,0,10
2472,Riboviria sp.,Lanius cristatus,4,4,0,0
2473,Riboviria sp.,Zosterops erythropleurus,4,4,0,0
2474,Picornavirales sp.,Emberiza spodocephala,1,1,0,0
2475,Picornavirales sp.,Fringilla montifringilla,1,1,0,0
2476,Picornavirales sp.,Lanius cristatus,4,4,0,0
2477,Picornavirales sp.,Phoenicopteridae,1,1,0,0
2478,Picornavirales sp.,Ramphastos,1,1,0,0
2479,Picornavirales sp.,Zosterops erythropleurus,1,1,0,0
2480,Picornavirales sp.,Pavo cristatus,2,2,0,0
2481,Totiviridae sp.,Aegithalos caudatus,2,2,0,1
2482,Totiviridae sp.,Lanius cristatus,2,2,0,0
2483,Totiviridae sp.,Motacilla cinerea,1,1,0,0
2484,Totiviridae sp.,Phoenicopteridae,1,1,0,0
2485,Totiviridae sp.,Phylloscopus inornatus,2,2,0,1
2486,Picornavirales sp.,Periparus ater,1,1,0,0
2487,Picornavirales sp.,Phylloscopus fuscatus,2,2,0,0
2488,Riboviria sp.,Anser indicus,2,2,0,0
2489,Riboviria sp.,Pavo cristatus,2,2,0,0
2490,Parvoviridae sp.,Aves,26,26,0,0
2491,Parvoviridae sp.,Carpodacus erythrinus,2,2,0,0
2492,Dependoparvovirus sp.,Phylloscopus proregulus,1,1,0,0
2493,Dependoparvovirus sp.,Anser albifrons,1,1,0,0
2494,Aveparvovirus sp.,Emberiza tristrami,1,1,0,0
2495,Aveparvovirus sp.,Ficedula parva,1,1,0,0
2496,Dependoparvovirus sp.,Cecropis daurica,1,1,0,0
2497,Dependoparvovirus sp.,Anser indicus,2,2,0,0
2498,Picornavirales sp.,Balearica pavonina,1,1,0,0
2499,Picornavirales sp.,Syrmaticus reevesii,1,1,0,0
2500,Totiviridae sp.,Zosterops erythropleurus,2,2,0,0
2501,Totiviridae sp.,Grus japonensis,1,1,0,0
2502,Totiviridae sp.,Tadorna ferruginea,1,1,0,0
2503,Riboviria sp.,Egretta garzetta,1,1,0,0
2504,Orthobornavirus alphapsittaciforme,Poicephalus robustus,1,1,0,0
2505,Orthobornavirus alphapsittaciforme,Aratinga jandaya,5,5,0,0
2506,Orthoflavivirus nilense,Pluvialis apricaria,1,1,0,1
2507,Orthoflavivirus nilense,Phoenicoparrus andinus,1,1,0,1
2508,Orthoflavivirus nilense,Trichoglossus haematodus,1,1,0,1
2509,Orthoflavivirus nilense,Spheniscus humboldti,1,1,0,1
2510,Paraavulavirus hongkongense,Aves,13,13,0,1
2511,Rotavirus A,Columba,11,11,0,11
2512,Picornaviridae sp.,Cygnus atratus,2,2,0,0
2513,Picornaviridae sp.,Emberiza chrysophrys,3,3,0,0
2514,Picornaviridae sp.,Lanius cristatus,1,1,0,0
2515,Picornaviridae sp.,Phylloscopus inornatus,3,3,0,0
2516,Totiviridae sp.,Fringilla montifringilla,1,1,0,0
2517,Totiviridae sp.,Phylloscopus fuscatus,1,1,0,0
2518,Parvoviridae sp.,Anser albifrons,1,1,0,0
2519,Parvoviridae sp.,Emberiza pusilla,1,1,0,0
2520,Parvoviridae sp.,Psittacidae,4,4,0,0
2521,Parvoviridae sp.,Deroptyus accipitrinus,1,1,0,0
2522,Parvoviridae sp.,Tarsiger cyanurus,1,1,0,0
2523,Parvoviridae sp.,Anser indicus,9,9,0,0
2524,Parvoviridae sp.,Tadorna ferruginea,1,1,0,0
2525,Parvoviridae sp.,Emberiza rustica,5,5,0,0
2526,Dependoparvovirus sp.,Dendrocopos leucotos,1,1,0,0
2527,Parvoviridae sp.,Emberiza elegans,1,1,0,0
2528,Parvoviridae sp.,Phylloscopus schwarzi,1,1,0,0
2529,Parvoviridae sp.,Cecropis daurica,2,2,0,0
2530,Parvoviridae sp.,Larvivora sibilans,2,2,0,0
2531,Parvoviridae sp.,Emberiza chrysophrys,3,3,0,0
2532,Parvoviridae sp.,Spinus spinus,2,2,0,0
2533,Parvoviridae sp.,Turdus naumanni,2,2,0,0
2534,Parvoviridae sp.,Grus grus,2,2,0,0
2535,Parvoviridae sp.,Antigone vipio,1,1,0,0
2536,Parvoviridae sp.,Egretta garzetta,2,2,0,0
2537,Parvoviridae sp.,Pavo cristatus,1,1,0,0
2538,Parvoviridae sp.,Streptopelia turtur,2,2,0,0
2539,Picornaviridae sp.,Prunella montanella,3,3,0,0
2540,Picornaviridae sp.,Pavo cristatus,1,1,0,0
2541,Picornaviridae sp.,Anser albifrons,3,3,0,0
2542,Picornaviridae sp.,Phylloscopus fuscatus,1,1,0,0
2543,Picornaviridae sp.,Phylloscopus coronatus,2,2,0,0
2544,Picornaviridae sp.,Ficedula parva,1,1,0,0
2545,Picornaviridae sp.,Turdus hortulorum,2,2,0,0
2546,Picornaviridae sp.,Ficedula mugimaki,2,2,0,0
2547,Picornaviridae sp.,Sitta europaea,1,1,0,0
2548,Picornaviridae sp.,Syrmaticus reevesii,1,1,0,0
2549,Picornaviridae sp.,Phylloscopus proregulus,1,1,0,0
2550,Picornaviridae sp.,Lophura nycthemera,1,1,0,0
2551,Picornaviridae sp.,Tarsiger cyanurus,2,2,0,0
2552,Picornaviridae sp.,Passer,2,2,0,0
2553,Picornaviridae sp.,Calliope calliope,1,1,0,0
2554,Picornaviridae sp.,Turdus pallidus,1,1,0,0
2555,Picornaviridae sp.,Numida meleagris,2,2,0,0
2556,Picornaviridae sp.,Chrysolophus amherstiae,1,1,0,0
2557,Picornaviridae sp.,Grus grus,1,1,0,0
2558,Picornaviridae sp.,Dendrocopos leucotos,2,2,0,1
2559,Picornaviridae sp.,Anser indicus,3,3,0,0
2560,Parvoviridae sp.,Eophona migratoria,2,2,0,0
2561,Chicken circovirus 2,Gallus gallus,1,1,0,1
2562,Chicken circovirus 3,Gallus gallus,1,1,0,0
2563,Orthoavulavirus javaense,Cairina moschata,19,19,0,5
2564,Atadenovirus sp.,Ptilonorhynchus violaceus,1,1,0,0
2565,Psittacine siadenovirus 1,Aratinga solstitialis,1,1,0,1
2566,Onychoprion fuscatus alphaherpesvirus 1,Onychoprion fuscatus,1,1,0,0
2567,Corvid orthoreovirus,Corvus brachyrhynchos,10,10,0,10
2568,Chatham orthoreovirus,Melanerpes carolinus,10,10,0,10
2569,Psittacid herpesvirus 3,Psittacula krameri,1,1,0,0
2570,Avipoxvirus Japanese cormorant/Yamanashi/2017,Phalacrocorax capillatus,1,1,0,0
2571,Avipoxvirus Japanese cormorant/Yamanashi/2019,Phalacrocorax capillatus,1,1,0,0
2572,Picornavirales sp.,Cyanopica cyanus,1,1,0,0
2573,Picornavirales sp.,Ficedula mugimaki,3,3,0,0
2574,Picornavirales sp.,Sitta europaea,3,3,0,0
2575,Picornavirales sp.,Poecile palustris,1,1,0,0
2576,Picornavirales sp.,Parus major,2,2,0,0
2577,Picornavirales sp.,Motacilla,1,1,0,0
2578,Circoviridae sp.,Anser albifrons,3,3,0,3
2579,Circoviridae sp.,Turdus naumanni,1,1,0,1
2580,Circoviridae sp.,Phoenicopteridae,1,1,0,1
2581,Circoviridae sp.,Antigone vipio,1,1,0,1
2582,Circoviridae sp.,Gruidae,1,1,0,1
2583,Circoviridae sp.,Psittacidae,1,1,0,1
2584,Circoviridae sp.,Otis tarda,1,1,0,1
2585,Cressdnaviricota sp.,Grus japonensis,2,2,0,2
2586,Cressdnaviricota sp.,Phoenicopteridae,18,18,0,18
2587,Cressdnaviricota sp.,Pavo cristatus,3,3,0,3
2588,Cressdnaviricota sp.,Lanius cristatus,3,3,0,3
2589,Cressdnaviricota sp.,Turdus naumanni,1,1,0,1
2590,Cressdnaviricota sp.,Phoenicurus auroreus,3,3,0,3
2591,Cressdnaviricota sp.,Gruidae,2,2,0,2
2592,Cressdnaviricota sp.,Prunella montanella,3,3,0,3
2593,Cressdnaviricota sp.,Anser albifrons,1,1,0,1
2594,Totiviridae sp.,Phylloscopus coronatus,1,1,0,0
2595,Totiviridae sp.,Ficedula parva,1,1,0,1
2596,Totiviridae sp.,Phylloscopus proregulus,1,1,0,1
2597,Totiviridae sp.,Tarsiger cyanurus,1,1,0,1
2598,Totiviridae sp.,Emberiza tristrami,1,1,0,0
2599,Totiviridae sp.,Motacilla,1,1,0,0
2600,Totiviridae sp.,Phylloscopus,1,1,0,0
2601,Picornavirales sp.,Emberiza tristrami,1,1,0,0
2602,Hepeviridae sp.,Aves,7,7,0,0
2603,Circoviridae sp.,Aves,12,12,0,0
2604,Smacoviridae sp.,Aves,10,10,0,0
2605,Genomoviridae sp.,Aves,4,4,0,0
2606,Weivirus-like virus sp.,Grus japonensis,2,2,0,0
2607,Aveparvovirus sp.,Aves,7,7,0,7
2608,Parvovirus NIH-CQV,Lanius cristatus,1,1,0,0
2609,Parvovirus NIH-CQV,Grus japonensis,1,1,0,0
2610,Parvovirus NIH-CQV,Phoenicopteridae,1,1,0,0
2611,Parvovirus NIH-CQV,Phoenicurus auroreus,1,1,0,0
2612,Parvovirus NIH-CQV,Aratinga nenday,1,1,0,0
2613,Chapparvovirus sp.,Tarsiger cyanurus,1,1,0,0
2614,Parvovirus NIH-CQV,Lophura nycthemera,1,1,0,0
2615,Chapparvovirus sp.,Cecropis daurica,1,1,0,0
2616,Parvovirus NIH-CQV,Larvivora sibilans,1,1,0,0
2617,Parvovirus NIH-CQV,Cygnus columbianus,1,1,0,0
2618,Weivirus-like virus sp.,Phylloscopus proregulus,1,1,0,0
2619,Weivirus-like virus sp.,Phylloscopus,1,1,0,0
2620,Weivirus-like virus sp.,Phoenicopteridae,2,2,0,0
2621,Phlebovirus toscanaense,Galliformes,4,4,0,0
2622,Phlebovirus toscanaense,Perdicinae,6,6,0,0
2623,Phlebovirus toscanaense,Anatidae,6,6,0,0
2624,Phlebovirus toscanaense,Columbidae,2,2,0,0
2625,Alphainfluenzavirus influenzae,Alopochen aegyptiaca,66,66,0,0
2626,Orthoflavivirus nilense,Prunella modularis,1,1,0,1
2627,Alphainfluenzavirus influenzae,Copsychus,40,40,0,0
2628,Metaavulavirus hongkongense,Gallus gallus,1,1,0,0
2629,Orthoavulavirus javaense,Anser cygnoides domesticus,1,1,0,0
2630,Metaavulavirus hongkongense,Anser cygnoides domesticus,1,1,0,0
2631,Avibirnavirus gumboroense,Gallus,4,4,0,0
2632,Dependoparvovirus avian1,Gallus gallus,6,6,0,3
2633,Weivirus-like virus sp.,Cygnus columbianus,1,1,0,1
2634,Picornaviridae sp.,Aegithalos caudatus,1,1,0,1
2635,Picornaviridae sp.,Poecile palustris,1,1,0,1
2636,Protoparvovirus sp.,Struthio camelus,1,1,0,1
2637,Reticuloendotheliosis virus,Cairina moschata,9,9,0,2
2638,Avian leukosis virus,Crax fasciolata,1,1,0,0
2639,Orthoavulavirus javaense,Primolius maracana,2,2,0,0
2640,Gentoo penguin virus,Pygoscelis papua,1,1,0,0
2641,Shackleton virus,Pygoscelis papua,4,4,0,0
2642,Amundsen virus,Pygoscelis antarcticus,2,2,0,0
2643,Wendell virus,Pygoscelis antarcticus,1,1,0,0
2644,Oates virus,Pygoscelis antarcticus,1,1,0,0
2645,Scott virus,Pygoscelis antarcticus,1,1,0,0
2646,Ross virus,Pygoscelis antarcticus,1,1,0,0
2647,Orthoavulavirus borisense,Pygoscelis adeliae,2,2,0,0
2648,Shirase virus,Pygoscelis adeliae,3,3,0,0
2649,Mawson virus,Pygoscelis adeliae,2,2,0,0
2650,Wilkes virus,Pygoscelis adeliae,1,1,0,0
2651,Hilary virus,Pygoscelis adeliae,1,1,0,0
2652,Schouten virus,Pygoscelis papua,1,1,0,0
2653,Gerritsz virus,Pygoscelis papua,1,1,0,0
2654,Tyabin virus,Pygoscelis papua,1,1,0,0
2655,Driatsky virus,Pygoscelis papua,1,1,0,0
2656,Mott virus,Pygoscelis antarcticus,1,1,0,0
2657,Somov virus,Pygoscelis antarcticus,1,1,0,0
2658,Rymill virus,Pygoscelis antarcticus,1,1,0,0
2659,Ellsworth virus,Pygoscelis antarcticus,1,1,0,0
2660,Nordenskjold virus,Pygoscelis antarcticus,1,1,0,0
2661,Smith virus,Pygoscelis antarcticus,1,1,0,0
2662,Halley virus,Pygoscelis antarcticus,1,1,0,0
2663,Vespucci virus,Pygoscelis antarcticus,1,1,0,0
2664,Kagge virus,Pygoscelis antarcticus,1,1,0,0
2665,Raina virus,Pygoscelis antarcticus,1,1,0,0
2666,Stroud virus,Pygoscelis antarcticus,1,1,0,0
2667,Petrov virus,Pygoscelis antarcticus,1,1,0,0
2668,Maksutov virus,Pygoscelis antarcticus,1,1,0,0
2669,Dubrovin virus,Pygoscelis antarcticus,1,1,0,0
2670,Treshnikov virus,Pygoscelis antarcticus,1,1,0,0
2671,Luncke virus,Pygoscelis antarcticus,1,1,0,0
2672,Dralkin virus,Pygoscelis antarcticus,1,1,0,0
2673,Tolstikov virus,Pygoscelis antarcticus,1,1,0,0
2674,Tarbeyev virus,Pygoscelis antarcticus,1,1,0,0
2675,Serdyukov virus,Pygoscelis antarcticus,1,1,0,0
2676,Kornilov virus,Pygoscelis antarcticus,1,1,0,0
2677,Sedov virus,Pygoscelis antarcticus,1,1,0,0
2678,Fuchs virus,Pygoscelis antarcticus,1,1,0,0
2679,Bruce virus,Pygoscelis antarcticus,1,1,0,0
2680,Balleny virus,Pygoscelis antarcticus,1,1,0,0
2681,Ptolmey virus,Pygoscelis antarcticus,1,1,0,0
2682,Ui-te-Rangiora virus,Pygoscelis antarcticus,1,1,0,0
2683,de Kerguelen virus,Pygoscelis antarcticus,1,1,0,0
2684,Magellan virus,Pygoscelis antarcticus,1,1,0,0
2685,Coelho virus,Pygoscelis antarcticus,1,1,0,0
2686,Palmer virus,Pygoscelis antarcticus,1,1,0,0
2687,Shelvocke virus,Pygoscelis antarcticus,1,1,0,0
2688,Artemyev virus,Pygoscelis antarcticus,1,1,0,0
2689,Korotkevich virus,Pygoscelis antarcticus,1,1,0,0
2690,Lawrence virus,Pygoscelis antarcticus,1,1,0,0
2691,Krenkel virus,Pygoscelis antarcticus,1,1,0,0
2692,Averyanov virus,Pygoscelis antarcticus,1,1,0,0
2693,Khabarov virus,Pygoscelis antarcticus,2,2,0,0
2694,Bardin virus,Pygoscelis antarcticus,1,1,0,0
2695,Ketchum virus,Pygoscelis adeliae,1,1,0,0
2696,Mella virus,Pygoscelis adeliae,1,1,0,0
2697,Cope virus,Pygoscelis adeliae,1,1,0,0
2698,Cooper virus,Pygoscelis adeliae,1,1,0,0
2699,Tunzelmann virus,Pygoscelis adeliae,1,1,0,0
2700,O'Leary virus,Pygoscelis adeliae,1,1,0,0
2701,Marr virus,Pygoscelis adeliae,1,1,0,0
2702,Halvorsen virus,Pygoscelis adeliae,1,1,0,0
2703,Charcot virus,Pygoscelis adeliae,1,1,0,0
2704,Biscoe virus,Pygoscelis adeliae,1,1,0,0
2705,le Maire virus,Pygoscelis adeliae,1,1,0,0
2706,la Roche virus,Pygoscelis adeliae,1,1,0,0
2707,d'Urville virus,Pygoscelis adeliae,1,1,0,0
2708,de Lozier virus,Pygoscelis adeliae,1,1,0,0
2709,Varley virus,Pygoscelis adeliae,1,1,0,0
2710,Telmo virus,Pygoscelis adeliae,1,1,0,0
2711,Cook virus,Pygoscelis adeliae,1,1,0,0
2712,Davis virus,Pygoscelis adeliae,1,1,0,0
2713,Bransfield virus,Pygoscelis adeliae,1,1,0,0
2714,Bellingshausen virus,Pygoscelis adeliae,1,1,0,0
2715,Senko virus,Pygoscelis adeliae,1,1,0,0
2716,Riiser virus,Pygoscelis adeliae,1,1,0,0
2717,Christensen virus,Pygoscelis adeliae,1,1,0,0
2718,Ousland virus,Pygoscelis adeliae,1,1,0,0
2719,Dryglaski virus,Pygoscelis adeliae,1,1,0,0
2720,Larsen virus,Pygoscelis adeliae,1,1,0,0
2721,Borchgrevink virus,Pygoscelis adeliae,1,1,0,0
2722,de Gerlache virus,Pygoscelis adeliae,1,1,0,0
2723,Kyst virus,Pygoscelis adeliae,1,1,0,0
2724,Byrd virus,Pygoscelis adeliae,1,1,0,0
2725,Filchner virus,Pygoscelis adeliae,1,1,0,0
2726,Dundee virus,Pygoscelis adeliae,1,1,0,0
2727,Powell virus,Pygoscelis adeliae,1,1,0,0
2728,Lazarev virus,Pygoscelis adeliae,1,1,0,0
2729,de Castilla virus,Pygoscelis adeliae,1,1,0,0
2730,de Nodal virus,Pygoscelis adeliae,1,1,0,0
2731,Drake virus,Pygoscelis adeliae,1,1,0,0
2732,Ostrekin virus,Pygoscelis adeliae,1,1,0,0
2733,Chicken virus mg4_280,Gallus gallus,1,1,0,1
2734,Chicken virus mg4_657,Gallus gallus,1,1,0,1
2735,Chicken virus mg4_1578,Gallus gallus,1,1,0,1
2736,Chicken virus mg4_2302,Gallus gallus,1,1,0,1
2737,Chicken virus mg5_2197,Gallus gallus,1,1,0,1
2738,Chicken virus mg5_2676,Gallus gallus,1,1,0,1
2739,Chicken virus mg6_2056,Gallus gallus,1,1,0,1
2740,Chicken virus mg8_273,Gallus gallus,1,1,0,1
2741,Chicken virus mg7_41u,Gallus gallus,1,1,0,1
2742,Chicken virus mg5_1345,Gallus gallus,1,1,0,1
2743,Chicken virus mg6_1197,Gallus gallus,1,1,0,1
2744,Chicken virus mg7_59,Gallus gallus,1,1,0,1
2745,Chicken virus mg8_324,Gallus gallus,1,1,0,1
2746,Chicken cyclovirus mg4_1122,Gallus gallus,1,1,0,1
2747,Chicken cyclovirus mg5_2967,Gallus gallus,1,1,0,1
2748,Chicken cyclovirus mg7_102,Gallus gallus,1,1,0,1
2749,Chicken genomovirus mg2_75,Gallus gallus,1,1,0,1
2750,Chicken genomovirus mg2_77,Gallus gallus,1,1,0,1
2751,Chicken genomovirus mg4_1107,Gallus gallus,1,1,0,1
2752,Chicken genomovirus mg4_1196,Gallus gallus,1,1,0,1
2753,Chicken genomovirus mg4_1210,Gallus gallus,1,1,0,1
2754,Chicken genomovirus mg4_1259,Gallus gallus,1,1,0,1
2755,Chicken genomovirus mg7_70,Gallus gallus,1,1,0,1
2756,Chicken genomovirus mg7_74,Gallus gallus,1,1,0,1
2757,Chicken genomovirus mg8_416,Gallus gallus,1,1,0,1
2758,Chicken genomovirus mg2_274u,Gallus gallus,1,1,0,1
2759,Chicken smacovirus mg2_55,Gallus gallus,1,1,0,1
2760,Chicken smacovirus mg5_1444,Gallus gallus,1,1,0,1
2761,Chicken smacovirus mg6_1052,Gallus gallus,1,1,0,1
2762,Chicken smacovirus mg7_57,Gallus gallus,1,1,0,1
2763,Chicken smacovirus mg8_345,Gallus gallus,1,1,0,1
2764,Sylvia atricapilla herpesvirus,Sylvia atricapilla,2,2,0,0
2765,Cyanistes caeruleus herpesvirus,Cyanistes caeruleus,1,1,0,0
2766,Alphainfluenzavirus influenzae,Gallinula chloropus,13,13,0,0
2767,Avipoxvirus sp.,Tarsiger cyanurus,2,2,0,0
2768,Avian bornavirus,Cacatua galerita,2,2,0,0
2769,Orthoavulavirus javaense,Numida meleagris,6,6,0,1
2770,Duck adenovirus,Anatidae,5,5,0,0
2771,Budgerigar adenovirus 1,Melopsittacus undulatus,2,2,0,0
2772,Avipoxvirus Japanese cormorant/Iwakuni/2017,Phalacrocorax capillatus,2,2,0,0
2773,Avipoxvirus Japanese cormorant/Miyoshi/2017,Phalacrocorax capillatus,2,2,0,0
2774,Orthoflavivirus nilense,Acrocephalus dumetorum,1,1,0,1
2775,Parvovirus AH0225,Anas platyrhynchos,1,1,0,0
2776,Orthoflavivirus tembusu,Anas,2,2,0,1
2777,RNA virus hoopoe/BBanka01/2015/HUN,Upupa epops,1,1,0,1
2778,Chicken astrovirus,Accipiter nisus,1,1,0,0
2779,Alphainfluenzavirus influenzae,Plegadis falcinellus,7,7,0,0
2780,Alphainfluenzavirus influenzae,Microcarbo niger,8,8,0,0
2781,Siadenovirus sp.,Taeniopygia guttata,5,5,0,0
2782,Atadenovirus sp.,Ploceus vitellinus,4,4,0,0
2783,Aviadenovirus sp.,Ploceus vitellinus,3,3,0,0
2784,Aviadenovirus sp.,Parus major,1,1,0,0
2785,Atadenovirus sp.,Turdus philomelos,1,1,0,0
2786,Siadenovirus sp.,Stizoptera bichenovii,1,1,0,0
2787,Atadenovirus sp.,Chloris chloris,1,1,0,0
2788,Atadenovirus sp.,Erithacus rubecula,1,1,0,0
2789,Aviadenovirus sp.,Carduelis carduelis,1,1,0,0
2790,Aviadenovirus sp.,Chloris chloris,1,1,0,0
2791,Siadenovirus sp.,Pyrrhula pyrrhula,1,1,0,0
2792,Siadenovirus sp.,Fringilla coelebs,1,1,0,0
2793,Siadenovirus sp.,Spinus spinus,1,1,0,0
2794,Orthoflavivirus loupingi,Lagopus lagopus scotica,3,3,0,3
2795,Cyvirus cyprinidallo3,Mareca strepera,1,1,0,0
2796,Alphainfluenzavirus influenzae,Linaria flavirostris,16,16,0,0
2797,Alphainfluenzavirus influenzae,Passer montanus,67,67,0,8
2798,Alphainfluenzavirus influenzae,Montifringilla henrici,8,8,0,0
2799,Circovirus duck,Cairina moschata,29,29,0,29
2800,Orthoavulavirus javaense,Ramphastos toco,1,1,0,1
2801,Alphainfluenzavirus influenzae,Motacilla alba,2,2,0,0
2802,Orthoavulavirus javaense,Passeriformes,3,3,0,0
2803,Orthoavulavirus javaense,Pycnonotus leucotis,3,3,0,0
2804,Orthoavulavirus javaense,Chlamydotis macqueenii,3,3,0,0
2805,Alphainfluenzavirus influenzae,Dendrocygna autumnalis,24,24,0,0
2806,Chimney swift adenovirus 1,Chaetura pelagica,1,1,0,0
2807,Gammapolyomavirus anseris,Anser anser domesticus,20,20,0,20
2808,Alphainfluenzavirus influenzae,Sturnus vulgaris,12,12,0,0
2809,Alphainfluenzavirus influenzae,Merops apiaster,1,1,0,0
2810,Pygoscepivirus A,Pygoscelis papua,1,1,0,1
2811,Avian polyomavirus,Aves,2,2,0,2
2812,Duck parvovirus NM4,Cairina moschata,1,1,0,1
2813,Alphainfluenzavirus influenzae,Anas platyrhynchos platyrhynchos,8,8,0,0
2814,Tropical screech owl adenovirus 1,Megascops choliba,1,1,0,0
2815,Smooth billed ani adenovirus 1,Crotophaga ani,1,1,0,0
2816,Siadenovirus sp.,Aratinga solstitialis,1,1,0,0
2817,Avian bornavirus,Pionus menstruus reichenowi,1,1,0,0
2818,Avian coronavirus,Anas bahamensis,3,3,0,0
2819,Avian coronavirus,Calidris fuscicollis,2,2,0,0
2820,Chicken circovirus 4,Gallus gallus,1,1,0,1
2821,Chicken circovirus 5,Gallus gallus,1,1,0,1
2822,Picobirnavirus sp.,Gallus gallus,1,1,0,0
2823,Alphainfluenzavirus influenzae,Anser caerulescens caerulescens,45,45,0,0
2824,Alphainfluenzavirus influenzae,Anas fulvigula,8,8,0,0
2825,Orthobornavirus alphapsittaciforme,Eolophus roseicapilla,7,7,0,0
2826,Orthobornavirus alphapsittaciforme,Psittacula alexandri,1,1,0,0
2827,Orthobornavirus alphapsittaciforme,Psittacula cyanocephala,1,1,0,0
2828,Orthobornavirus alphapsittaciforme,Psittacula himalayana,1,1,0,0
2829,Orthobornavirus alphapsittaciforme,Psittacula krameri,1,1,0,0
2830,Orthobornavirus alphapsittaciforme,Psephotellus varius,1,1,0,0
2831,Orthobornavirus alphapsittaciforme,Neophema splendida,1,1,0,0
2832,Magpiepox virus,Gymnorhina tibicen,1,1,0,1
2833,Siadenovirus sp.,Tyto alba,1,1,0,0
2834,Aviadenovirus sp.,Tyto alba,1,1,0,0
2835,Aviadenovirus sp.,Ninox boobook,1,1,0,0
2836,Murine mastadenovirus B,Ninox boobook,1,1,0,0
2837,Murine mastadenovirus B,Cacatua galerita,1,1,0,0
2838,Murine mastadenovirus B,Podargus strigoides,1,1,0,0
2839,Murine mastadenovirus B,Eolophus roseicapilla,1,1,0,0
2840,Siadenovirus sp.,Rhipidura albiscapa,1,1,0,0
2841,Aviadenovirus sp.,Chroicocephalus novaehollandiae,2,2,0,0
2842,Pigeon aviadenovirus B,Chroicocephalus novaehollandiae,1,1,0,0
2843,Siadenovirus sp.,Anthochaera chrysoptera,1,1,0,0
2844,Psittacine aviadenovirus C,Trichoglossus haematodus,1,1,0,0
2845,Siadenovirus sp.,Manorina melanocephala,3,3,0,0
2846,Siadenovirus sp.,Phylidonyris novaehollandiae,1,1,0,0
2847,Siadenovirus sp.,Acridotheres tristis,1,1,0,0
2848,Aviadenovirus sp.,Eopsaltria australis,1,1,0,0
2849,Aviadenovirus sp.,Falcunculus frontatus,1,1,0,0
2850,Siadenovirus sp.,Zosterops lateralis,1,1,0,0
2851,Siadenovirus sp.,Pardalotus punctatus,1,1,0,0
2852,Siadenovirus sp.,Malurus cyaneus,1,1,0,0
2853,Atadenovirus sp.,Cacatua galerita,1,1,0,0
2854,Atadenovirus sp.,Cacatua tenuirostris,1,1,0,0
2855,Atadenovirus sp.,Sturnus vulgaris,1,1,0,0
2856,Atadenovirus sp.,Chroicocephalus novaehollandiae,1,1,0,0
2857,Atadenovirus sp.,Threskiornis molucca,1,1,0,0
2858,Atadenovirus sp.,Anthochaera chrysoptera,1,1,0,0
2859,Atadenovirus sp.,Trichoglossus haematodus,1,1,0,0
2860,Atadenovirus sp.,Phylidonyris novaehollandiae,1,1,0,0
2861,Atadenovirus sp.,Manorina melanocephala,1,1,0,0
2862,Atadenovirus sp.,Malurus cyaneus,1,1,0,0
2863,Atadenovirus sp.,Zosterops lateralis,1,1,0,0
2864,Atadenovirus sp.,Neochmia temporalis,1,1,0,0
2865,Atadenovirus sp.,Ptilotula penicillata,2,2,0,0
2866,Orthoavulavirus javaense,Cygnus olor,8,8,0,0
