,Organism Name,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
15102,Influenza A virus (A/chicken/Shandong/wf12010/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15103,Influenza A virus (A/chicken/Shandong/wf0712/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15104,Influenza A virus (A/chicken/Shandong/wf0514/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15105,Influenza A virus (A/chicken/Shandong/wf0202/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15106,Influenza A virus (A/chicken/Shandong/qd1224/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15107,Influenza A virus (A/chicken/Shandong/qd1115/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15108,Influenza A virus (A/chicken/Shandong/qd1013/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15109,Influenza A virus (A/chicken/Shandong/qd0920/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15110,Influenza A virus (A/chicken/Shandong/qd0917/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15111,Influenza A virus (A/chicken/Shandong/qd0808/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15112,Influenza A virus (A/chicken/Shandong/qd0516/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15113,Influenza A virus (A/chicken/Shandong/qd0427/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15114,Influenza A virus (A/chicken/Shandong/qd0312/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15115,Influenza A virus (A/chicken/Shandong/qd0307/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15116,Influenza A virus (A/chicken/Shandong/qd0225/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15117,Influenza A virus (A/chicken/Shandong/qd01417/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15118,Influenza A virus (A/chicken/Shandong/qd0107/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15119,Influenza A virus (A/chicken/Shandong/lc0903/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15120,Influenza A virus (A/chicken/Shandong/lc0830/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15121,Influenza A virus (A/chicken/Shandong/lc0523/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15122,Influenza A virus (A/chicken/Shaanxi/xa0414/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15123,Influenza A virus (A/chicken/Liaoning/1116/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15124,Influenza A virus (A/chicken/Liaoning/0704/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15125,Influenza A virus (A/chicken/Liaoning/0517/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15126,Influenza A virus (A/chicken/Jilin/1031/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15127,Influenza A virus (A/chicken/Jilin/0519/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15128,Influenza A virus (A/chicken/Hebei/1024/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15129,Influenza A virus (A/chicken/Hebei/0721/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15130,Influenza A virus (A/chicken/Hebei/0109/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,1
15131,Influenza A virus (A/chicken/Beijing/16/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15132,Influenza A virus (A/chicken/Beijing/1115/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15133,Influenza A virus (A/chicken/Beijing/0512/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15134,Influenza A virus (A/chicken/Beijing/0331/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15135,Influenza A virus (A/chicken/Beijing/0311/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,1
15136,Influenza A virus (A/chicken/Beijing/0309/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15137,Influenza A virus (A/chicken/Shanghai/HY003/2014(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,2,2,0,2
15138,Influenza A virus (A/chicken/Shanghai/HY004/2014(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,2,2,0,2
15139,Influenza A virus (A/chicken/Shanghai/HY005/2014(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,2,2,0,2
15140,Influenza A virus (A/chicken/Shanghai/014/2014(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,8
15141,Influenza A virus (A/chicken/Shanghai/015/2014(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,8
15142,Influenza A virus (A/chicken/Fujian/01/2009(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15143,Influenza A virus (A/chicken/Jiangsu/07/2009(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15144,Influenza A virus (A/chicken/Henan/01/2009(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15145,Influenza A virus (A/chicken/Shandong/07/2009(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,2
15146,Influenza A virus (A/chicken/Anhui/02/2008(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15147,Influenza A virus (A/chicken/Shandong/03/2008(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15148,Influenza A virus (A/chicken/Guangdong/01/2008(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15149,Influenza A virus (A/chicken/Jiangsu/02/2008(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15150,Influenza A virus (A/chicken/Henan/12/2008(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15151,Influenza A virus (A/chicken/Jiangsu/03/2007(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15152,Influenza A virus (A/chicken/Henan/Z01/2007(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15153,Influenza A virus (A/chicken/Jiangsu/01/2007(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15154,Influenza A virus (A/chicken/Shandong/0613/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15155,Influenza A virus (A/chicken/Shandong/WF0513/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15156,Influenza A virus (A/chicken/Shandong/ZL1/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15157,Influenza A virus (A/chicken/Jiangsu/TM38/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15158,Influenza A virus (A/chicken/Jiangsu/TM55/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15159,Influenza A virus (A/chicken/Jiangsu/DD6/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15160,Influenza A virus (A/chicken/Jiangsu/XZ0616/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15161,Influenza A virus (A/chicken/Jiangsu/YZ0657/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15162,Influenza A virus (A/chicken/Jiangsu/YZLH3/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15163,Influenza A virus (A/chicken/Zhejiang/JX42/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15164,Influenza A virus (A/chicken/Jiangsu/XZ57/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15165,Influenza A virus (A/chicken/Jiangsu/WJ58/2012(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15166,Influenza A virus (A/chicken/Shandong/B2/2011(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15167,Influenza A virus (A/chicken/Jiangsu/SQ79/2011(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15168,Influenza A virus (A/chicken/Jiangsu/B20/2011(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15169,Influenza A virus (A/chicken/Jiangsu/YZ4/2011(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15170,Influenza A virus (A/chicken/Jiangsu/JT34/2011(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15171,Influenza A virus (A/chicken/Shandong/B1/2010(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15172,Influenza A virus (A/chicken/Beijing/B7/2010(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15173,Influenza A virus (A/chicken/Hebei/B5/2010(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15174,Influenza A virus (A/migratory duck/Jiangxi/30246/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15175,Influenza A virus (A/migratory duck/Jiangxi/30556/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15176,Influenza A virus (A/migratory duck/Jiangxi/31454/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15177,Influenza A virus (A/migratory duck/Jiangxi/31474/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15178,Influenza A virus (A/migratory duck/Jiangxi/31492/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15179,Influenza A virus (A/migratory duck/Jiangxi/31531/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15180,Influenza A virus (A/chicken/Jiangxi/18399/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15181,Influenza A virus (A/chicken/Jiangxi/18933/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15182,Influenza A virus (A/chicken/Jiangxi/19924/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15183,Influenza A virus (A/chicken/Jiangxi/19960/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15184,Influenza A virus (A/chicken/Shenzhen/433/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15185,Influenza A virus (A/chicken/Shenzhen/552/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15186,Influenza A virus (A/chicken/Shenzhen/1395/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15187,Influenza A virus (A/chicken/Shenzhen/1845/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15188,Influenza A virus (A/chicken/Shenzhen/2396/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15189,Influenza A virus (A/chicken/Shenzhen/2464/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15190,Influenza A virus (A/duck/Dongguan/2685/2013(H5N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15191,Influenza A virus (A/silkie chicken/Dongguan/2809/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15192,Influenza A virus (A/duck/Dongguan/3069/2013(H5N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15193,Influenza A virus (A/chicken/Dongguan/4259/2013(H5N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15194,Influenza A virus (A/duck/Jiangxi/10160/2014(H5N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15195,Influenza A virus (A/duck/Jiangxi/36505/2013(H9N2)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15196,Influenza A virus (A/chicken/Jiangxi/8209/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15197,Influenza A virus (A/chicken/Jiangxi/18913/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15198,Influenza A virus (A/chicken/Jiangxi/18922/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15199,Influenza A virus (A/chicken/Jiangxi/18946/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15200,Influenza A virus (A/chicken/Jiangxi/18952/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15201,Influenza A virus (A/chicken/Jiangxi/18957/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15202,Influenza A virus (A/chicken/Jiangxi/18980/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15203,Influenza A virus (A/chicken/Jiangxi/19436/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15204,Influenza A virus (A/chicken/Jiangxi/19448/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15205,Influenza A virus (A/chicken/Jiangxi/19934/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15206,Influenza A virus (A/chicken/Jiangxi/19981/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15207,Influenza A virus (A/chicken/Jiangxi/20443/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15208,Influenza A virus (A/chicken/Jiangxi/20446/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15209,Influenza A virus (A/chicken/Jiangxi/20457/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15210,Influenza A virus (A/chicken/Jiangxi/20478/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15211,Influenza A virus (A/chicken/Jiangxi/20482/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15212,Influenza A virus (A/chicken/Jiangxi/20489/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15213,Influenza A virus (A/chicken/Jiangxi/20506/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15214,Influenza A virus (A/chicken/Jiangxi/20935/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15215,Influenza A virus (A/chicken/Jiangxi/20976/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15216,Influenza A virus (A/chicken/Jiangxi/21481/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15217,Influenza A virus (A/chicken/Jiangxi/21984/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15218,Influenza A virus (A/chicken/Jiangxi/23773/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15219,Influenza A virus (A/chicken/Jiangxi/23797/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15220,Influenza A virus (A/chicken/Jiangxi/25970/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15221,Influenza A virus (A/chicken/Jiangxi/28601/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15222,Influenza A virus (A/chicken/Jiangxi/29075/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15223,Influenza A virus (A/chicken/Jiangxi/29086/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15224,Influenza A virus (A/chicken/Jiangxi/29099/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15225,Influenza A virus (A/chicken/Jiangxi/29117/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15226,Influenza A virus (A/duck/Jiangxi/10304/2013(H6N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15227,Influenza A virus (A/goose/Shantou/1763/2014(H5N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15228,Influenza A virus (A/goose/Shantou/1791/2014(H5N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15229,Influenza A virus (A/goose/Shantou/1806/2014(H5N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15230,Influenza A virus (A/chicken/Jiangxi/11708/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15231,Influenza A virus (A/chicken/Jiangxi/1202/2014(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15232,Influenza A virus (A/chicken/Jiangxi/1204/2014(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15233,Influenza A virus (A/chicken/Jiangxi/23252/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15234,Influenza A virus (A/chicken/Jiangxi/23259/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15235,Influenza A virus (A/chicken/Jiangxi/23274/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15236,Influenza A virus (A/chicken/Jiangxi/27600/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15237,Influenza A virus (A/chicken/Jiangxi/27604/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15238,Influenza A virus (A/chicken/Jiangxi/28113/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15239,Influenza A virus (A/chicken/Jiangxi/28563/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15240,Influenza A virus (A/chicken/Jiangxi/30772/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15241,Influenza A virus (A/chicken/Jiangxi/31856/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15242,Influenza A virus (A/chicken/Jiangxi/31872/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15243,Influenza A virus (A/chicken/Jiangxi/33542/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15244,Influenza A virus (A/chicken/Jiangxi/34609/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15245,Influenza A virus (A/chicken/Jiangxi/34682/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15246,Influenza A virus (A/chicken/Jiangxi/36226/2013(mixed)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15247,Influenza A virus (A/duck/Jiangxi/15846/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15248,Influenza A virus (A/duck/Jiangxi/15862/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15249,Influenza A virus (A/duck/Jiangxi/15867/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15250,Influenza A virus (A/duck/Jiangxi/20147/2013(H9N2)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15251,Influenza A virus (A/duck/Jiangxi/32213/2013(H7N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15252,Influenza A virus (A/duck/Jiangxi/33629/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15253,Influenza A virus (A/duck/Jiangxi/33641/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15254,Influenza A virus (A/duck/Jiangxi/33653/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15255,Influenza A virus (A/duck/Jiangxi/33701/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15256,Influenza A virus (A/duck/Jiangxi/33744/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15257,Influenza A virus (A/duck/Jiangxi/33747/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15258,Influenza A virus (A/duck/Jiangxi/33778/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15259,Influenza A virus (A/duck/Jiangxi/33779/2013(H10N3)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15260,Influenza A virus (A/duck/Jiangxi/5453/2014(H7N6)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15261,Influenza A virus (A/duck/Jiangxi/6450/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15262,Influenza A virus (A/duck/Jiangxi/6460/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15263,Influenza A virus (A/duck/Jiangxi/6474/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15264,Influenza A virus (A/duck/Jiangxi/6487/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15265,Influenza A virus (A/duck/Jiangxi/6496/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15266,Influenza A virus (A/duck/Jiangxi/6505/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15267,Influenza A virus (A/duck/Jiangxi/6515/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15268,Influenza A virus (A/duck/Jiangxi/6526/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15269,Influenza A virus (A/duck/Jiangxi/6535/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15270,Influenza A virus (A/duck/Jiangxi/6544/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15271,Influenza A virus (A/duck/Jiangxi/6547/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15272,Influenza A virus (A/duck/Jiangxi/6556/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15273,Influenza A virus (A/duck/Jiangxi/6568/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15274,Influenza A virus (A/duck/Jiangxi/6584/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15275,Influenza A virus (A/duck/Jiangxi/6602/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15276,Influenza A virus (A/duck/Jiangxi/6624/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15277,Influenza A virus (A/duck/Jiangxi/6634/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15278,Influenza A virus (A/duck/Jiangxi/6645/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15279,Influenza A virus (A/duck/Jiangxi/6648/2013(H10N8)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15280,Influenza A virus (A/duck/Jiangxi/8314/2013(H9N2)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15281,Influenza A virus (A/duck/Jiangxi/8358/2013(H9N2)),Alphainfluenzavirus influenzae,Anatidae,8,8,0,0
15282,Influenza A virus (A/chicken/Jiangxi/10269/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15283,Influenza A virus (A/chicken/Jiangxi/12562/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15284,Influenza A virus (A/chicken/Jiangxi/17403/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15285,Influenza A virus (A/chicken/Jiangxi/17913/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15286,Influenza A virus (A/chicken/Jiangxi/18445/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15287,Influenza A virus (A/chicken/Jiangxi/18901/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15288,Influenza A virus (A/chicken/Jiangxi/19407/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15289,Influenza A virus (A/chicken/Jiangxi/19898/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15290,Influenza A virus (A/chicken/Jiangxi/20927/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15291,Influenza A virus (A/chicken/Jiangxi/21468/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15292,Influenza A virus (A/chicken/Jiangxi/21978/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15293,Influenza A virus (A/chicken/Jiangxi/36229/2013(H10N8)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15294,Influenza A virus (A/chicken/Jiangxi/506/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15295,Influenza A virus (A/chicken/Jiangxi/6719/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15296,Influenza A virus (A/chicken/Jiangxi/8281/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15297,Influenza A virus (A/chicken/Jiangxi/9696/2013(H9N2)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15298,Influenza A virus (A/migratory duck/Jiangxi/31577/2013(H10N5)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15299,Influenza A virus (A/migratory duck/Jiangxi/33038/2013(H10N7)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15300,Influenza A virus (A/migratory duck/Jiangxi/33158/2013(H10N7)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15301,Influenza A virus (A/migratory duck/Jiangxi/33195/2013(H10N7)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15302,Influenza A virus (A/migratory duck/Jiangxi/33238/2013(H10N7)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15303,Influenza A virus (A/migratory duck/Jiangxi/33520/2013(H10N7)),Alphainfluenzavirus influenzae,Anas platyrhynchos,8,8,0,0
15304,Influenza A virus (A/chicken/Jiangxi/12272/2014(H10N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15305,Influenza A virus (A/chicken/Jiangxi/12782/2014(H10N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15306,Influenza A virus (A/chicken/Jiangxi/13200/2014(H10N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15307,Influenza A virus (A/chicken/Jiangxi/13202/2014(H10N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
15308,Influenza A virus (A/chicken/Jiangxi/13208/2014(H10N6)),Alphainfluenzavirus influenzae,Gallus gallus,8,8,0,0
