,Species,GA_original,species,GA,size,gc,genes
599,Chinstrap penguin adenovirus 7,0,Chinstrap penguin adenovirus 7,,,,
600,Chinstrap penguin adenovirus 8,0,Chinstrap penguin adenovirus 8,,,,
601,Chloris chloris herpesvirus,,Chloris chloris herpesvirus,,,,
602,Christensen virus,0,Christensen virus,,,,
603,Chrysolophus pictus CRESS-DNA-virus sp.,,Chrysolophus pictus CRESS-DNA-virus sp.,,,,
604,Chrysolophuspictus parvoviridae sp.,,Chrysolophuspictus parvoviridae sp.,,,,
605,Chuviridae sp.,,Chuviridae sp.,,,,
606,Ciconia boyciana CRESS-DNA-virus sp.,,Ciconia boyciana CRESS-DNA-virus sp.,,,,
607,Ciconia boyciana Circoviridae sp.,,Ciconia boyciana Circoviridae sp.,,,,
608,Ciconia boyciana parvo-like hybrid virus,,Ciconia boyciana parvo-like hybrid virus,,,,
609,Ciconia boyciana parvoviridae sp.,,Ciconia boyciana parvoviridae sp.,,,,
610,Ciconiid herpesvirus 1,,Ciconiid herpesvirus 1,,,,
611,Circoviridae TaCV1,0,Circoviridae TaCV1,GCA_003389855.1,3398.0,33.0,
612,Circoviridae TaCV2,0,Circoviridae TaCV2,GCA_003389875.1,2967.0,33.0,
613,Circoviridae sp.,0,Circoviridae sp.,GCF_003656925.1,2780.0,40.5,2.0
614,Circovirus NG_chicken17,0,Circovirus NG_chicken17,,,,
615,Circovirus NG_chicken20,0,Circovirus NG_chicken20,,,,
616,Circovirus NG_chicken21,0,Circovirus NG_chicken21,,,,
617,Circovirus NG_chicken25,0,Circovirus NG_chicken25,,,,
618,Circovirus NG_chicken33,0,Circovirus NG_chicken33,,,,
619,Circovirus NG_chicken38,0,Circovirus NG_chicken38,,,,
620,Circovirus NG_chicken39,0,Circovirus NG_chicken39,,,,
621,Circovirus NG_chicken5,0,Circovirus NG_chicken5,,,,
622,Circovirus canary,GCF_000846785.1,Circovirus canary,GCF_000846785.1,1952.0,51.5,4.0
623,Circovirus duck,GCF_000864045.1,Circovirus duck,GCF_000864045.1,1991.0,51.0,4.0
624,Circovirus finch,GCF_000869525.1,Circovirus finch,GCF_000869525.1,1962.0,54.5,3.0
625,Circovirus goose,GCF_000837325.1,Circovirus goose,GCF_000837325.1,1821.0,49.0,4.0
626,Circovirus gull,GCF_000870205.1,Circovirus gull,GCF_000870205.1,2035.0,51.0,3.0
627,Circovirus parrot,,Circovirus parrot,,,,
628,Circovirus penguin,GCF_018587745.1,Circovirus penguin,GCF_018587745.1,1988.0,50.0,2.0
629,Circovirus pigeon,GCF_000843885.1,Circovirus pigeon,GCF_000843885.1,2037.0,55.5,5.0
630,Circovirus raven,GCF_000869425.1,Circovirus raven,GCF_000869425.1,1898.0,51.5,2.0
631,Circovirus sp.,,Circovirus sp.,GCA_004043995.1,2288.0,53.0,2.0
632,Circovirus starling,GCF_000868125.1,Circovirus starling,GCF_000868125.1,2063.0,50.5,3.0
633,Circovirus swan,GCF_000925255.1,Circovirus swan,GCF_000925255.1,1783.0,51.0,2.0
634,Circovirus zebrafinch,GCF_000989035.1,Circovirus zebrafinch,GCF_000989035.1,1982.0,56.0,4.0
635,Coelho virus,0,Coelho virus,,,,
636,Columba livia papillomavirus 1,,Columba livia papillomavirus 1,,,,
637,Columba palumbus herpesvirus,,Columba palumbus herpesvirus,,,,
638,Comazfec virus 1,,Comazfec virus 1,,,,
639,Comazfec virus 10,,Comazfec virus 10,,,,
640,Comazfec virus 11,,Comazfec virus 11,,,,
641,Comazfec virus 12,,Comazfec virus 12,,,,
642,Comazfec virus 13,,Comazfec virus 13,,,,
643,Comazfec virus 14,,Comazfec virus 14,,,,
644,Comazfec virus 15,,Comazfec virus 15,,,,
645,Comazfec virus 16,,Comazfec virus 16,,,,
646,Comazfec virus 17,,Comazfec virus 17,,,,
647,Comazfec virus 2,,Comazfec virus 2,,,,
648,Comazfec virus 3,,Comazfec virus 3,,,,
649,Comazfec virus 4,,Comazfec virus 4,,,,
650,Comazfec virus 5,,Comazfec virus 5,,,,
651,Comazfec virus 6,,Comazfec virus 6,,,,
652,Comazfec virus 7,,Comazfec virus 7,,,,
653,Comazfec virus 8,,Comazfec virus 8,,,,
654,Comazfec virus 9,,Comazfec virus 9,,,,
655,Common blackbird circovirus,,Common blackbird circovirus,,,,
656,Common bullfinch circovirus,,Common bullfinch circovirus,,,,
657,Common buzzard alphaherpesvirus,0,Common buzzard alphaherpesvirus,,,,
658,Common crossbill circovirus,,Common crossbill circovirus,,,,
659,Common grenadier circovirus,,Common grenadier circovirus,,,,
660,Common moorhen coronavirus HKU21,GCF_000896895.1,Common moorhen coronavirus HKU21,GCF_000896895.1,26223.0,35.0,9.0
661,Common starling circovirus,,Common starling circovirus,,,,
662,Condorpox virus,,Condorpox virus,,,,
663,Cook virus,0,Cook virus,,,,
664,Cooks petrelpox virus,,Cooks petrelpox virus,,,,
665,Cooper virus,0,Cooper virus,,,,
666,Cope virus,0,Cope virus,,,,
667,Coronavirus Anas/p42/2005/GBR,0,Coronavirus Anas/p42/2005/GBR,,,,
668,Coronavirus Anas/p71/2005/GBR,0,Coronavirus Anas/p71/2005/GBR,,,,
669,Coronavirus HKU15,,Coronavirus HKU15,,,,
670,Coronavirus PREDICT_CoV-100,,Coronavirus PREDICT_CoV-100,,,,
671,Coronavirus oystercatcher/p17/2006/GBR,0,Coronavirus oystercatcher/p17/2006/GBR,,,,
672,Coronavirus red knot/p60/2006/GBR,0,Coronavirus red knot/p60/2006/GBR,,,,
673,Corvid orthoreovirus,0,Corvid orthoreovirus,GCA_031528435.1,23578.0,50.5,12.0
674,Corvus cornix herpesvirus,,Corvus cornix herpesvirus,,,,
675,Corvus corone cornix 2002 orthoreovirus,0,Corvus corone cornix 2002 orthoreovirus,,,,
676,Corvus monedula herpesvirus,,Corvus monedula herpesvirus,,,,
677,Crahelivirus A,0,Crahelivirus A,,,,
678,Cressdnaviricota sp.,,Cressdnaviricota sp.,GCF_023141935.1,2191.0,58.0,2.0
679,Cressvirus meleagris1922,,Cressvirus meleagris1922,,,,
680,Cressvirus meleagris952,,Cressvirus meleagris952,,,,
681,Crow astrovirus,,Crow astrovirus,,,,
682,Crow circovirus,,Crow circovirus,,,,
683,Crowpox virus,,Crowpox virus,GCA_031314235.1,328768.0,29.5,403.0
684,Crucivirus sp.,,Crucivirus sp.,GCA_031190105.1,6350.0,42.5,
685,Culex negev-like virus 3,0,Culex negev-like virus 3,GCA_036852075.1,9325.0,37.0,
686,Cyanistes caeruleus herpesvirus,0,Cyanistes caeruleus herpesvirus,,,,
687,Cyanopica cyanus CRESS-DNA-virus sp.,,Cyanopica cyanus CRESS-DNA-virus sp.,,,,
688,Cyanopica cyanus parvoviridae sp.,,Cyanopica cyanus parvoviridae sp.,,,,
689,Cyanoramphus nest associated circular K DNA virus,GCF_000918055.1,Cyanoramphus nest associated circular K DNA virus,GCF_000918055.1,2087.0,52.0,2.0
690,Cyanoramphus nest associated circular X DNA virus,GCF_000919075.1,Cyanoramphus nest associated circular X DNA virus,GCF_000919075.1,2308.0,49.5,2.0
691,Cyclovirus NG_chicken11,0,Cyclovirus NG_chicken11,,,,
692,Cyclovirus NG_chicken12,0,Cyclovirus NG_chicken12,,,,
693,Cyclovirus NG_chicken13,0,Cyclovirus NG_chicken13,,,,
694,Cyclovirus NG_chicken14,0,Cyclovirus NG_chicken14,,,,
695,Cyclovirus NG_chicken15,0,Cyclovirus NG_chicken15,,,,
696,Cyclovirus NG_chicken16,0,Cyclovirus NG_chicken16,,,,
697,Cyclovirus NG_chicken18,0,Cyclovirus NG_chicken18,,,,
698,Cyclovirus NG_chicken19,0,Cyclovirus NG_chicken19,,,,
699,Cyclovirus NG_chicken2,0,Cyclovirus NG_chicken2,,,,
700,Cyclovirus NG_chicken22,0,Cyclovirus NG_chicken22,,,,
701,Cyclovirus NG_chicken23,0,Cyclovirus NG_chicken23,,,,
702,Cyclovirus NG_chicken24,0,Cyclovirus NG_chicken24,,,,
703,Cyclovirus NG_chicken26,0,Cyclovirus NG_chicken26,,,,
704,Cyclovirus NG_chicken3,0,Cyclovirus NG_chicken3,,,,
705,Cyclovirus NG_chicken31,0,Cyclovirus NG_chicken31,,,,
706,Cyclovirus NG_chicken32,0,Cyclovirus NG_chicken32,,,,
707,Cyclovirus NG_chicken36,0,Cyclovirus NG_chicken36,,,,
708,Cyclovirus NG_chicken37,0,Cyclovirus NG_chicken37,,,,
709,Cyclovirus NG_chicken6,0,Cyclovirus NG_chicken6,,,,
710,Cyclovirus NG_chicken7,0,Cyclovirus NG_chicken7,,,,
711,Cyclovirus NG_chicken8,0,Cyclovirus NG_chicken8,,,,
712,Cyclovirus NG_chicken9,0,Cyclovirus NG_chicken9,,,,
713,Cyclovirus adie,GCF_002819905.1,Cyclovirus adie,GCF_002819905.1,1760.0,44.5,2.0
714,Cyclovirus cervienka,GCF_029886325.1,Cyclovirus cervienka,GCF_029886325.1,1829.0,39.5,2.0
715,Cyclovirus kacsa,GCF_002194385.1,Cyclovirus kacsa,GCF_002194385.1,1902.0,49.5,2.0
716,Cyclovirus liepsnele,GCF_029886335.1,Cyclovirus liepsnele,GCF_029886335.1,1846.0,39.0,2.0
717,Cyclovirus naahoohai,GCF_004133245.1,Cyclovirus naahoohai,GCF_004133245.1,1778.0,41.0,2.0
718,Cyclovirus nhanloai,0,Cyclovirus nhanloai,,,,
719,Cyclovirus pettirosso,GCF_029886285.1,Cyclovirus pettirosso,GCF_029886285.1,1939.0,49.0,2.0
720,Cyclovirus prihor,GCF_029886315.1,Cyclovirus prihor,GCF_029886315.1,1930.0,34.5,2.0
721,Cyclovirus punarinta,GCF_029886295.1,Cyclovirus punarinta,GCF_029886295.1,1806.0,38.5,2.0
722,Cyclovirus rudzik,GCF_029886305.1,Cyclovirus rudzik,GCF_029886305.1,1882.0,42.0,2.0
723,Cyclovirus totoi,GCF_029886275.1,Cyclovirus totoi,GCF_029886275.1,1916.0,40.5,2.0
724,Cygnet River virus,0,Cygnet River virus,,,,
725,Cygnus atratus CRESS-DNA-virus sp.,,Cygnus atratus CRESS-DNA-virus sp.,,,,
726,Cygnus atratus Chaphamaparvovirus,,Cygnus atratus Chaphamaparvovirus,,,,
727,Cygnus atratus parvoviridae sp.,,Cygnus atratus parvoviridae sp.,,,,
728,Cygnus columbianus CRESS-DNA-virus sp.,,Cygnus columbianus CRESS-DNA-virus sp.,,,,
729,Cygnus columbianus Chaphamaparvovirus,,Cygnus columbianus Chaphamaparvovirus,,,,
730,Cygnus columbianus parvo-like hybrid virus,,Cygnus columbianus parvo-like hybrid virus,,,,
731,Cygnus columbianus parvoviridae sp.,,Cygnus columbianus parvoviridae sp.,,,,
732,Cyvirus cyprinidallo3,0,Cyvirus cyprinidallo3,,,,
733,Dalvirus anatis,0,Dalvirus anatis,,,,
734,Davis virus,0,Davis virus,,,,
735,Deltacoronavirus B04,0,Deltacoronavirus B04,,,,
736,Deltacoronavirus B07,0,Deltacoronavirus B07,,,,
737,Deltacoronavirus HNU1-1,,Deltacoronavirus HNU1-1,GCA_031243005.1,26289.0,42.0,9.0
738,Deltacoronavirus HNU1-2,,Deltacoronavirus HNU1-2,GCA_031243015.1,26289.0,42.0,9.0
739,Deltacoronavirus HNU2,,Deltacoronavirus HNU2,GCA_031243035.1,26240.0,41.5,9.0
740,Deltacoronavirus HNU3,,Deltacoronavirus HNU3,GCA_031243025.1,26208.0,42.0,9.0
741,Deltacoronavirus sp.,,Deltacoronavirus sp.,GCA_031163155.1,26159.0,40.0,10.0
742,Dendrocopos leucotos CRESS-DNA-virus sp.,,Dendrocopos leucotos CRESS-DNA-virus sp.,,,,
743,Dendrocopos leucotos Chaphamaparvovirus,,Dendrocopos leucotos Chaphamaparvovirus,,,,
744,Dendrocopos leucotos parvoviridae sp.,,Dendrocopos leucotos parvoviridae sp.,,,,
745,Dependoparvovirus anseriform1,GCF_000845505.1,Dependoparvovirus anseriform1,GCF_000845505.1,5132.0,46.0,2.0
746,Dependoparvovirus avian1,GCF_029884995.1,Dependoparvovirus avian1,GCF_029884995.1,4642.0,57.5,4.0
747,Dependoparvovirus avian2,0,Dependoparvovirus avian2,,,,
748,Dependoparvovirus sp.,,Dependoparvovirus sp.,,,,
749,Dnistrovskyi 408 orbivirus,0,Dnistrovskyi 408 orbivirus,,,,
750,Drake virus,0,Drake virus,,,,
751,Dralkin virus,0,Dralkin virus,,,,
752,Driatsky virus,0,Driatsky virus,,,,
753,Dryglaski virus,0,Dryglaski virus,,,,
754,Dubrovin virus,0,Dubrovin virus,,,,
755,Duck adeno-associated virus,,Duck adeno-associated virus,,,,
756,Duck adenovirus,0,Duck adenovirus,,,,
757,Duck adenovirus 4,,Duck adenovirus 4,,,,
758,Duck associated circular virus VC9,,Duck associated circular virus VC9,,,,
759,Duck astrovirus 3,,Duck astrovirus 3,,,,
760,Duck astrovirus CPH,,Duck astrovirus CPH,GCA_031160965.1,7463.0,43.0,
761,Duck astrovirus GII.A,GCF_000883675.1,Duck astrovirus GII.A,GCF_000883675.1,7722.0,41.5,3.0
762,Duck atadenovirus A,,Duck atadenovirus A,GCF_000845945.1,33213.0,43.0,30.0
763,Duck aviadenovirus,,Duck aviadenovirus,,,,
764,Duck aviadenovirus B,GCF_000923915.1,Duck aviadenovirus B,GCF_000923915.1,43734.0,46.0,36.0
765,Duck calicivirus,0,Duck calicivirus,,,,
766,Duck calicivirus 2,0,Duck calicivirus 2,GCA_031192985.1,8293.0,54.5,2.0
767,Duck circovirus 3,,Duck circovirus 3,GCA_031321665.1,1755.0,50.5,
768,Duck coronavirus 2714,,Duck coronavirus 2714,,,,
769,Duck faeces associated circular DNA virus 1,GCF_001646015.1,Duck faeces associated circular DNA virus 1,GCF_001646015.1,2750.0,43.0,2.0
770,Duck faeces associated circular DNA virus 2,GCF_001646195.1,Duck faeces associated circular DNA virus 2,GCF_001646195.1,1845.0,32.0,2.0
771,Duck faeces associated circular DNA virus 3,GCF_001646395.1,Duck faeces associated circular DNA virus 3,GCF_001646395.1,1856.0,28.0,2.0
772,Duck flavivirus Anhui/2010,0,Duck flavivirus Anhui/2010,,,,
773,Duck flavivirus strain YY5,0,Duck flavivirus strain YY5,,,,
774,Duck genomovirus VC16,,Duck genomovirus VC16,,,,
775,Duck genomovirus VC17,,Duck genomovirus VC17,,,,
776,Duck hemorrhagic ovaritis virus,0,Duck hemorrhagic ovaritis virus,,,,
777,Duck hepacivirus,,Duck hepacivirus,,,,
778,Duck hepatitis B virus,GCF_000844545.1,Duck hepatitis B virus,GCF_000844545.1,3024.0,43.0,5.0
779,Duck hepatitis virus 3,,Duck hepatitis virus 3,,,,
780,Duck hepatitis virus AP,0,Duck hepatitis virus AP,,,,
781,Duck infectious anemia virus,0,Duck infectious anemia virus,GCA_031155845.1,8447.0,52.0,
782,Duck papillomavirus,0,Duck papillomavirus,,,,
783,Duck papillomavirus 3,0,Duck papillomavirus 3,GCA_031189275.1,7887.0,54.5,7.0
784,Duck parvovirus NM100,0,Duck parvovirus NM100,GCA_031164375.1,5073.0,46.0,
785,Duck parvovirus NM4,0,Duck parvovirus NM4,GCA_031165915.1,5073.0,46.0,
786,Duck picornavirus,,Duck picornavirus,,,,
787,Duck picornavirus duck/FC22/China/2017,0,Duck picornavirus duck/FC22/China/2017,GCA_031192865.1,7448.0,45.5,
788,Duck rhabdovirus,0,Duck rhabdovirus,,,,
789,Duck sapelovirus,,Duck sapelovirus,,,,
790,Duck ssDNA virus,,Duck ssDNA virus,GCA_031236235.1,1621.0,42.0,
791,Duck-associated chapparvovirus,,Duck-associated chapparvovirus,,,,
792,Duck-dominant coronavirus,,Duck-dominant coronavirus,,,,
793,Dundee virus,0,Dundee virus,,,,
794,Durnavirales sp.,,Durnavirales sp.,,,,
795,Eagle poxvirus,0,Eagle poxvirus,,,,
796,Eastern equine encephalitis virus,,Eastern equine encephalitis virus,GCF_000862705.1,11675.0,48.5,4.0
797,Ellsworth virus,0,Ellsworth virus,,,,
798,Emberiza chrysophrys CRESS-DNA-virus sp.,,Emberiza chrysophrys CRESS-DNA-virus sp.,,,,
799,Emberiza chrysophrys parvoviridae sp.,,Emberiza chrysophrys parvoviridae sp.,,,,
800,Emberiza cioides CRESS-DNA-virus sp.,,Emberiza cioides CRESS-DNA-virus sp.,,,,
801,Emberiza elegans CRESS-DNA-virus sp.,,Emberiza elegans CRESS-DNA-virus sp.,,,,
802,Emberiza pusilla Chaphamaparvovirus,,Emberiza pusilla Chaphamaparvovirus,,,,
803,Emberiza pusilla parvo-like hybrid virus,,Emberiza pusilla parvo-like hybrid virus,,,,
804,Emberiza pusilla parvoviridae sp.,,Emberiza pusilla parvoviridae sp.,,,,
805,Emberiza rustica CRESS-DNA-virus sp.,,Emberiza rustica CRESS-DNA-virus sp.,,,,
806,Emberiza rustica Genomoviridae sp.,,Emberiza rustica Genomoviridae sp.,,,,
807,Emberiza rustica parvoviridae sp.,,Emberiza rustica parvoviridae sp.,,,,
808,Emberiza spodocephala CRESS-DNA-virus sp.,,Emberiza spodocephala CRESS-DNA-virus sp.,,,,
809,Emberiza spodocephala Genomoviridae sp.,,Emberiza spodocephala Genomoviridae sp.,,,,
810,Emberiza spodocephala parvoviridae sp.,,Emberiza spodocephala parvoviridae sp.,,,,
811,Emberiza tristrami CRESS-DNA-virus sp.,,Emberiza tristrami CRESS-DNA-virus sp.,,,,
812,Emberiza tristrami Genomoviridae sp.,,Emberiza tristrami Genomoviridae sp.,,,,
813,Emberiza tristrami parvoviridae sp.,,Emberiza tristrami parvoviridae sp.,,,,
814,Enquatrovirus sp.,,Enquatrovirus sp.,,,,
815,Enterovirus F,0,Enterovirus F,GCF_000907315.1,7397.0,50.5,1.0
816,Estrildidae adenovirus 1,0,Estrildidae adenovirus 1,,,,
817,Estrildidae adenovirus 2,0,Estrildidae adenovirus 2,,,,
818,Etapapillomavirus 1,0,Etapapillomavirus 1,GCF_000841045.1,7729.0,47.5,6.0
819,Eurasian blackcap circovirus,,Eurasian blackcap circovirus,,,,
820,Eurasian jay circovirus,,Eurasian jay circovirus,,,,
821,Eurasian oystercatcher coronavirus,0,Eurasian oystercatcher coronavirus,,,,
822,European bee-eater circovirus,,European bee-eater circovirus,GCA_031310625.1,1960.0,49.5,
823,European goldfinch circovirus,,European goldfinch circovirus,,,,
824,European roller astrovirus,0,European roller astrovirus,GCA_031190065.1,8417.0,40.0,
825,Faeces associated gemycircularvirus 1,0,Faeces associated gemycircularvirus 1,,,,
826,Falco tinnunculus herpesvirus,,Falco tinnunculus herpesvirus,,,,
827,Falcon aviadenovirus A,,Falcon aviadenovirus A,GCA_022338145.1,39008.0,43.5,
828,Falcon coronavirus UAE-HKU27,0,Falcon coronavirus UAE-HKU27,GCA_031171215.1,26162.0,40.0,10.0
829,Falcon picornavirus,GCF_002355005.1,Falcon picornavirus,GCF_002355005.1,7964.0,42.5,1.0
830,Farmington virus,GCF_000926315.1,Farmington virus,GCF_000926315.1,12233.0,51.5,5.0
831,Feral pigeon astrovirus,,Feral pigeon astrovirus,,,,
832,Ficedula mugimaki CRESS-DNA-virus sp.,,Ficedula mugimaki CRESS-DNA-virus sp.,,,,
833,Ficedula mugimaki parvoviridae sp.,,Ficedula mugimaki parvoviridae sp.,,,,
834,Ficedula parva CRESS-DNA-virus sp.,,Ficedula parva CRESS-DNA-virus sp.,,,,
835,Ficedula parva parvoviridae sp.,,Ficedula parva parvoviridae sp.,,,,
836,Filchner virus,0,Filchner virus,,,,
837,Finch poxvirus,,Finch poxvirus,GCA_031311155.1,354030.0,30.0,
838,Finchpox virus,,Finchpox virus,,,,
839,Flamingopox virus,0,Flamingopox virus,,,,
840,Flamingopox virus FGPVKD09,GCF_002889855.1,Flamingopox virus FGPVKD09,GCF_002889855.1,293123.0,29.5,285.0
841,Flavivirus CJD05/CHN/2010,0,Flavivirus CJD05/CHN/2010,,,,
842,Flavivirus duck/SD/CHN/2010,0,Flavivirus duck/SD/CHN/2010,,,,
843,Flavivirus strain CJD05,0,Flavivirus strain CJD05,,,,
844,Foot-and-mouth disease virus,,Foot-and-mouth disease virus,,,,
845,Fort Morgan virus,0,Fort Morgan virus,GCF_000885435.1,11381.0,48.5,3.0
846,Fowl adenovirus,,Fowl adenovirus,GCA_009372355.1,44291.0,53.5,
847,Fowl adenovirus 12,0,Fowl adenovirus 12,,,,
848,Fowl adenovirus HR1,0,Fowl adenovirus HR1,,,,
849,Fowl adenovirus HR2,0,Fowl adenovirus HR2,,,,
850,Fowl adenovirus HR3,0,Fowl adenovirus HR3,,,,
851,Fowl adenovirus HR4,0,Fowl adenovirus HR4,,,,
852,Fowl aviadenovirus A,,Fowl aviadenovirus A,GCF_000845105.1,43804.0,54.5,31.0
853,Fowl aviadenovirus B,GCF_000907375.1,Fowl aviadenovirus B,GCF_000907375.1,45781.0,56.5,39.0
854,Fowl aviadenovirus C,GCF_000890915.1,Fowl aviadenovirus C,GCF_000890915.1,45667.0,54.5,46.0
855,Fowl aviadenovirus D,,Fowl aviadenovirus D,GCF_000844285.1,45063.0,54.0,29.0
856,Fowl aviadenovirus E,GCF_002817995.1,Fowl aviadenovirus E,GCF_002817995.1,43810.0,58.0,37.0
857,Fowl aviadenovirus sp.,,Fowl aviadenovirus sp.,,,,
858,Fowlpox virus,,Fowlpox virus,GCF_000838605.1,288539.0,31.0,260.0
859,Fregata magnificens alphaherpesvirus 1,,Fregata magnificens alphaherpesvirus 1,,,,
860,Fregata magnificens herpesvirus,0,Fregata magnificens herpesvirus,,,,
861,French Guiana picornavirus,,French Guiana picornavirus,GCA_031239545.1,7645.0,44.0,
862,French Guiana reovirus,,French Guiana reovirus,,,,
863,Fringilla montifringilla CRESS-DNA-virus sp.,,Fringilla montifringilla CRESS-DNA-virus sp.,,,,
864,Fringilla montifringilla Chaphamaparvovirus,,Fringilla montifringilla Chaphamaparvovirus,,,,
865,Fringilla montifringilla Circoviridae sp.,,Fringilla montifringilla Circoviridae sp.,,,,
866,Fringilla montifringilla Genomoviridae sp.,,Fringilla montifringilla Genomoviridae sp.,,,,
867,Fringilla montifringilla parvoviridae sp.,,Fringilla montifringilla parvoviridae sp.,,,,
868,Fuchs virus,0,Fuchs virus,,,,
869,Gallid herpesvirus,0,Gallid herpesvirus,,,,
870,Galliform chaphamaparvovirus 10,,Galliform chaphamaparvovirus 10,GCA_031311165.1,4211.0,44.5,
871,Galliform chaphamaparvovirus 11,,Galliform chaphamaparvovirus 11,GCA_031311175.1,4070.0,43.5,
872,Galliform chaphamaparvovirus 12,,Galliform chaphamaparvovirus 12,GCA_031311185.1,3429.0,42.0,
873,Galliform chaphamaparvovirus 13,,Galliform chaphamaparvovirus 13,GCA_031311195.1,2582.0,43.0,
874,Galliform chaphamaparvovirus 14,,Galliform chaphamaparvovirus 14,GCA_031311205.1,1948.0,44.5,
875,Galliform chaphamaparvovirus 15,,Galliform chaphamaparvovirus 15,GCA_031311215.1,1914.0,40.5,
876,Galliform chaphamaparvovirus 16,,Galliform chaphamaparvovirus 16,GCA_031311225.1,1895.0,44.5,
877,Galliform chaphamaparvovirus 17,,Galliform chaphamaparvovirus 17,GCA_031311235.1,1622.0,45.0,
878,Galliform chaphamaparvovirus 6,,Galliform chaphamaparvovirus 6,GCA_031311245.1,4270.0,44.5,
879,Galliform chaphamaparvovirus 7,,Galliform chaphamaparvovirus 7,GCA_031311255.1,4230.0,42.5,
880,Galliform chaphamaparvovirus 8,,Galliform chaphamaparvovirus 8,GCA_031311265.1,4225.0,40.5,
881,Galliform chaphamaparvovirus 9,,Galliform chaphamaparvovirus 9,GCA_031311275.1,4212.0,43.0,
882,Gallivirus A,GCF_000924095.1,Gallivirus A,GCF_000924095.1,8432.0,45.0,1.0
883,Gallivirus Pf-CHK1/GV,GCF_001500755.1,Gallivirus Pf-CHK1/GV,GCF_001500755.1,8506.0,45.5,1.0
884,Gallivirus sp.,,Gallivirus sp.,,,,
885,Gammacoronavirus sp.,,Gammacoronavirus sp.,,,,
886,Gammapolyomavirus anseris,,Gammapolyomavirus anseris,,,,
887,Gammapolyomavirus avis,,Gammapolyomavirus avis,,,,
888,Gammapolyomavirus corvi,GCF_000868965.1,Gammapolyomavirus corvi,GCF_000868965.1,5079.0,45.5,6.0
889,Gammapolyomavirus cratorquatus,GCF_000914155.1,Gammapolyomavirus cratorquatus,GCF_000914155.1,5084.0,45.5,6.0
890,Gammapolyomavirus egouldiae,GCF_003033365.1,Gammapolyomavirus egouldiae,GCF_003033365.1,5172.0,44.5,6.0
891,Gammapolyomavirus lonmaja,GCF_003033375.1,Gammapolyomavirus lonmaja,GCF_003033375.1,5284.0,51.0,6.0
892,Gammapolyomavirus padeliae,GCF_000930155.1,Gammapolyomavirus padeliae,GCF_000930155.1,4988.0,52.5,5.0
893,Gammapolyomavirus pypyrrhula,GCF_000864605.1,Gammapolyomavirus pypyrrhula,GCF_000864605.1,5278.0,51.0,6.0
894,Gammapolyomavirus secanaria,GCF_000896095.1,Gammapolyomavirus secanaria,GCF_000896095.1,5421.0,49.0,5.0
895,Garrulus glandarius associated circular virus 1,GCF_002219445.1,Garrulus glandarius associated circular virus 1,GCF_002219445.1,1971.0,45.0,2.0
896,Garrulus glandarius parvoviridae sp.,,Garrulus glandarius parvoviridae sp.,,,,
897,Gaviid herpesvirus 1,0,Gaviid herpesvirus 1,,,,
898,Gemycircularvirus blabi1,0,Gemycircularvirus blabi1,,,,
899,Gemycircularvirus chicas1,GCF_001646115.1,Gemycircularvirus chicas1,GCF_001646115.1,2247.0,52.5,3.0
900,Gemycircularvirus chicas2,GCF_001646335.1,Gemycircularvirus chicas2,GCF_001646335.1,2230.0,53.0,3.0
901,Gemycircularvirus chickad1,GCF_001273685.1,Gemycircularvirus chickad1,GCF_001273685.1,2152.0,52.0,2.0
902,Gemycircularvirus furse1,0,Gemycircularvirus furse1,,,,
903,Gemycircularvirus geras1,GCF_000928755.1,Gemycircularvirus geras1,GCF_000928755.1,2288.0,54.0,2.0
904,Gemycircularvirus geras2,GCF_000929795.1,Gemycircularvirus geras2,GCF_000929795.1,2187.0,50.5,2.0
905,Gemycircularvirus geras3,GCF_000927875.1,Gemycircularvirus geras3,GCF_000927875.1,2199.0,53.0,2.0
906,Gemycircularvirus malas1,GCF_000927855.1,Gemycircularvirus malas1,GCF_000927855.1,2290.0,47.5,2.0
907,Gemycircularvirus sp.,GCF_003848605.1,Gemycircularvirus sp.,GCF_003848605.1,2138.0,50.0,2.0
908,Gemygorvirus malas1,GCF_001646535.1,Gemygorvirus malas1,GCF_001646535.1,2194.0,53.0,3.0
909,Gemygorvirus stara1,GCF_000930475.1,Gemygorvirus stara1,GCF_000930475.1,2229.0,51.0,2.0
910,Gemykibivirus blabi1,GCF_000927915.1,Gemykibivirus blabi1,GCF_000927915.1,2130.0,50.5,2.0
911,Gemykibivirus blaro1,GCF_000928815.1,Gemykibivirus blaro1,GCF_000928815.1,2174.0,52.0,2.0
912,Gemykibivirus galga1,GCF_018589205.1,Gemykibivirus galga1,GCF_018589205.1,2189.0,52.0,2.0
913,Gemykibivirus galga2,GCF_018589245.1,Gemykibivirus galga2,GCF_018589245.1,2183.0,52.5,2.0
914,Gemykibivirus galga3,GCF_018589115.1,Gemykibivirus galga3,GCF_018589115.1,2173.0,51.0,2.0
915,Gemykibivirus sewopo1,GCF_001646055.1,Gemykibivirus sewopo1,GCF_001646055.1,2136.0,50.5,3.0
916,Gemykrogvirus galga1,GCF_018589195.1,Gemykrogvirus galga1,GCF_018589195.1,2142.0,48.0,2.0
917,Gemykrogvirus galga2,GCF_001967675.1,Gemykrogvirus galga2,GCF_001967675.1,2143.0,49.0,2.0
