Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Chicken proventriculitis-associated circular virus 24,Chicken proventriculitis-associated circular virus 24,GCA_031269745.1,1793.0,46.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 26,Chicken proventriculitis-associated circular virus 26,GCA_031269805.1,1948.0,48.5,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 27,Chicken proventriculitis-associated circular virus 27,GCA_031269835.1,1953.0,41.0,1.0,0,0,0,0
Chicken proventriculitis-associated circular virus 28,Chicken proventriculitis-associated circular virus 28,GCA_031269855.1,1830.0,45.0,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 29,Chicken proventriculitis-associated circular virus 29,GCA_031269885.1,1726.0,48.0,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 3,Chicken proventriculitis-associated circular virus 3,GCA_031269005.1,2070.0,39.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 30,Chicken proventriculitis-associated circular virus 30,GCA_031269975.1,3345.0,50.0,4.0,0,0,0,0
Chicken proventriculitis-associated circular virus 4,Chicken proventriculitis-associated circular virus 4,GCA_031269055.1,1240.0,38.5,1.0,0,0,0,0
Chicken proventriculitis-associated circular virus 5,Chicken proventriculitis-associated circular virus 5,GCA_031269085.1,1531.0,42.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 7,Chicken proventriculitis-associated circular virus 7,GCA_031269215.1,1894.0,44.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 8,Chicken proventriculitis-associated circular virus 8,GCA_031269265.1,1931.0,42.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 9,Chicken proventriculitis-associated circular virus 9,GCA_031269305.1,1809.0,42.5,2.0,0,0,0,0
Chicken smacovirus mg2_55,Chicken smacovirus mg2_55,GCA_031200495.1,2452.0,54.5,,0,0,0,1
Chicken smacovirus mg5_1444,Chicken smacovirus mg5_1444,GCA_031200505.1,2394.0,50.0,,0,0,0,1
Chicken smacovirus mg6_1052,Chicken smacovirus mg6_1052,GCA_031200515.1,2574.0,51.5,,0,0,0,1
Chicken smacovirus mg7_57,Chicken smacovirus mg7_57,GCA_031200525.1,2573.0,52.0,,0,0,0,1
Chicken smacovirus mg8_345,Chicken smacovirus mg8_345,GCA_031200595.1,2405.0,50.5,,0,0,0,1
Chicken stool associated circular virus 1,Chicken stool associated circular virus 1,GCF_003729875.1,3173.0,48.0,2.0,0,0,0,0
Chicken stool associated circular virus 2,Chicken stool associated circular virus 2,GCF_003729855.1,3161.0,48.0,2.0,0,0,0,0
Chicken stool-associated circular virus,Chicken stool-associated circular virus,GCF_001968175.1,4668.0,43.5,3.0,0,0,0,0
Chicken virus mg4_1578,Chicken virus mg4_1578,GCA_031200215.1,1933.0,33.0,,0,0,0,1
Chicken virus mg4_2302,Chicken virus mg4_2302,GCA_031200225.1,1690.0,47.5,,0,0,0,1
Chicken virus mg4_280,Chicken virus mg4_280,GCA_031200255.1,1934.0,38.0,,0,0,0,1
Chicken virus mg4_657,Chicken virus mg4_657,GCA_031200265.1,2863.0,41.5,,0,0,0,1
Chicken virus mg5_1345,Chicken virus mg5_1345,GCA_031200275.1,2443.0,50.0,,0,0,0,1
Chicken virus mg5_2197,Chicken virus mg5_2197,GCA_031200285.1,2093.0,44.5,,0,0,0,1
Chicken virus mg5_2676,Chicken virus mg5_2676,GCA_031200295.1,1962.0,38.0,,0,0,0,1
Chicken virus mg6_1197,Chicken virus mg6_1197,GCA_031200305.1,2455.0,50.5,,0,0,0,1
Chicken virus mg6_2056,Chicken virus mg6_2056,GCA_031200315.1,1977.0,36.5,,0,0,0,1
Chicken virus mg7_41u,Chicken virus mg7_41u,GCA_031200325.1,2163.0,50.0,,0,0,0,1
Chicken virus mg7_59,Chicken virus mg7_59,GCA_031200335.1,2543.0,51.0,,0,0,0,1
Chicken virus mg8_273,Chicken virus mg8_273,GCA_031200345.1,2862.0,41.5,,0,0,0,1
Chicken virus mg8_324,Chicken virus mg8_324,GCA_031200355.1,2539.0,51.0,,0,0,0,1
Chimeric virus 14,Chimeric virus 14,GCF_001021315.1,3141.0,40.0,2.0,0,0,0,0
Chimney swift adenovirus 1,Chimney swift adenovirus 1,,,,,1,1,1,1
Chinstrap penguin adenovirus 1,Chinstrap penguin adenovirus 1,,,,,1,1,1,1
Chinstrap penguin adenovirus 3,Chinstrap penguin adenovirus 3,,,,,1,1,1,1
Chinstrap penguin adenovirus 4,Chinstrap penguin adenovirus 4,,,,,1,1,1,1
Chinstrap penguin adenovirus 5,Chinstrap penguin adenovirus 5,,,,,1,1,1,1
Chinstrap penguin adenovirus 6,Chinstrap penguin adenovirus 6,,,,,1,1,1,1
Chinstrap penguin adenovirus 7,Chinstrap penguin adenovirus 7,,,,,1,1,1,1
Chinstrap penguin adenovirus 8,Chinstrap penguin adenovirus 8,,,,,1,1,1,1
Chloris chloris herpesvirus,Chloris chloris herpesvirus,,,,,1,1,1,1
Christensen virus,Christensen virus,,,,,1,1,1,1
Chrysolophus pictus CRESS-DNA-virus sp.,Chrysolophus pictus CRESS-DNA-virus sp.,,,,,1,1,1,1
Chrysolophuspictus parvoviridae sp.,Chrysolophuspictus parvoviridae sp.,,,,,1,1,1,1
Chuviridae sp.,Chuviridae sp.,,,,,1,1,1,1
Ciconia boyciana CRESS-DNA-virus sp.,Ciconia boyciana CRESS-DNA-virus sp.,,,,,1,1,1,1
Ciconia boyciana Circoviridae sp.,Ciconia boyciana Circoviridae sp.,,,,,1,1,1,1
Ciconia boyciana parvo-like hybrid virus,Ciconia boyciana parvo-like hybrid virus,,,,,1,1,1,1
Ciconia boyciana parvoviridae sp.,Ciconia boyciana parvoviridae sp.,,,,,1,1,1,1
Ciconiid herpesvirus 1,Ciconiid herpesvirus 1,,,,,1,1,1,1
Circoviridae TaCV1,Circoviridae TaCV1,GCA_003389855.1,3398.0,33.0,,0,0,0,1
Circoviridae TaCV2,Circoviridae TaCV2,GCA_003389875.1,2967.0,33.0,,0,0,0,1
Circoviridae sp.,Circoviridae sp.,GCF_003656925.1,2780.0,40.5,2.0,0,0,0,0
Circovirus NG_chicken17,Circovirus NG_chicken17,,,,,1,1,1,1
Circovirus NG_chicken20,Circovirus NG_chicken20,,,,,1,1,1,1
Circovirus NG_chicken21,Circovirus NG_chicken21,,,,,1,1,1,1
Circovirus NG_chicken25,Circovirus NG_chicken25,,,,,1,1,1,1
Circovirus NG_chicken33,Circovirus NG_chicken33,,,,,1,1,1,1
Circovirus NG_chicken38,Circovirus NG_chicken38,,,,,1,1,1,1
Circovirus NG_chicken39,Circovirus NG_chicken39,,,,,1,1,1,1
Circovirus NG_chicken5,Circovirus NG_chicken5,,,,,1,1,1,1
Circovirus canary,Circovirus canary,GCF_000846785.1,1952.0,51.5,4.0,0,0,0,0
Circovirus duck,Circovirus duck,GCF_000864045.1,1991.0,51.0,4.0,0,0,0,0
Circovirus finch,Circovirus finch,GCF_000869525.1,1962.0,54.5,3.0,0,0,0,0
Circovirus goose,Circovirus goose,GCF_000837325.1,1821.0,49.0,4.0,0,0,0,0
Circovirus gull,Circovirus gull,GCF_000870205.1,2035.0,51.0,3.0,0,0,0,0
Circovirus parrot,Circovirus parrot,,,,,1,1,1,1
Circovirus penguin,Circovirus penguin,GCF_018587745.1,1988.0,50.0,2.0,0,0,0,0
Circovirus pigeon,Circovirus pigeon,GCF_000843885.1,2037.0,55.5,5.0,0,0,0,0
Circovirus raven,Circovirus raven,GCF_000869425.1,1898.0,51.5,2.0,0,0,0,0
Circovirus sp.,Circovirus sp.,GCA_004043995.1,2288.0,53.0,2.0,0,0,0,0
Circovirus starling,Circovirus starling,GCF_000868125.1,2063.0,50.5,3.0,0,0,0,0
Circovirus swan,Circovirus swan,GCF_000925255.1,1783.0,51.0,2.0,0,0,0,0
Circovirus zebrafinch,Circovirus zebrafinch,GCF_000989035.1,1982.0,56.0,4.0,0,0,0,0
Coelho virus,Coelho virus,,,,,1,1,1,1
Columba livia papillomavirus 1,Columba livia papillomavirus 1,,,,,1,1,1,1
Columba palumbus herpesvirus,Columba palumbus herpesvirus,,,,,1,1,1,1
Comazfec virus 1,Comazfec virus 1,,,,,1,1,1,1
Comazfec virus 10,Comazfec virus 10,,,,,1,1,1,1
Comazfec virus 11,Comazfec virus 11,,,,,1,1,1,1
Comazfec virus 12,Comazfec virus 12,,,,,1,1,1,1
Comazfec virus 13,Comazfec virus 13,,,,,1,1,1,1
Comazfec virus 14,Comazfec virus 14,,,,,1,1,1,1
Comazfec virus 15,Comazfec virus 15,,,,,1,1,1,1
Comazfec virus 16,Comazfec virus 16,,,,,1,1,1,1
Comazfec virus 17,Comazfec virus 17,,,,,1,1,1,1
Comazfec virus 2,Comazfec virus 2,,,,,1,1,1,1
Comazfec virus 3,Comazfec virus 3,,,,,1,1,1,1
Comazfec virus 4,Comazfec virus 4,,,,,1,1,1,1
Comazfec virus 5,Comazfec virus 5,,,,,1,1,1,1
Comazfec virus 6,Comazfec virus 6,,,,,1,1,1,1
Comazfec virus 7,Comazfec virus 7,,,,,1,1,1,1
Comazfec virus 8,Comazfec virus 8,,,,,1,1,1,1
Comazfec virus 9,Comazfec virus 9,,,,,1,1,1,1
Common blackbird circovirus,Common blackbird circovirus,,,,,1,1,1,1
Common bullfinch circovirus,Common bullfinch circovirus,,,,,1,1,1,1
Common buzzard alphaherpesvirus,Common buzzard alphaherpesvirus,,,,,1,1,1,1
Common crossbill circovirus,Common crossbill circovirus,,,,,1,1,1,1
Common grenadier circovirus,Common grenadier circovirus,,,,,1,1,1,1
Common moorhen coronavirus HKU21,Common moorhen coronavirus HKU21,GCF_000896895.1,26223.0,35.0,9.0,0,0,0,0
Common starling circovirus,Common starling circovirus,,,,,1,1,1,1
Condorpox virus,Condorpox virus,,,,,1,1,1,1
Cook virus,Cook virus,,,,,1,1,1,1
Cooks petrelpox virus,Cooks petrelpox virus,,,,,1,1,1,1
Cooper virus,Cooper virus,,,,,1,1,1,1
Cope virus,Cope virus,,,,,1,1,1,1
Coronavirus Anas/p42/2005/GBR,Coronavirus Anas/p42/2005/GBR,,,,,1,1,1,1
Coronavirus Anas/p71/2005/GBR,Coronavirus Anas/p71/2005/GBR,,,,,1,1,1,1
Coronavirus HKU15,Coronavirus HKU15,,,,,1,1,1,1
Coronavirus PREDICT_CoV-100,Coronavirus PREDICT_CoV-100,,,,,1,1,1,1
Coronavirus oystercatcher/p17/2006/GBR,Coronavirus oystercatcher/p17/2006/GBR,,,,,1,1,1,1
Coronavirus red knot/p60/2006/GBR,Coronavirus red knot/p60/2006/GBR,,,,,1,1,1,1
Corvid orthoreovirus,Corvid orthoreovirus,GCA_031528435.1,23578.0,50.5,12.0,0,0,0,0
Corvus cornix herpesvirus,Corvus cornix herpesvirus,,,,,1,1,1,1
Corvus corone cornix 2002 orthoreovirus,Corvus corone cornix 2002 orthoreovirus,,,,,1,1,1,1
Corvus monedula herpesvirus,Corvus monedula herpesvirus,,,,,1,1,1,1
Crahelivirus A,Crahelivirus A,,,,,1,1,1,1
Cressdnaviricota sp.,Cressdnaviricota sp.,GCF_023141935.1,2191.0,58.0,2.0,0,0,0,0
Cressvirus meleagris1922,Cressvirus meleagris1922,,,,,1,1,1,1
Cressvirus meleagris952,Cressvirus meleagris952,,,,,1,1,1,1
Crow astrovirus,Crow astrovirus,,,,,1,1,1,1
Crow circovirus,Crow circovirus,,,,,1,1,1,1
Crowpox virus,Crowpox virus,GCA_031314235.1,328768.0,29.5,403.0,0,0,0,0
Crucivirus sp.,Crucivirus sp.,GCA_031190105.1,6350.0,42.5,,0,0,0,1
Culex negev-like virus 3,Culex negev-like virus 3,GCA_036852075.1,9325.0,37.0,,0,0,0,1
Cyanistes caeruleus herpesvirus,Cyanistes caeruleus herpesvirus,,,,,1,1,1,1
Cyanopica cyanus CRESS-DNA-virus sp.,Cyanopica cyanus CRESS-DNA-virus sp.,,,,,1,1,1,1
Cyanopica cyanus parvoviridae sp.,Cyanopica cyanus parvoviridae sp.,,,,,1,1,1,1
Cyanoramphus nest associated circular K DNA virus,Cyanoramphus nest associated circular K DNA virus,GCF_000918055.1,2087.0,52.0,2.0,0,0,0,0
Cyanoramphus nest associated circular X DNA virus,Cyanoramphus nest associated circular X DNA virus,GCF_000919075.1,2308.0,49.5,2.0,0,0,0,0
Cyclovirus NG_chicken11,Cyclovirus NG_chicken11,,,,,1,1,1,1
Cyclovirus NG_chicken12,Cyclovirus NG_chicken12,,,,,1,1,1,1
Cyclovirus NG_chicken13,Cyclovirus NG_chicken13,,,,,1,1,1,1
Cyclovirus NG_chicken14,Cyclovirus NG_chicken14,,,,,1,1,1,1
Cyclovirus NG_chicken15,Cyclovirus NG_chicken15,,,,,1,1,1,1
Cyclovirus NG_chicken16,Cyclovirus NG_chicken16,,,,,1,1,1,1
Cyclovirus NG_chicken18,Cyclovirus NG_chicken18,,,,,1,1,1,1
Cyclovirus NG_chicken19,Cyclovirus NG_chicken19,,,,,1,1,1,1
Cyclovirus NG_chicken2,Cyclovirus NG_chicken2,,,,,1,1,1,1
Cyclovirus NG_chicken22,Cyclovirus NG_chicken22,,,,,1,1,1,1
Cyclovirus NG_chicken23,Cyclovirus NG_chicken23,,,,,1,1,1,1
Cyclovirus NG_chicken24,Cyclovirus NG_chicken24,,,,,1,1,1,1
Cyclovirus NG_chicken26,Cyclovirus NG_chicken26,,,,,1,1,1,1
Cyclovirus NG_chicken3,Cyclovirus NG_chicken3,,,,,1,1,1,1
Cyclovirus NG_chicken31,Cyclovirus NG_chicken31,,,,,1,1,1,1
Cyclovirus NG_chicken32,Cyclovirus NG_chicken32,,,,,1,1,1,1
Cyclovirus NG_chicken36,Cyclovirus NG_chicken36,,,,,1,1,1,1
Cyclovirus NG_chicken37,Cyclovirus NG_chicken37,,,,,1,1,1,1
Cyclovirus NG_chicken6,Cyclovirus NG_chicken6,,,,,1,1,1,1
Cyclovirus NG_chicken7,Cyclovirus NG_chicken7,,,,,1,1,1,1
Cyclovirus NG_chicken8,Cyclovirus NG_chicken8,,,,,1,1,1,1
Cyclovirus NG_chicken9,Cyclovirus NG_chicken9,,,,,1,1,1,1
Cyclovirus adie,Cyclovirus adie,GCF_002819905.1,1760.0,44.5,2.0,0,0,0,0
Cyclovirus cervienka,Cyclovirus cervienka,GCF_029886325.1,1829.0,39.5,2.0,0,0,0,0
Cyclovirus kacsa,Cyclovirus kacsa,GCF_002194385.1,1902.0,49.5,2.0,0,0,0,0
Cyclovirus liepsnele,Cyclovirus liepsnele,GCF_029886335.1,1846.0,39.0,2.0,0,0,0,0
Cyclovirus naahoohai,Cyclovirus naahoohai,GCF_004133245.1,1778.0,41.0,2.0,0,0,0,0
Cyclovirus nhanloai,Cyclovirus nhanloai,,,,,1,1,1,1
Cyclovirus pettirosso,Cyclovirus pettirosso,GCF_029886285.1,1939.0,49.0,2.0,0,0,0,0
Cyclovirus prihor,Cyclovirus prihor,GCF_029886315.1,1930.0,34.5,2.0,0,0,0,0
Cyclovirus punarinta,Cyclovirus punarinta,GCF_029886295.1,1806.0,38.5,2.0,0,0,0,0
Cyclovirus rudzik,Cyclovirus rudzik,GCF_029886305.1,1882.0,42.0,2.0,0,0,0,0
Cyclovirus totoi,Cyclovirus totoi,GCF_029886275.1,1916.0,40.5,2.0,0,0,0,0
Cygnet River virus,Cygnet River virus,,,,,1,1,1,1
Cygnus atratus CRESS-DNA-virus sp.,Cygnus atratus CRESS-DNA-virus sp.,,,,,1,1,1,1
Cygnus atratus Chaphamaparvovirus,Cygnus atratus Chaphamaparvovirus,,,,,1,1,1,1
Cygnus atratus parvoviridae sp.,Cygnus atratus parvoviridae sp.,,,,,1,1,1,1
Cygnus columbianus CRESS-DNA-virus sp.,Cygnus columbianus CRESS-DNA-virus sp.,,,,,1,1,1,1
Cygnus columbianus Chaphamaparvovirus,Cygnus columbianus Chaphamaparvovirus,,,,,1,1,1,1
Cygnus columbianus parvo-like hybrid virus,Cygnus columbianus parvo-like hybrid virus,,,,,1,1,1,1
Cygnus columbianus parvoviridae sp.,Cygnus columbianus parvoviridae sp.,,,,,1,1,1,1
Cyvirus cyprinidallo3,Cyvirus cyprinidallo3,,,,,1,1,1,1
Dalvirus anatis,Dalvirus anatis,,,,,1,1,1,1
Davis virus,Davis virus,,,,,1,1,1,1
Deltacoronavirus B04,Deltacoronavirus B04,,,,,1,1,1,1
Deltacoronavirus B07,Deltacoronavirus B07,,,,,1,1,1,1
Deltacoronavirus HNU1-1,Deltacoronavirus HNU1-1,GCA_031243005.1,26289.0,42.0,9.0,0,0,0,0
Deltacoronavirus HNU1-2,Deltacoronavirus HNU1-2,GCA_031243015.1,26289.0,42.0,9.0,0,0,0,0
Deltacoronavirus HNU2,Deltacoronavirus HNU2,GCA_031243035.1,26240.0,41.5,9.0,0,0,0,0
Deltacoronavirus HNU3,Deltacoronavirus HNU3,GCA_031243025.1,26208.0,42.0,9.0,0,0,0,0
Deltacoronavirus sp.,Deltacoronavirus sp.,GCA_031163155.1,26159.0,40.0,10.0,0,0,0,0
Dendrocopos leucotos CRESS-DNA-virus sp.,Dendrocopos leucotos CRESS-DNA-virus sp.,,,,,1,1,1,1
Dendrocopos leucotos Chaphamaparvovirus,Dendrocopos leucotos Chaphamaparvovirus,,,,,1,1,1,1
Dendrocopos leucotos parvoviridae sp.,Dendrocopos leucotos parvoviridae sp.,,,,,1,1,1,1
Dependoparvovirus anseriform1,Dependoparvovirus anseriform1,GCF_000845505.1,5132.0,46.0,2.0,0,0,0,0
Dependoparvovirus avian1,Dependoparvovirus avian1,GCF_029884995.1,4642.0,57.5,4.0,0,0,0,0
Dependoparvovirus avian2,Dependoparvovirus avian2,,,,,1,1,1,1
Dependoparvovirus sp.,Dependoparvovirus sp.,,,,,1,1,1,1
Dnistrovskyi 408 orbivirus,Dnistrovskyi 408 orbivirus,,,,,1,1,1,1
Drake virus,Drake virus,,,,,1,1,1,1
Dralkin virus,Dralkin virus,,,,,1,1,1,1
Driatsky virus,Driatsky virus,,,,,1,1,1,1
Dryglaski virus,Dryglaski virus,,,,,1,1,1,1
Dubrovin virus,Dubrovin virus,,,,,1,1,1,1
Duck adeno-associated virus,Duck adeno-associated virus,,,,,1,1,1,1
Duck adenovirus,Duck adenovirus,,,,,1,1,1,1
Duck adenovirus 4,Duck adenovirus 4,,,,,1,1,1,1
Duck associated circular virus VC9,Duck associated circular virus VC9,,,,,1,1,1,1
Duck astrovirus 3,Duck astrovirus 3,,,,,1,1,1,1
Duck astrovirus CPH,Duck astrovirus CPH,GCA_031160965.1,7463.0,43.0,,0,0,0,1
Duck astrovirus GII.A,Duck astrovirus GII.A,GCF_000883675.1,7722.0,41.5,3.0,0,0,0,0
Duck atadenovirus A,Duck atadenovirus A,GCF_000845945.1,33213.0,43.0,30.0,0,0,0,0
Duck aviadenovirus,Duck aviadenovirus,,,,,1,1,1,1
Duck aviadenovirus B,Duck aviadenovirus B,GCF_000923915.1,43734.0,46.0,36.0,0,0,0,0
Duck calicivirus,Duck calicivirus,,,,,1,1,1,1
Duck calicivirus 2,Duck calicivirus 2,GCA_031192985.1,8293.0,54.5,2.0,0,0,0,0
Duck circovirus 3,Duck circovirus 3,GCA_031321665.1,1755.0,50.5,,0,0,0,1
Duck coronavirus 2714,Duck coronavirus 2714,,,,,1,1,1,1
Duck faeces associated circular DNA virus 1,Duck faeces associated circular DNA virus 1,GCF_001646015.1,2750.0,43.0,2.0,0,0,0,0
Duck faeces associated circular DNA virus 2,Duck faeces associated circular DNA virus 2,GCF_001646195.1,1845.0,32.0,2.0,0,0,0,0
Duck faeces associated circular DNA virus 3,Duck faeces associated circular DNA virus 3,GCF_001646395.1,1856.0,28.0,2.0,0,0,0,0
Duck flavivirus Anhui/2010,Duck flavivirus Anhui/2010,,,,,1,1,1,1
Duck flavivirus strain YY5,Duck flavivirus strain YY5,,,,,1,1,1,1
Duck genomovirus VC16,Duck genomovirus VC16,,,,,1,1,1,1
Duck genomovirus VC17,Duck genomovirus VC17,,,,,1,1,1,1
Duck hemorrhagic ovaritis virus,Duck hemorrhagic ovaritis virus,,,,,1,1,1,1
Duck hepacivirus,Duck hepacivirus,,,,,1,1,1,1
Duck hepatitis B virus,Duck hepatitis B virus,GCF_000844545.1,3024.0,43.0,5.0,0,0,0,0
Duck hepatitis virus 3,Duck hepatitis virus 3,,,,,1,1,1,1
Duck hepatitis virus AP,Duck hepatitis virus AP,,,,,1,1,1,1
Duck infectious anemia virus,Duck infectious anemia virus,GCA_031155845.1,8447.0,52.0,,0,0,0,1
Duck papillomavirus,Duck papillomavirus,,,,,1,1,1,1
Duck papillomavirus 3,Duck papillomavirus 3,GCA_031189275.1,7887.0,54.5,7.0,0,0,0,0
Duck parvovirus NM100,Duck parvovirus NM100,GCA_031164375.1,5073.0,46.0,,0,0,0,1
Duck parvovirus NM4,Duck parvovirus NM4,GCA_031165915.1,5073.0,46.0,,0,0,0,1
Duck picornavirus,Duck picornavirus,,,,,1,1,1,1
Duck picornavirus duck/FC22/China/2017,Duck picornavirus duck/FC22/China/2017,GCA_031192865.1,7448.0,45.5,,0,0,0,1
Duck rhabdovirus,Duck rhabdovirus,,,,,1,1,1,1
Duck sapelovirus,Duck sapelovirus,,,,,1,1,1,1
Duck ssDNA virus,Duck ssDNA virus,GCA_031236235.1,1621.0,42.0,,0,0,0,1
Duck-associated chapparvovirus,Duck-associated chapparvovirus,,,,,1,1,1,1
Duck-dominant coronavirus,Duck-dominant coronavirus,,,,,1,1,1,1
Dundee virus,Dundee virus,,,,,1,1,1,1
Durnavirales sp.,Durnavirales sp.,,,,,1,1,1,1
Eagle poxvirus,Eagle poxvirus,,,,,1,1,1,1
Eastern equine encephalitis virus,Eastern equine encephalitis virus,GCF_000862705.1,11675.0,48.5,4.0,0,0,0,0
Ellsworth virus,Ellsworth virus,,,,,1,1,1,1
Emberiza chrysophrys CRESS-DNA-virus sp.,Emberiza chrysophrys CRESS-DNA-virus sp.,,,,,1,1,1,1
Emberiza chrysophrys parvoviridae sp.,Emberiza chrysophrys parvoviridae sp.,,,,,1,1,1,1
Emberiza cioides CRESS-DNA-virus sp.,Emberiza cioides CRESS-DNA-virus sp.,,,,,1,1,1,1
Emberiza elegans CRESS-DNA-virus sp.,Emberiza elegans CRESS-DNA-virus sp.,,,,,1,1,1,1
Emberiza pusilla Chaphamaparvovirus,Emberiza pusilla Chaphamaparvovirus,,,,,1,1,1,1
Emberiza pusilla parvo-like hybrid virus,Emberiza pusilla parvo-like hybrid virus,,,,,1,1,1,1
Emberiza pusilla parvoviridae sp.,Emberiza pusilla parvoviridae sp.,,,,,1,1,1,1
Emberiza rustica CRESS-DNA-virus sp.,Emberiza rustica CRESS-DNA-virus sp.,,,,,1,1,1,1
Emberiza rustica Genomoviridae sp.,Emberiza rustica Genomoviridae sp.,,,,,1,1,1,1
Emberiza rustica parvoviridae sp.,Emberiza rustica parvoviridae sp.,,,,,1,1,1,1
Emberiza spodocephala CRESS-DNA-virus sp.,Emberiza spodocephala CRESS-DNA-virus sp.,,,,,1,1,1,1
Emberiza spodocephala Genomoviridae sp.,Emberiza spodocephala Genomoviridae sp.,,,,,1,1,1,1
Emberiza spodocephala parvoviridae sp.,Emberiza spodocephala parvoviridae sp.,,,,,1,1,1,1
Emberiza tristrami CRESS-DNA-virus sp.,Emberiza tristrami CRESS-DNA-virus sp.,,,,,1,1,1,1
Emberiza tristrami Genomoviridae sp.,Emberiza tristrami Genomoviridae sp.,,,,,1,1,1,1
Emberiza tristrami parvoviridae sp.,Emberiza tristrami parvoviridae sp.,,,,,1,1,1,1
Enquatrovirus sp.,Enquatrovirus sp.,,,,,1,1,1,1
Enterovirus F,Enterovirus F,GCF_000907315.1,7397.0,50.5,1.0,0,0,0,0
Estrildidae adenovirus 1,Estrildidae adenovirus 1,,,,,1,1,1,1
Estrildidae adenovirus 2,Estrildidae adenovirus 2,,,,,1,1,1,1
Etapapillomavirus 1,Etapapillomavirus 1,GCF_000841045.1,7729.0,47.5,6.0,0,0,0,0
Eurasian blackcap circovirus,Eurasian blackcap circovirus,,,,,1,1,1,1
Eurasian jay circovirus,Eurasian jay circovirus,,,,,1,1,1,1
Eurasian oystercatcher coronavirus,Eurasian oystercatcher coronavirus,,,,,1,1,1,1
European bee-eater circovirus,European bee-eater circovirus,GCA_031310625.1,1960.0,49.5,,0,0,0,1
European goldfinch circovirus,European goldfinch circovirus,,,,,1,1,1,1
European roller astrovirus,European roller astrovirus,GCA_031190065.1,8417.0,40.0,,0,0,0,1
Faeces associated gemycircularvirus 1,Faeces associated gemycircularvirus 1,,,,,1,1,1,1
Falco tinnunculus herpesvirus,Falco tinnunculus herpesvirus,,,,,1,1,1,1
Falcon aviadenovirus A,Falcon aviadenovirus A,GCA_022338145.1,39008.0,43.5,,0,0,0,1
Falcon coronavirus UAE-HKU27,Falcon coronavirus UAE-HKU27,GCA_031171215.1,26162.0,40.0,10.0,0,0,0,0
Falcon picornavirus,Falcon picornavirus,GCF_002355005.1,7964.0,42.5,1.0,0,0,0,0
Farmington virus,Farmington virus,GCF_000926315.1,12233.0,51.5,5.0,0,0,0,0
Feral pigeon astrovirus,Feral pigeon astrovirus,,,,,1,1,1,1
Ficedula mugimaki CRESS-DNA-virus sp.,Ficedula mugimaki CRESS-DNA-virus sp.,,,,,1,1,1,1
Ficedula mugimaki parvoviridae sp.,Ficedula mugimaki parvoviridae sp.,,,,,1,1,1,1
Ficedula parva CRESS-DNA-virus sp.,Ficedula parva CRESS-DNA-virus sp.,,,,,1,1,1,1
Ficedula parva parvoviridae sp.,Ficedula parva parvoviridae sp.,,,,,1,1,1,1
Filchner virus,Filchner virus,,,,,1,1,1,1
Finch poxvirus,Finch poxvirus,GCA_031311155.1,354030.0,30.0,,0,0,0,1
Finchpox virus,Finchpox virus,,,,,1,1,1,1
Flamingopox virus,Flamingopox virus,,,,,1,1,1,1
Flamingopox virus FGPVKD09,Flamingopox virus FGPVKD09,GCF_002889855.1,293123.0,29.5,285.0,0,0,0,0
Flavivirus CJD05/CHN/2010,Flavivirus CJD05/CHN/2010,,,,,1,1,1,1
Flavivirus duck/SD/CHN/2010,Flavivirus duck/SD/CHN/2010,,,,,1,1,1,1
Flavivirus strain CJD05,Flavivirus strain CJD05,,,,,1,1,1,1
Foot-and-mouth disease virus,Foot-and-mouth disease virus,,,,,1,1,1,1
Fort Morgan virus,Fort Morgan virus,GCF_000885435.1,11381.0,48.5,3.0,0,0,0,0
Fowl adenovirus,Fowl adenovirus,GCA_009372355.1,44291.0,53.5,,0,0,0,1
Fowl adenovirus 12,Fowl adenovirus 12,,,,,1,1,1,1
Fowl adenovirus HR1,Fowl adenovirus HR1,,,,,1,1,1,1
Fowl adenovirus HR2,Fowl adenovirus HR2,,,,,1,1,1,1
Fowl adenovirus HR3,Fowl adenovirus HR3,,,,,1,1,1,1
Fowl adenovirus HR4,Fowl adenovirus HR4,,,,,1,1,1,1
Fowl aviadenovirus A,Fowl aviadenovirus A,GCF_000845105.1,43804.0,54.5,31.0,0,0,0,0
Fowl aviadenovirus B,Fowl aviadenovirus B,GCF_000907375.1,45781.0,56.5,39.0,0,0,0,0
Fowl aviadenovirus C,Fowl aviadenovirus C,GCF_000890915.1,45667.0,54.5,46.0,0,0,0,0
Fowl aviadenovirus D,Fowl aviadenovirus D,GCF_000844285.1,45063.0,54.0,29.0,0,0,0,0
Fowl aviadenovirus E,Fowl aviadenovirus E,GCF_002817995.1,43810.0,58.0,37.0,0,0,0,0
Fowl aviadenovirus sp.,Fowl aviadenovirus sp.,,,,,1,1,1,1
Fowlpox virus,Fowlpox virus,GCF_000838605.1,288539.0,31.0,260.0,0,0,0,0
