pathogen,pathogenID,eid2UpdatedVirusID,host,hostID,order,fromSequence,fromPublication,strongest evidence type,strongest evidence,included
influenza b virus,3436338,3436338,phoca vitulina,3433768,carnivora,0,1,Isolation,isolation,1
influenza b virus,3436338,3436338,sus scrofa,3433956,suina,1,2,sequence (EID2),isolation,1
influenza c virus,3436385,3436385,canis lupus familiaris,3433584,carnivora,1,0,sequence (EID2),isolation,1
influenza c virus,3436385,3436385,homo sapiens,3433574,primates,1,27,sequence (EID2),isolation,1
influenza c virus,3436385,3436385,sus scrofa,3433956,suina,1,25,sequence (EID2),isolation,1
influenza d virus,26331886,26331886,bos indicus,3434103,ruminantia,1,1,sequence (EID2),isolation,1
influenza d virus,26331886,26331886,bos taurus,3434101,ruminantia,1,2,sequence (EID2),isolation,1
influenza d virus,26331886,26331886,camelus dromedarius,3433981,tylopoda,0,1,antibodies,serelogy,1
influenza d virus,26331886,26331886,sus scrofa,3433956,suina,1,0,sequence (EID2),isolation,1
ingwavuma orthobunyavirus,3632769,29395102,sus scrofa,3433956,suina,1,0,sequence (EID2),isolation,1
iotaarterivirus debrazmo,2501947,29375143,cercopithecus neglectus,3453703,primates,1,0,sequence (EID2),isolation,1
iotaarterivirus kibreg 1,2501948,29378409,cercopithecus ascanius,3453696,primates,0,1,isolation,isolation,1
iotapapillomavirus 1,3435084,3435084,mastomys natalensis,3434397,rodentia,1,0,sequence (EID2),isolation,1
iotapapillomavirus 1,3435084,3435084,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
iotapapillomavirus 2,24641587,29395438,peromyscus maniculatus,3434295,rodentia,1,0,sequence (EID2),isolation,1
irkut lyssavirus,3715136,3715136,canis lupus familiaris,3433584,carnivora,1,0,sequence (EID2),isolation,1
irkut lyssavirus,3715136,3715136,eonycteris spelaea,3491732,chiroptera,0,1,antibodies,serelogy,1
irkut lyssavirus,3715136,3715136,hipposideros armiger,3658554,chiroptera,0,1,antibodies,serelogy,1
irkut lyssavirus,3715136,3715136,murina leucogaster,3658580,chiroptera,1,1,sequence (EID2),isolation,1
irkut lyssavirus,3715136,3715136,pteropus lylei,3639202,chiroptera,0,1,antibodies,serelogy,1
isfahan vesiculovirus,3748785,29395130,homo sapiens,3433574,primates,0,1,Isolation,isolation,1
isfahan vesiculovirus,3748785,29395130,meriones persicus,26210735,rodentia,0,1,antibodies,serelogy,1
isfahan vesiculovirus,3748785,29395130,rhombomys opimus,3658089,rodentia,0,1,antibodies,serelogy,1
isfahan vesiculovirus,3748785,29395130,tatera indica,3658086,rodentia,0,1,antibodies,serelogy,1
isla vista hantavirus,3463805,3463805,microtus californicus,3566417,rodentia,1,2,sequence (EID2),isolation,1
isla vista hantavirus,3463805,3463805,peromyscus californicus,3464560,rodentia,1,2,sequence (EID2),isolation,1
issyk-kul virus,22682273,22682273,homo sapiens,3433574,primates,0,1,antibodies; disease,serelogy,1
issyk-kul virus,22682273,22682273,nyctalus noctula,3479708,chiroptera,1,1,sequence (EID2),isolation,1
issyk-kul virus,22682273,22682273,pipistrellus pipistrellus,3494221,chiroptera,0,1,Isolation,isolation,1
itaporanga virus,4022311,29395374,mus musculus,3434366,rodentia,1,0,sequence (EID2),isolation,1
itapua hantavirus,3725789,3725789,akodon montensis,3575432,rodentia,1,0,sequence (EID2),isolation,1
itapua hantavirus,3725789,3725789,oligoryzomys nigripes,3454993,rodentia,1,0,sequence (EID2),isolation,1
jaagsiekte sheep retrovirus,3436687,3436687,capra hircus,3434115,ruminantia,1,31,sequence (EID2),isolation,1
jaagsiekte sheep retrovirus,3436687,3436687,ovis aries,3434136,ruminantia,1,182,sequence (EID2),isolation,1
jaagsiekte sheep retrovirus,3436687,3436687,rupicapra pyrenaica,3516089,ruminantia,1,2,sequence (EID2),isolation,1
jaagsiekte sheep retrovirus,3436687,3436687,rupicapra rupicapra,3451551,ruminantia,0,1,isolation,isolation,1
jabora virus,3881301,3881301,akodon montensis,3575432,rodentia,1,4,sequence (EID2),isolation,1
jabora virus,3881301,3881301,akodon serrensis,3575436,rodentia,0,1,isolation,isolation,1
jabora virus,3881301,3881301,oligoryzomys nigripes,3454993,rodentia,0,1,antibodies,serelogy,1
jamestown canyon orthobunyavirus,3452442,29395104,alces alces,3434005,ruminantia,0,1,antibodies,serelogy,1
jamestown canyon orthobunyavirus,3452442,29395104,homo sapiens,3433574,primates,0,1,isolation,isolation,1
jamestown canyon orthobunyavirus,3452442,29395104,odocoileus virginianus,3434038,ruminantia,0,1,PCR,PCR,1
jamestown canyon orthobunyavirus,3452442,29395104,vulpes velox,3433610,carnivora,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,bos indicus,3434103,ruminantia,0,1,confirmed host; antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,bos taurus,3434101,ruminantia,1,98,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,canis lupus familiaris,3433584,carnivora,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,capra hircus,3434115,ruminantia,0,1,isolation; subclinical,isolation,1
japanese encephalitis virus,3435860,3435860,chlorocebus aethiops,3433463,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,cynopterus sphinx,3433241,chiroptera,0,1,Isolation,isolation,1
japanese encephalitis virus,3435860,3435860,equus asinus x caballus,24320964,perissodactyla,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,equus caballus,3433909,perissodactyla,1,39,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,hipposideros armiger,3658554,chiroptera,0,1,Isolation,isolation,1
japanese encephalitis virus,3435860,3435860,hipposideros bicolor,3631696,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,hipposideros cineraceus,3734421,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,hipposideros pomona,3789045,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,hipposideros speoris,3843292,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,homo sapiens,3433574,primates,1,129,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,macaca fascicularis,3433477,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,macaca fuscata,3433479,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,macaca mulatta,3433483,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,macaca nemestrina,3433485,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,macaca radiata,3433489,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,macaca sinica,3433495,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,miniopterus schreibersii,3433300,chiroptera,1,1,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,murina aurata,4016991,chiroptera,1,0,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,murina leucogaster,3658580,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,myotis macrodactylus,3658577,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,myotis mystacinus,3581329,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,myotis ricketti,3673960,chiroptera,1,0,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,nyctereutes procyonoides,3451573,carnivora,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,ovis aries,3434136,ruminantia,1,23,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,pipistrellus abramus,3573948,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,plecotus auritus,3498351,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,pongo pygmaeus,3433562,primates,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,procyon lotor,3433651,carnivora,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,pteropus alecto,3433245,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,pteropus scapulatus,3554537,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,rhinolophus affinis,3494227,chiroptera,1,0,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,rhinolophus ferrumequinum,3494231,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,rhinolophus macrotis,3667523,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,rhinolophus pusillus,3633429,chiroptera,0,1,Isolation,isolation,1
japanese encephalitis virus,3435860,3435860,rhinolophus rouxii,3546012,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,rousettus leschenaultii,3433257,chiroptera,1,1,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,scotophilus kuhlii,3627544,chiroptera,1,0,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,sus scrofa,3433956,suina,1,361,sequence (EID2),isolation,1
japanese encephalitis virus,3435860,3435860,taphozous melanopogon,3658566,chiroptera,0,1,antibodies,serelogy,1
japanese encephalitis virus,3435860,3435860,vespertilio sinensis,3573905,chiroptera,0,1,Isolation,isolation,1
jatobal orthobunyavirus,3624523,29395100,nasua nasua,3433645,carnivora,1,1,sequence (EID2),isolation,1
jeju orthohantavirus,24580125,29014450,crocidura shantungensis,3655543,eulipotyphla,1,1,sequence (EID2),isolation,1
jeju orthohantavirus,24580125,29014450,crocidura suaveolens,3482026,eulipotyphla,0,1,antibodies,serelogy,1
jemez springs virus,3907868,3907868,sorex bairdi,3588085,eulipotyphla,1,0,sequence (EID2),isolation,1
jemez springs virus,3907868,3907868,sorex monticolus,3500245,eulipotyphla,1,1,sequence (EID2),isolation,1
jemez springs virus,3907868,3907868,sorex palustris,3470917,eulipotyphla,1,0,sequence (EID2),isolation,1
jemez springs virus,3907868,3907868,sorex trowbridgii,3500251,eulipotyphla,1,0,sequence (EID2),isolation,1
jemez springs virus,3907868,3907868,sorex vagrans,3500249,eulipotyphla,1,0,sequence (EID2),isolation,1
jerboa arenavirus,2050008,29014452,dipus sagitta,3518503,rodentia,1,0,sequence (EID2),isolation,1
jerboa hantavirus,2050012,29014454,dipus sagitta,3518503,rodentia,1,0,sequence (EID2),isolation,1
jun jeilongvirus,3777906,29395376,mus musculus,3434366,rodentia,1,2,sequence (EID2),isolation,1
juquitiba virus,3876175,3876175,akodon cursor,3443354,rodentia,1,0,sequence (EID2),isolation,1
juquitiba virus,3876175,3876175,akodon montensis,3575432,rodentia,0,1,isolation,isolation,1
juquitiba virus,3876175,3876175,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
juquitiba virus,3876175,3876175,oligoryzomys fornesi,3689443,rodentia,1,1,sequence (EID2),isolation,1
juquitiba virus,3876175,3876175,oligoryzomys nigripes,3454993,rodentia,1,5,sequence (EID2),isolation,1
juquitiba virus,3876175,3876175,thaptomys nigrita,3545531,rodentia,0,1,antibodies,serelogy,1
jutiapa virus,3502585,3502585,sigmodon hispidus,3464368,rodentia,1,0,sequence (EID2),isolation,1
kadipiro virus,3572703,3572703,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
kaeng khoi orthobunyavirus,3764111,29395098,chaerephon plicatus,3918785,chiroptera,1,2,sequence (EID2),isolation,1
kairi orthobunyavirus,3531117,29395096,equus caballus,3433909,perissodactyla,0,1,Isolation,isolation,1
kappaarterivirus wobum,27220424,29378325,trichosurus vulpecula,3433135,diprotodontia,1,0,sequence (EID2),isolation,1
kappapapillomavirus 1,3599586,3599586,oryctolagus cuniculus,3434201,lagomorpha,0,1,PCR,PCR,1
kappapapillomavirus 2,3435176,3435176,oryctolagus cuniculus,3434201,lagomorpha,1,59,sequence (EID2),isolation,1
kappapapillomavirus 2,3435176,3435176,sylvilagus audubonii,3445677,lagomorpha,1,1,sequence (EID2),isolation,1
kappapapillomavirus 2,3435176,3435176,sylvilagus floridanus,3434205,lagomorpha,1,1,sequence (EID2),isolation,1
kasokero orthonairovirus,22681961,29395384,rousettus aegyptiacus,3433255,chiroptera,1,1,sequence (EID2),isolation,1
kenkeme orthohantavirus,4114189,29395108,sorex roboratus,3499129,eulipotyphla,1,2,sequence (EID2),isolation,1
kern canyon ledantevirus,3830835,29395158,myotis yumanensis,3632942,chiroptera,1,0,sequence (EID2),isolation,1
keterah orthonairovirus,1980525,29394388,scotophilus kuhlii,3627544,chiroptera,0,1,isolation from ticks,isolation,1
keuraliba ledantevirus,3830840,29395156,gerbilliscus kempi,3857725,rodentia,1,0,sequence (EID2),isolation,1
keystone orthobunyavirus,3452446,29395094,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
keystone orthobunyavirus,3452446,29395094,odocoileus virginianus,3434038,ruminantia,0,1,isolation,isolation,1
keystone orthobunyavirus,3452446,29395094,procyon lotor,3433651,carnivora,0,1,antibodies,serelogy,1
keystone orthobunyavirus,3452446,29395094,sciurus carolinensis,3445773,rodentia,0,1,isolation,isolation,1
keystone orthobunyavirus,3452446,29395094,sylvilagus floridanus,3434205,lagomorpha,0,1,isolation,isolation,1
khabarovsk orthohantavirus,3465211,3465211,apodemus agrarius,3458388,rodentia,0,1,isolation,isolation,1
khabarovsk orthohantavirus,3465211,3465211,microtus fortis,3566421,rodentia,1,6,sequence (EID2),isolation,1
khabarovsk orthohantavirus,3465211,3465211,microtus maximowiczii,3911462,rodentia,1,1,sequence (EID2),isolation,1
khabarovsk orthohantavirus,3465211,3465211,microtus oeconomus,3503296,rodentia,0,1,PCR,PCR,1
khujand lyssavirus,3704731,3704731,eonycteris spelaea,3491732,chiroptera,0,1,antibodies,serelogy,1
khujand lyssavirus,3704731,3704731,hipposideros armiger,3658554,chiroptera,0,1,antibodies,serelogy,1
khujand lyssavirus,3704731,3704731,pteropus lylei,3639202,chiroptera,0,1,antibodies,serelogy,1
kimberley ephemerovirus,3774943,29395386,bos taurus,3434101,ruminantia,1,0,sequence (EID2),isolation,1
kirsten murine sarcoma virus,3436779,3436779,cricetulus griseus,3434272,rodentia,0,1,isolation,isolation,1
klamath tupavirus,4197210,29395388,microtus montanus,3544320,rodentia,1,0,sequence (EID2),isolation,1
klamath tupavirus,4197210,29395388,odocoileus hemionus,3434034,ruminantia,0,1,antibodies,serelogy,1
koala retrovirus,3843437,3843437,phascolarctos cinereus,3457716,diprotodontia,1,50,sequence (EID2),isolation,1
kobuvirus bamboo rat,27705979,27705979,rhizomys pruinosus,3483188,rodentia,1,0,sequence (EID2),isolation,1
kodoko virus,3879777,3879777,mus minutoides,3434391,rodentia,1,1,sequence (EID2),isolation,1
koolpinyah ephemerovirus,27314316,29395390,bos taurus,3434101,ruminantia,1,0,sequence (EID2),isolation,1
korf virus,26302956,26302956,sorex isodon,3499115,eulipotyphla,1,0,sequence (EID2),isolation,1
kowari adenovirus,27501722,27501722,dasyuroides byrnei,3448412,dasyuromorphia,1,0,sequence (EID2),isolation,1
kuhl's pipistrelle adenovirus 1,27589147,27589147,pipistrellus kuhlii,3494218,chiroptera,1,0,sequence (EID2),isolation,1
kumasi ledantevirus,27310744,29395154,eidolon helvum,3524418,chiroptera,1,0,sequence (EID2),isolation,1
kyasanur forest disease virus,3449682,3449682,bos taurus,3434101,ruminantia,0,1,antibodies,serelogy,1
kyasanur forest disease virus,3449682,3449682,cynopterus sphinx,3433241,chiroptera,0,1,Isolation,isolation,1
kyasanur forest disease virus,3449682,3449682,homo sapiens,3433574,primates,1,4,sequence (EID2),isolation,1
kyasanur forest disease virus,3449682,3449682,hystrix indica,3664064,rodentia,0,1,antibodies,serelogy,1
kyasanur forest disease virus,3449682,3449682,macaca radiata,3433489,primates,1,0,sequence (EID2),isolation,1
kyasanur forest disease virus,3449682,3449682,ovis aries,3434136,ruminantia,0,1,antibodies,serelogy,1
kyasanur forest disease virus,3449682,3449682,rattus rattus,3434407,rodentia,0,1,antibodies,serelogy,1
kyasanur forest disease virus,3449682,3449682,rousettus leschenaultii,3433257,chiroptera,0,1,antibodies,serelogy,1
kyasanur forest disease virus,3449682,3449682,semnopithecus entellus,3543630,primates,1,0,sequence (EID2),isolation,1
lagenorhynchus alphaherpesvirus 1,27246142,27246142,lagenorhynchus obliquidens,3547503,cetacea,1,0,sequence (EID2),isolation,0
lagos bat lyssavirus,3457970,3457970,atilax paludinosus,3680425,carnivora,1,1,sequence (EID2),isolation,1
lagos bat lyssavirus,3457970,3457970,canis lupus familiaris,3433584,carnivora,0,1,antibodies,serelogy,1
lagos bat lyssavirus,3457970,3457970,eidolon dupreanum,3491728,chiroptera,0,1,antibodies,serelogy,1
lagos bat lyssavirus,3457970,3457970,eidolon helvum,3524418,chiroptera,1,11,sequence (EID2),isolation,1
lagos bat lyssavirus,3457970,3457970,epomophorus gambianus,3823262,chiroptera,0,1,antibodies,serelogy,1
lagos bat lyssavirus,3457970,3457970,epomophorus wahlbergi,3491736,chiroptera,1,0,sequence (EID2),isolation,1
lagos bat lyssavirus,3457970,3457970,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
lagos bat lyssavirus,3457970,3457970,homo sapiens,3433574,primates,0,1,implicated; antibodies,serelogy,1
lagos bat lyssavirus,3457970,3457970,myonycteris torquata,3524469,chiroptera,0,1,antibodies,serelogy,1
lagos bat lyssavirus,3457970,3457970,rousettus aegyptiacus,3433255,chiroptera,1,2,sequence (EID2),isolation,1
laguna negra orthohantavirus,3497225,3497225,akodon simulator,3923635,rodentia,1,1,sequence (EID2),isolation,1
laguna negra orthohantavirus,3497225,3497225,calomys callidus,3861706,rodentia,0,1,isolation,isolation,1
laguna negra orthohantavirus,3497225,3497225,calomys callosus,3488487,rodentia,0,1,PCR,PCR,1
laguna negra orthohantavirus,3497225,3497225,calomys laucha,3488489,rodentia,1,2,sequence (EID2),isolation,1
laguna negra orthohantavirus,3497225,3497225,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
laguna negra orthohantavirus,3497225,3497225,mesocricetus brandti,3434287,rodentia,0,1,isolation,isolation,1
laguna negra orthohantavirus,3497225,3497225,oligoryzomys nigripes,3454993,rodentia,0,1,antibodies,serelogy,1
laibin mobatvirus,26205102,26205102,taphozous melanopogon,3658566,chiroptera,1,0,sequence (EID2),isolation,1
lamb pestivirus,26532000,26532000,ovis aries,3434136,ruminantia,1,0,sequence (EID2),isolation,1
lambdaarterivirus afriporav,2499621,29371209,cricetomys emini,3577493,rodentia,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 1,3653605,3653605,acinonyx jubatus,3448402,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 1,3653605,3653605,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 1,3653605,3653605,lynx rufus,3497561,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 1,3653605,3653605,panthera leo,3433712,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 1,3653605,3653605,panthera uncia,3443305,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 1,3653605,3653605,puma concolor,3433725,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 2,3452148,3452148,canis latrans,3433582,carnivora,0,1,isolation,isolation,1
lambdapapillomavirus 2,3452148,3452148,canis lupus,3433580,carnivora,1,4,sequence (EID2),isolation,1
lambdapapillomavirus 2,3452148,3452148,canis lupus familiaris,3433584,carnivora,1,1,sequence (EID2),isolation,1
lambdapapillomavirus 4,27856732,26552761,enhydra lutris,3451577,carnivora,1,0,sequence (EID2),isolation,1
lambdapapillomavirus 4,27856732,26552761,procyon lotor,3433651,carnivora,1,0,sequence (EID2),isolation,1
langat virus,3435886,3435886,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
langat virus,3435886,3435886,mus musculus,3434366,rodentia,1,4,sequence (EID2),isolation,1
langat virus,3435886,3435886,rattus muelleri,22683405,rodentia,0,1,isolation,isolation,1
lassa mammarenavirus,3436481,3436481,cavia porcellus,3434442,rodentia,0,1,isolation,isolation,1
lassa mammarenavirus,3436481,3436481,homo sapiens,3433574,primates,1,33,sequence (EID2),isolation,1
lassa mammarenavirus,3436481,3436481,lemniscomys striatus,3598977,rodentia,0,1,antibodies,serelogy,1
lassa mammarenavirus,3436481,3436481,macaca fascicularis,3433477,primates,0,1,Isolation,isolation,1
lassa mammarenavirus,3436481,3436481,macaca mulatta,3433483,primates,0,1,isolation; model,isolation,1
lassa mammarenavirus,3436481,3436481,mastomys erythroleucus,3462326,rodentia,1,3,sequence (EID2),isolation,1
lassa mammarenavirus,3436481,3436481,mastomys natalensis,3434397,rodentia,1,49,sequence (EID2),isolation,1
lassa mammarenavirus,3436481,3436481,mus baoulei,3973885,rodentia,1,0,sequence (EID2),isolation,1
lassa mammarenavirus,3436481,3436481,mus minutoides,3434391,rodentia,0,1,isolation; model,isolation,1
lassa mammarenavirus,3436481,3436481,praomys daltoni,3434399,rodentia,0,1,antibodies,serelogy,1
lassa mammarenavirus,3436481,3436481,praomys rostratus,3916807,rodentia,0,1,antibodies,serelogy,1
latino mammarenavirus,3469112,3469112,calomys callidus,3861706,rodentia,1,0,sequence (EID2),isolation,1
latino mammarenavirus,3469112,3469112,calomys callosus,3488487,rodentia,1,1,sequence (EID2),isolation,1
le dantec ledantevirus,3774956,29395152,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
lebombo virus,22683139,22683139,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
leopards hill virus,26532004,26532004,hipposideros gigas,4004754,chiroptera,1,0,sequence (EID2),isolation,1
leopardus pardalis gammaherpesvirus 1,27406664,27406664,leopardus pardalis,3448404,carnivora,1,0,sequence (EID2),isolation,1
leporid alphaherpesvirus 4,3921008,3921008,oryctolagus cuniculus,3434201,lagomorpha,1,3,sequence (EID2),isolation,1
lesavirus 1,27342556,27342556,lemur catta,3433321,primates,1,0,sequence (EID2),isolation,1
lesavirus 2,27342558,27342558,varecia variegata,3433329,primates,1,0,sequence (EID2),isolation,1
lesser horseshoe bat adenovirus 1,27589161,27589161,rhinolophus hipposideros,3524426,chiroptera,1,0,sequence (EID2),isolation,1
lesser mouse-eared bat adenovirus 1,27589163,27589163,myotis blythii,3581335,chiroptera,1,0,sequence (EID2),isolation,1
lesser noctule adenovirus 1,27309398,27309398,nyctalus leisleri,3494206,chiroptera,1,0,sequence (EID2),isolation,1
lesser noctule adenovirus 2,27309400,27309400,nyctalus leisleri,3494206,chiroptera,1,0,sequence (EID2),isolation,1
lesser noctule adenovirus 3,27309402,27309402,nyctalus leisleri,3494206,chiroptera,1,0,sequence (EID2),isolation,1
lesser noctule adenovirus 4,27309404,27309404,nyctalus leisleri,3494206,chiroptera,1,0,sequence (EID2),isolation,1
lesser panda anellovirus,2012640,29017954,ailurus fulgens,3433641,carnivora,0,1,isolation,isolation,1
lianghe virus,26302880,26302880,anourosorex squamipes,3604317,eulipotyphla,1,2,sequence (EID2),isolation,1
liao ning virus,3712150,3712150,mus musculus,3434366,rodentia,1,0,sequence (EID2),isolation,1
limestone canyon virus,3615086,3615086,peromyscus boylii,3488675,rodentia,1,2,sequence (EID2),isolation,1
linda virus,27063176,27063176,sus scrofa,3433956,suina,1,2,sequence (EID2),isolation,1
livingstone bufavirus,27327782,27327782,papio ursinus,3453707,primates,1,0,sequence (EID2),isolation,1
lleida bat lyssavirus,26205312,26205312,miniopterus schreibersii,3433300,chiroptera,1,1,sequence (EID2),isolation,1
lloviu cuevavirus,26205314,26205314,miniopterus schreibersii,3433300,chiroptera,1,1,sequence (EID2),isolation,1
loei river mammarenavirus,26302922,26302922,bandicota indica,3899148,rodentia,1,0,sequence (EID2),isolation,1
lohja virus,26302994,26302994,sorex araneus,3464087,eulipotyphla,1,0,sequence (EID2),isolation,1
lonchophylla thomasi simplexvirus 1,3994643,3994643,hsunycteris thomasi,3614398,chiroptera,1,0,sequence (EID2),isolation,1
longquan aa mouse coronavirus,27581703,27581703,apodemus agrarius,3458388,rodentia,1,0,sequence (EID2),isolation,1
longquan aa mouse coronavirus,27581703,27581703,rattus losea,3510056,rodentia,1,0,sequence (EID2),isolation,1
longquan aa mouse coronavirus,27581703,27581703,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
longquan loanvirus,26205104,26205104,rhinolophus affinis,3494227,chiroptera,1,1,sequence (EID2),isolation,1
longquan loanvirus,26205104,26205104,rhinolophus monoceros,3642474,chiroptera,1,1,sequence (EID2),isolation,1
longquan loanvirus,26205104,26205104,rhinolophus sinicus,3546014,chiroptera,1,1,sequence (EID2),isolation,1
longquan rl rat coronavirus,26302946,26302946,niviventer confucianus,3714425,rodentia,1,0,sequence (EID2),isolation,1
longquan rl rat coronavirus,26302946,26302946,rattus losea,3510056,rodentia,1,0,sequence (EID2),isolation,1
longquan rl rat coronavirus,26302946,26302946,rattus tanezumi,3452800,rodentia,1,0,sequence (EID2),isolation,1
lophocebus aterrimus adenovirus,1916697,29018780,lophocebus aterrimus,3521417,primates,1,0,sequence (EID2),isolation,1
lorisid herpesvirus 1,27463390,27463390,nycticebus pygmaeus,3567053,primates,1,0,sequence (EID2),isolation,1
louping ill virus,3435888,3435888,apodemus sylvaticus,3434424,rodentia,0,1,antibodies,serelogy,1
louping ill virus,3435888,3435888,capra hircus,3434115,ruminantia,1,6,sequence (EID2),isolation,1
louping ill virus,3435888,3435888,capreolus capreolus,3434013,ruminantia,0,1,isolation,isolation,1
louping ill virus,3435888,3435888,cavia porcellus,3434442,rodentia,0,1,antibodies,serelogy,1
louping ill virus,3435888,3435888,cervus elaphus,3434017,ruminantia,0,1,isolation,isolation,1
louping ill virus,3435888,3435888,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
louping ill virus,3435888,3435888,lepus timidus,3499720,lagomorpha,0,1,antibodies,serelogy,1
louping ill virus,3435888,3435888,microtus agrestis,3443349,rodentia,0,1,isolation,isolation,1
louping ill virus,3435888,3435888,myodes glareolus,3891106,rodentia,0,1,antibodies,serelogy,1
louping ill virus,3435888,3435888,oryctolagus cuniculus,3434201,lagomorpha,0,1,antibodies,serelogy,1
louping ill virus,3435888,3435888,ovis aries,3434136,ruminantia,1,35,sequence (EID2),isolation,1
louping ill virus,3435888,3435888,sus scrofa,3433956,suina,1,1,sequence (EID2),isolation,1
loxodonta africana polyomavirus 1,27760195,29395054,loxodonta africana,3433889,proboscidea,1,1,sequence (EID2),isolation,1
loxodonta africana polyomavirus 1,27760195,29395054,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
lucheng rn rat coronavirus,26302948,26302948,rattus norvegicus,3434405,rodentia,1,1,sequence (EID2),isolation,1
lujo mammarenavirus,4035530,4035530,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
lumpy skin disease virus,3494289,3494289,antidorcas marsupialis,3494315,ruminantia,1,0,sequence (EID2),isolation,1
lumpy skin disease virus,3494289,3494289,bos taurus,3434101,ruminantia,1,54,sequence (EID2),isolation,1
lumpy skin disease virus,3494289,3494289,bubalus bubalis,3546118,ruminantia,1,1,sequence (EID2),isolation,1
lumpy skin disease virus,3494289,3494289,capra hircus,3434115,ruminantia,1,13,sequence (EID2),isolation,1
lumpy skin disease virus,3494289,3494289,connochaetes taurinus,3434119,ruminantia,0,1,serum neutralization test,serelogy,1
lumpy skin disease virus,3494289,3494289,damaliscus lunatus,3434123,ruminantia,0,1,antibodies,serelogy,1
lumpy skin disease virus,3494289,3494289,oryx leucoryx,3459038,ruminantia,0,1,virus neutralization; electron microscopy; antibodies,serelogy,1
