,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
860,Pacific black duck chaphamaparvovirus,2759406,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
861,Pacific black duck chaphamaparvovirus 1,2759407,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4323.0,39.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
862,Grey teal chaphamaparvovirus,2759408,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
863,Chestnut teal aalivirus,2759411,20.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
864,Pacific black duck aalivirus,2759412,20.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
865,Chestnut teal megrivirus,2759413,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
866,Wood duck megrivirus,2759414,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
867,Pacific black duck sicinivirus-like virus,2759415,20.0,32.0,102.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
868,Chestnut teal sicinivirus-like virus,2759416,20.0,32.0,102.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
869,Pacific black duck adeno-associated virus,2759417,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
870,Pacific black duck anativirus-like virus,2759419,20.0,32.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
871,Pacific black duck aveparvovirus,2759420,19.0,28.0,10.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
872,Poecivirus sp.,2759496,20.0,32.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
873,Wood duck chaphamaparvovirus,2759604,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
874,Antarctic virus 1_II_CPGEORsw003Ad,2761171,,,,,1.0,0.0,0.0,,0.0,0.0,2322.0,53.5,,,,,,,,,
875,Antarctic virus 1_II_CPGEORsw003Ch,2761172,,,,,1.0,0.0,0.0,,0.0,0.0,2322.0,53.5,,,,,,,,,
876,Antarctic virus 1_I_CPGEORsw001Ad,2761173,,,,,1.0,0.0,0.0,,0.0,0.0,2323.0,53.0,,,,,,,,,
877,Antarctic virus 1_I_CPGEORsw002Ad,2761174,,,,,1.0,0.0,0.0,,0.0,0.0,2323.0,53.0,,,,,,,,,
878,Antarctic virus 2_I_GPYANKsw001Ad,2761175,,,,,1.0,0.0,0.0,,0.0,0.0,1944.0,48.0,,,,,,,,,
879,Antarctic virus 2_I_GPYANKsw001Ch,2761176,,,,,1.0,0.0,0.0,,0.0,0.0,1944.0,48.0,,,,,,,,,
880,Antarctic virus 2_I_GPYANKsw002Ad,2761177,,,,,1.0,0.0,0.0,,0.0,0.0,1944.0,48.0,,,,,,,,,
881,Antarctic virus 2_I_GPYANKsw003Ad,2761178,,,,,1.0,0.0,0.0,,0.0,0.0,1944.0,48.0,,,,,,,,,
882,Antarctic virus 2_I_GPYANKsw004Ad,2761179,,,,,1.0,0.0,0.0,,0.0,0.0,1944.0,48.0,,,,,,,,,
883,Antarctic virus 3_III_KPSTAsw010Ad,2761180,,,,,1.0,0.0,0.0,,0.0,0.0,2713.0,50.5,,,,,,,,,
884,Antarctic virus 3_III_KPSTAsw014Ch,2761181,,,,,1.0,0.0,0.0,,0.0,0.0,2712.0,50.5,,,,,,,,,
885,Antarctic virus 3_III_KPSTAsw016Ch,2761182,,,,,1.0,0.0,0.0,,0.0,0.0,2712.0,50.5,,,,,,,,,
886,Antarctic virus 3_III_KPSTAsw018Ch,2761183,,,,,1.0,0.0,0.0,,0.0,0.0,2713.0,50.5,,,,,,,,,
887,Antarctic virus 3_III_KPSTAsw019Ch,2761184,,,,,1.0,0.0,0.0,,0.0,0.0,2712.0,50.5,,,,,,,,,
888,Antarctic virus 3_II_CPHALFsw005Ad,2761185,,,,,1.0,0.0,0.0,,0.0,0.0,2705.0,49.5,,,,,,,,,
889,Antarctic virus 3_IV_KPSTAsw015Ch,2761186,,,,,1.0,0.0,0.0,,0.0,0.0,2709.0,50.5,,,,,,,,,
890,Antarctic virus 3_I_CPHALFsw004Ad,2761187,,,,,1.0,0.0,0.0,,0.0,0.0,2720.0,50.0,,,,,,,,,
891,Antarctic virus 3_V_CPHALFsw003Ad,2761188,,,,,1.0,0.0,0.0,,0.0,0.0,2689.0,50.0,,,,,,,,,
892,Antarctic virus 4_II_KPSTAsw004Ad,2761189,,,,,1.0,0.0,0.0,,0.0,0.0,2728.0,50.5,,,,,,,,,
893,Antarctic virus 4_II_KPSTAsw014Ch,2761190,,,,,1.0,0.0,0.0,,0.0,0.0,2728.0,50.5,,,,,,,,,
894,Antarctic virus 4_II_KPSTAsw015Ch,2761191,,,,,1.0,0.0,0.0,,0.0,0.0,2728.0,50.5,,,,,,,,,
895,Antarctic virus 4_II_KPSTAsw016Ch,2761192,,,,,1.0,0.0,0.0,,0.0,0.0,2727.0,50.5,,,,,,,,,
896,Antarctic virus 4_II_KPSTAsw017Ch,2761193,,,,,1.0,0.0,0.0,,0.0,0.0,2728.0,50.5,,,,,,,,,
897,Antarctic virus 4_II_KPSTAsw018Ch,2761194,,,,,1.0,0.0,0.0,,0.0,0.0,2729.0,50.5,,,,,,,,,
898,Antarctic virus 4_II_KPSTAsw019Ch,2761195,,,,,1.0,0.0,0.0,,0.0,0.0,2729.0,50.5,,,,,,,,,
899,Antarctic virus 4_I_KPSTAsw001Ad,2761196,,,,,1.0,0.0,0.0,,0.0,0.0,2721.0,51.5,,,,,,,,,
900,Antarctic virus 4_I_KPSTAsw002Ad,2761197,,,,,1.0,0.0,0.0,,0.0,0.0,2721.0,51.5,,,,,,,,,
901,Antarctic virus 4_I_KPSTAsw008Ad,2761198,,,,,1.0,0.0,0.0,,0.0,0.0,2721.0,51.5,,,,,,,,,
902,Antarctic virus 4_I_KPSTAsw009Ad,2761199,,,,,1.0,0.0,0.0,,0.0,0.0,2721.0,51.5,,,,,,,,,
903,Antarctic virus 4_I_KPSTAsw010Ad,2761200,,,,,1.0,0.0,0.0,,0.0,0.0,2721.0,51.5,,,,,,,,,
904,Antarctic virus 5_I_KPSTAsw001Ad,2761201,,,,,1.0,0.0,0.0,,0.0,0.0,2719.0,49.5,,,,,,,,,
905,Antarctic virus 5_I_KPSTAsw002Ad,2761202,,,,,1.0,0.0,0.0,,0.0,0.0,2719.0,49.5,,,,,,,,,
906,Antarctic virus 5_I_KPSTAsw004Ad,2761203,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
907,Antarctic virus 5_I_KPSTAsw008Ad,2761204,,,,,1.0,0.0,0.0,,0.0,0.0,2719.0,49.5,,,,,,,,,
908,Antarctic virus 5_I_KPSTAsw009Ad,2761205,,,,,1.0,0.0,0.0,,0.0,0.0,2719.0,49.5,,,,,,,,,
909,Antarctic virus 5_I_KPSTAsw018Ch,2761206,,,,,1.0,0.0,0.0,,0.0,0.0,2719.0,49.5,,,,,,,,,
910,Antarctic virus 5_I_KPSTAsw020Ch,2761207,,,,,1.0,0.0,0.0,,0.0,0.0,2719.0,49.5,,,,,,,,,
911,Antarctic virus 6_I_APBOOTsw001Ad,2761208,,,,,1.0,0.0,0.0,,0.0,0.0,2329.0,49.0,,,,,,,,,
912,Antarctic virus 6_I_APBOOTsw001Ch,2761209,,,,,1.0,0.0,0.0,,0.0,0.0,2329.0,49.0,,,,,,,,,
913,Pigeon gyrovirus,2766787,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2573.0,54.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
914,Lonchura striata deltavirus,2766951,,18.0,30.0,1.0,1.0,0.0,1.0,,0.0,1.0,1708.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
915,Bruthen virus,2776920,3.0,30.0,92.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
916,Loch Leven virus,2776924,20.0,32.0,53.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
917,Maypo virus,2776959,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
918,Neva virus,2776960,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
919,Blencathra virus,2776961,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
920,Carnarvon virus,2776962,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
921,Waterwitch virus,2776963,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
922,Whistler virus,2776964,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
923,Netherby virus,2776965,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
924,British Admiral virus,2776966,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
925,Cataraqui virus,2776967,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
926,Shorebird deltacoronavirus,2776968,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
927,Blue tit hepacivirus,2777463,0.0,13.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
928,Magpie hepacivirus,2777467,0.0,13.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
929,Pelican hepacivirus,2777469,0.0,13.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
930,Passerine adenovirus 1,2779174,23.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39644.0,53.5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
931,Avian gyrovirus 13,2781374,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2195.0,46.5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
932,Duck genomovirus VC16,2781375,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
933,Duck genomovirus VC17,2781376,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
934,Duck associated circular virus VC9,2781378,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
935,Gyrovirus 9,2781379,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2215.0,45.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
936,Gyrovirus VC5,2781380,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
937,Gyrovirus VC7,2781381,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
938,Duck ssDNA virus,2781382,,,,,,,,,,,1621.0,42.0,,,,,,,,,
939,Chaphamaparvovirus gyb-MR3/2015/HUN,2785213,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
940,Montifringilla taczanowskii coronavirus N,2794340,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
941,Accipiter gentilis parvoviridae sp.,2794463,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
942,Aegithalos caudatus parvoviridae sp.,2794464,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
943,Arundinax aedon parvoviridae sp.,2794465,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
944,Ara ararauna parvoviridae sp.,2794466,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
945,Ara severa parvoviridae sp.,2794467,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
946,Bonasa bonasia parvoviridae sp.,2794468,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
947,Carpodacus sibiricus parvoviridae sp.,2794469,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
948,Cecropis daurica parvoviridae sp.,2794470,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
949,Chrysolophuspictus parvoviridae sp.,2794471,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
950,Ciconia boyciana parvoviridae sp.,2794472,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
951,Cyanopica cyanus parvoviridae sp.,2794473,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
952,Cygnus columbianus parvoviridae sp.,2794474,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
953,Dendrocopos leucotos parvoviridae sp.,2794475,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
954,Emberiza chrysophrys parvoviridae sp.,2794476,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
955,Emberiza pusilla parvoviridae sp.,2794477,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
956,Emberiza rustica parvoviridae sp.,2794478,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
957,Emberiza tristrami parvoviridae sp.,2794479,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
958,Ficedula mugimaki parvoviridae sp.,2794480,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
959,Emberiza spodocephala parvoviridae sp.,2794481,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
960,Lanius cristatus parvoviridae sp.,2794482,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
961,Lophura nycthemera parvoviridae sp.,2794483,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
962,Ara ararauna Chaphamaparvovirus,2794484,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
963,Cygnus atratus Chaphamaparvovirus,2794485,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
964,Cygnus columbianus Chaphamaparvovirus,2794486,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
965,Dendrocopos leucotos Chaphamaparvovirus,2794487,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
966,Emberiza pusilla Chaphamaparvovirus,2794488,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
967,Fringilla montifringilla Chaphamaparvovirus,2794489,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
968,Grus japonensis Chaphamaparvovirus,2794490,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
969,Luscinia cyane Chaphamaparvovirus,2794491,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
970,Turdus pallidus Chaphamaparvovirus,2794492,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
971,Nandayus nenday Chaphamaparvovirus,2794493,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
972,Psittacidae Chaphamaparvovirus,2794494,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
973,Ciconia boyciana parvo-like hybrid virus,2794504,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
974,Cygnus atratus parvoviridae sp.,2794505,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
975,Ficedula parva parvoviridae sp.,2794506,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
976,Fringilla montifringilla parvoviridae sp.,2794507,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
977,Garrulus glandarius parvoviridae sp.,2794508,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
978,Cygnus columbianus parvo-like hybrid virus,2794509,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
979,Emberiza pusilla parvo-like hybrid virus,2794510,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
980,Grus japonensis parvo-like hybrid virus,2794511,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
981,Grus japonensis parvoviridae sp.,2794512,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
982,Luscinia cyane parvoviridae sp.,2794513,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
983,Luscinia sibilans parvo-like hybrid virus,2794515,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
984,Luscinia sibilans parvoviridae sp.,2794516,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
985,Motacilla cinerea parvo-like hybrid virus,2794517,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
986,Motacilla cinerea parvoviridae sp.,2794518,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
987,Nandayus nenday parvoviridae sp.,2794519,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
988,Otus scops parvoviridae sp.,2794520,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
989,Parus major parvoviridae sp.,2794521,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
990,Passer montanus parvoviridae sp.,2794522,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
991,Pavo cristatus parvo-like hybrid virus,2794523,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
992,Pavo cristatus parvoviridae sp.,2794524,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
993,Turdus naumanni parvoviridae sp.,2794525,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
994,Turdus pallidus parvoviridae sp.,2794526,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
995,Periparus ater parvoviridae sp.,2794527,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
996,Phoenicopteridae parvo-like hybrid virus,2794528,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
997,Phoenicopteridae parvoviridae sp.,2794529,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
998,Phoenicopterus roseus parvo-like hybrid virus,2794530,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
999,Phoenicurus auroreus parvoviridae sp.,2794531,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1000,Phylloscopus proregulus parvoviridae sp.,2794532,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1001,Phylloscopus schwarzi parvoviridae sp.,2794533,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1002,Phylloscopus fuscatus parvoviridae sp.,2794534,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1003,Psittacidae parvo-like hybrid virus,2794535,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1004,Psittacidae parvoviridae sp.,2794536,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1005,Syrmaticus ellioti parvo-like hybrid virus,2794537,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1006,Turdus hortulorum parvoviridae sp.,2794538,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1007,Phylloscopus inornatus parvoviridae sp.,2794539,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1008,Tarsiger cyanurus parvoviridae sp.,2794540,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1009,Periparus ater Ichthamaparvovirus,2794548,19.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1010,Phylloscopus fuscatus Ichthamaparvovirus,2794549,19.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1011,Phylloscopus proregulus Ichthamaparvovirus,2794550,19.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1012,Turdus naumanni Ichthamaparvovirus,2794551,19.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
