Pathogen Species,GA
Picornavirus chicken/CHK168/USA/2010,0
Picornavirus chicken/CHK175/USA/2010,0
Picornavirus turkey/TRK22/USA/2010,0
Picornavirus turkey/TRK24/USA/2010,0
Picornavirus turkey/TRK90/USA/2010,0
Picornavirus turkey/TRK91/USA/2010,0
Pigeon adenovirus,nan
Pigeon adenovirus 2a,0
Pigeon adenovirus 2b,0
Pigeon adenovirus 3,0
Pigeon adenovirus 4,0
Pigeon adenovirus 5,0
Pigeon adenovirus FJ2017,0
Pigeon astrovirus,nan
Pigeon aviadenovirus A,GCF_000921315.1
Pigeon aviadenovirus B,GCF_001831345.1
Pigeon coronavirus UAE-HKU29,0
Pigeon gyrovirus,nan
Pigeon parvovirus A,GCF_018580195.1
Pigeon picornavirus A,0
Pigeon picornavirus B,GCF_000892795.1
Pigeon-dominant Coronavirus,nan
Pigeonpox virus,GCF_000922075.1
Pileated finch aveparvovirus,GCF_029884085.1
Pin virus,nan
Pingu picornavirus,GCF_018583705.1
Pink-eared duck avastrovirus,0
Pink-eared duck calicivirus I,0
Pink-eared duck calicivirus II,0
Pink-eared duck megrivirus,0
Pink-eared duck picobirnavirus,0
Pink-eared duck picornavirus,0
Plum headed parakeet adenovirus 1,0
Podargid alphaherpesvirus 1,0
Poecivirus A,GCF_003085835.1
Poecivirus NOCR-674,0
Poecivirus NOCR-848,0
Poecivirus RBNH-12,0
Poecivirus RBNH-929,0
Poecivirus sp.,nan
Poicephalus senegalus papillomavirus,nan
Polyomavirus erythrura5304,nan
Polyomavirus erythrura5362,nan
Polyomavirus odontophorus5057,nan
Polyomavirus phylloscopus4708,nan
Polyomavirus phylloscopus4853,nan
Polyomavirus prunella5215,nan
Polyomavirus pteridophora5384,nan
Polyomavirus saxicola5252a,nan
Polyomavirus sericulus5319,nan
Polyomavirus taeniopygia5555,nan
Polyomavirus zonotrichia5422,nan
Porcine epidemic diarrhea virus,nan
Porprismacovirus avias1,GCF_018587855.1
Porprismacovirus chicas2,GCF_018589255.1
Porprismacovirus chicas3,GCF_018589375.1
Porprismacovirus chicas4,GCF_018589325.1
Porprismacovirus chicas5,GCF_018589385.1
Porprismacovirus chicas6,GCF_018589355.1
Porprismacovirus chicas7,GCF_018589365.1
Porprismacovirus turas1,GCF_000918075.1
Powell virus,0
Protoparvovirus HK-2014,0
Protoparvovirus Udayana_MDPVA,0
Protoparvovirus Udayana_MDPVB,0
Protoparvovirus sp.,nan
Prunella montanella CRESS-DNA-virus sp.,nan
Prunella montanella Genomoviridae sp.,nan
Psittacid alphaherpesvirus 6,nan
Psittacid herpesvirus 3,0
Psittacidae CRESS-DNA-virus sp.,nan
Psittacidae Chaphamaparvovirus,nan
Psittacidae aveparvovirus,nan
Psittacidae dependoparvovirus,nan
Psittacidae parvo-like hybrid virus,nan
Psittacidae parvoviridae sp.,nan
Psittaciform aveparvovirus,nan
Psittaciform chaphamaparvovirus 3,nan
Psittaciform chaphamaparvovirus 4,nan
Psittaciform chaphamaparvovirus 5,nan
Psittaciform chaphamaparvovirus 6,nan
Psittaciform parvoviridae sp.,nan
Psittacine adenovirus 12,nan
Psittacine adenovirus 2,nan
Psittacine atadenovirus A,GCF_000929035.1
Psittacine aviadenovirus B,GCF_003032855.1
Psittacine aviadenovirus C,GCF_006425375.1
Psittacine chaphamaparvovirus 2,nan
Psittacine orthoreovirus AGPReo1983,0
Psittacine picornavirus,nan
Psittacine siadenovirus 1,0
Psittacine siadenovirus D,GCF_018586905.1
Psittacine siadenovirus E,GCF_018584825.1
Psittacine siadenovirus F,nan
Ptolmey virus,0
Puffin papillomavirus 1,0
Purple grenadier circovirus,nan
Pygoscepivirus A,0
Quail coronavirus Italy/Elvia/2005,0
Quail coronavirus UAE-HKU30,0
Quail deltacoronavirus,0
Quail picornavirus QPV1/HUN/2010,GCF_000895635.1
Quailpox virus,GCF_002829285.1
Quang Binh virus,nan
Quaranjavirus chadense,GCF_016848445.1
Quaranjavirus wellfleetense,GCF_000927955.1
RNA virus hoopoe/BBanka01/2015/HUN,0
RNA virus sp.,0
Raina virus,0
Raptor adenovirus,nan
Raptor siadenovirus A,GCF_000893535.1
Red-billed gull papillomavirus,nan
Red-capped plover megrivirus,0
Red-fronted serin circovirus,nan
Red-necked stint Picornavirus B-like,0
Red-necked stint avastrovirus,0
Red-necked stint gallivirus,0
Reoviridae sp.,nan
Reovirus sp.,0
Reticuloendotheliosis virus,GCF_000858025.1
Retroviridae sp.,nan
Rhabdoviridae sp.,GCF_029886045.1
Riboviria sp.,nan
Riiser virus,0
Rockhopper penguin papillomavirus,nan
Ross River virus,0
Ross virus,0
Rotavirus A,nan
Rotavirus D,GCF_000890155.1
Rotavirus F,GCF_000910335.1
Rotavirus G,GCF_001343825.1
Rotavirus sp.,nan
Rotavirus turkey/MN/D-000818/2008,0
Rotavirus turkey/MN/D-004782/2008,0
Rotavirus turkey/MN/D-005329/2008,0
Rotavirus turkey/MN/D-005331/2008,0
Rotavirus turkey/MN/D-007553/2007,0
Rotavirus turkey/MN/D-007554/2007,0
Rotavirus turkey/MN/D-007555/2007,0
Rotavirus turkey/MN/D-007861/2007,0
Rotavirus turkey/MN/D-007862/2007,0
Rotavirus turkey/MN/D-007863/2007,0
Rotavirus turkey/MN/D-016170/2008,0
Rotavirus turkey/MN/D-016171/2008,0
Rotavirus turkey/MN/D-022564/2008,0
Rotavirus turkey/MN/D-022565/2008,0
Rotavirus turkey/MN/D-035365/2007,0
Rotavirus turkey/MN/D-046159/2007,0
Rotavirus turkey/MN/D-047428/2008,0
Rotavirus turkey/MN/D-048814/2008,0
Rotavirus turkey/MN/D-049007/2007,0
Rotavirus turkey/MN/D-049317/2007,0
Rotavirus turkey/MN/D-052725/2007,0
Rotavirus turkey/MN/D-053540/2007,0
Rotavirus turkey/MN/D-053578/2007,0
Rotavirus turkey/MN/D-053706/2007,0
Rotavirus turkey/MN/D-053853/2007,0
Rotavirus turkey/MN/D-054413/2007,0
Rotavirus turkey/MN/D-055423/2007,0
Rotavirus turkey/MN/D-055431/2008,0
Rotavirus turkey/MN/D-055471/2008,0
Rotavirus turkey/MN/D-056058/2007,0
Rotavirus turkey/MN/D-056826/2007,0
Rotavirus turkey/MN/D-058211/2007,0
Rotavirus turkey/MN/D-058212/2007,0
Rotavirus turkey/MN/D-058648/2007,0
Rotavirus turkey/MN/D-059191/2007,0
Rotavirus turkey/MN/D-059867/2008,0
Rotavirus turkey/MN/D-22852/2007,0
Rous sarcoma virus,nan
Ruddy turnstone astrovirus,0
Ruddy turnstone calicivirus,0
Ruddy turnstone calicivirus A,0
Ruddy turnstone calicivirus B,0
Ruddy turnstone rotavirus,0
Rymill virus,0
Rynchops niger coronavirus,0
Salmonella phage DaR-2019a,0
Salmonella phage DaR-2019b,0
Salmonella phage SP1a,0
Sapelovirus sp.,nan
Schouten virus,0
Scott virus,0
Sedov virus,0
Senko virus,0
Serdyukov virus,0
Serinus canaria papillomavirus 1,GCF_004131485.1
Sewage-associated circular DNA virus,nan
Shackleton virus,0
Sharp-tailed sandpiper Picornavirus B-like,0
Shelduck calicivirus,0
Shelduck picobirnavirus I,0
Shelduck picobirnavirus II,0
Shelduck picobirnavirus III,0
Shelduck rhabdovirus,0
Shelvocke virus,0
Shirase virus,0
Shorebird deltacoronavirus,nan
Short beak and dwarfism syndrome virus,nan
Siadenovirus sp.,nan
Sicinivirus A,GCF_001443985.1
Sicinivirus sp.,nan
Sindbis virus,nan
Skua siadenovirus A,GCF_000895055.1
Smacoviridae sp.,GCF_018591145.1
Small anellovirus,0
Smith virus,0
Smooth billed ani adenovirus 1,0
Somov virus,0
South polar skua adenovirus-2,0
South polar skua adenovirus-3,0
South polar skua adenovirus-4,0
South polar skua adenovirus-5,0
Sparrow coronavirus HKU17,GCF_000868165.1
Sparrow deltacoronavirus,0
Spata circovirus,nan
Spheniscid alphaherpesvirus 2,nan
Spheniscus humboldti poxvirus,0
Strigid herpesvirus 1,0
Strix aluco herpesvirus,nan
Strix nebulosa herpesvirus,nan
Strix uralensis herpesvirus,nan
Stroud virus,0
Sturnus papillomavirus,nan
Sulid herpesvirus 1,0
Sunrhavirus alexandria,GCF_023156065.1
Sunrhavirus bimbo,nan
Sunrhavirus garba,GCF_013088625.1
Sunrhavirus kolongo,nan
Sunrhavirus matariya,GCF_023156095.1
Sunrhavirus nasoule,GCF_023155965.1
Sunrhavirus ouango,GCF_023156025.1
Sunrhavirus sandjimba,0
Sunrhavirus sunguru,GCF_000925655.1
Swan goose coronavirus,nan
Sylvia atricapilla herpesvirus,0
Syrmaticus ellioti CRESS-DNA-virus sp.,nan
Syrmaticus ellioti parvo-like hybrid virus,nan
Syrmaticus reevesii CRESS-DNA-virus sp.,nan
Tarbeyev virus,0
Tarsiger cyanurus CRESS-DNA-virus sp.,nan
Tarsiger cyanurus Genomoviridae sp.,nan
Tarsiger cyanurus parvoviridae sp.,nan
Tawny frogmouth aviadenovirus A,nan
Telmo virus,0
Temminck's stint calicivirus,nan
Tern adenovirus,nan
Tern atadenovirus 1,nan
Tetrao urogallus alphaherpesvirus 1,nan
Thalassarchid herpesvirus 1,0
Thetapapillomavirus 1,GCF_000841825.1
Thinornis picornavirus,nan
Thrush coronavirus HKU12-600,GCF_000883335.1
Tibet bird virus 1,nan
Tibet bird virus 2,nan
Tick-associated DNA virus,nan
Tick-associated circular DNA virus,nan
Tinamou hepatitis B virus,GCF_002219325.1
Tolstikov virus,0
Torque teno virus,nan
Totiviridae sp.,nan
Toutouwai hepatovirus,nan
Tragopan caboti CRESS-DNA-virus sp.,nan
Treisepsilonpapillomavirus 1,GCF_000920595.1
Treiszetapapillomavirus 1,GCF_000922895.1
Tremovirus A,nan
Treshnikov virus,0
Tropical screech owl adenovirus 1,0
Tunzelmann virus,0
Tupavirus durham,GCF_002815915.1
Turdid alphaherpesvirus 1,nan
Turdus hortulorum CRESS-DNA-virus sp.,nan
Turdus hortulorum parvoviridae sp.,nan
Turdus merula herpesvirus,nan
Turdus naumanni CRESS-DNA-virus sp.,nan
Turdus naumanni Ichthamaparvovirus,nan
Turdus naumanni parvoviridae sp.,nan
Turdus pallidus Chaphamaparvovirus,nan
Turdus pallidus parvoviridae sp.,nan
Turkey astrovirus,GCF_000857825.1
Turkey astrovirus 3,0
Turkey aviadenovirus 2,0
Turkey aviadenovirus B,GCF_000888635.1
Turkey aviadenovirus C,GCF_000912195.1
Turkey aviadenovirus D,GCF_000913655.1
Turkey parvovirus Croatia/Munt/2010,0
Turkey parvovirus Tu33/2010/HUN,0
Turkey parvovirus Tu762/2009/HUN,0
Turkey picobirnavirus,0
Turkey picornavirus,0
Turkey siadenovirus A,nan
Turkeypox virus,GCF_001431935.1
Tyabin virus,0
Tymoviridae sp. XZN137671,nan
Ui-te-Rangiora virus,0
Umatilla virus,GCF_000923315.1
Uukuvirus uriae,GCF_013086475.1
Varley virus,0
Venezuelan equine encephalitis virus,0
Vespucci virus,0
Virginian WCV avipoxvirus,0
Vultur gryphus poxvirus,0
Vulture herpesvirus,0
Waterbird gammacoronavirus 1,nan
Waterwitch virus,nan
Weivirus-like virus sp.,0
Wendell virus,0
Western equine encephalitis virus,0
Western jackdaw circovirus,nan
Whistler virus,nan
White-eye coronavirus HKU16,GCF_000896875.1
White-rumped seedeater circovirus,nan
WigFec circovirus 1,GCF_029886425.1
WigFec circovirus 2,GCF_029886435.1
Wigeon coronavirus HKU20,GCF_000895415.1
Wigfec virus K19_221,nan
Wigfec virus K19_227,nan
Wigfec virus K19_259,nan
Wigfec virus K19_292,nan
Wigfec virus K19_327,nan
Wigfec virus K19_346,nan
Wigfec virus K19_385,nan
Wigfec virus K19_426,nan
Wigfec virus K19_432,nan
Wigfec virus K19_435,nan
Wigfec virus K19_443,nan
Wigfec virus K19_448,nan
Wigfec virus K19_450,nan
Wigfec virus K19_454,nan
Wigfec virus K19_467,nan
Wigfec virus K19_469,nan
Wigfec virus K19_482,nan
Wigfec virus K19_484,nan
Wigfec virus K19_486,nan
Wigfec virus K19_493,nan
Wigfec virus K19_494,nan
Wigfec virus K19_511,nan
Wigfec virus K19_513,nan
Wigfec virus K19_521,nan
Wigfec virus K19_525,nan
Wigfec virus K19_526,nan
Wigfec virus K19_545,nan
Wigfec virus K19_555,nan
Wigfec virus K19_558,nan
Wigfec virus K19_561,nan
Wigfec virus K19_562,nan
Wigfec virus K19_571,nan
Wigfec virus K19_576,nan
Wigfec virus K19_588,nan
Wigfec virus K19_593,nan
Wigfec virus K19_598,nan
Wigfec virus K19_600,nan
Wigfec virus K19_605,nan
Wigfec virus K19_615,nan
Wigfec virus K19_623,nan
Wigfec virus K19_645,nan
Wigfec virus K19_654,nan
Wigfec virus K19_658,nan
Wigfec virus K19_668,nan
Wigfec virus K19_691,nan
Wilkes virus,0
Wood duck chaphamaparvovirus,nan
Wood duck megrivirus,nan
Wood pigeon astrovirus,nan
Yaounde-like virus Ave-Ghana/2007,0
Yellow-eyed penguin gyrovirus,nan
Yellow-eyed penguin megrivirus,nan
Yellow-eyed penguin picornavirus,nan
Yellow-fronted canary circovirus,nan
Zebra finch hepacivirus 1,nan
Zebra finch hepacivirus 2,nan
Zingilamo virus,nan
Zoothera dauma adenovirus,nan
bar-headed goose anativirus,nan
bar-headed goose hepatovirus,nan
bar-headed goose megrivirus,nan
black-headed gull deltacoronavirus,nan
common gull deltacoronavirus,nan
common gull gammacoronavirus,nan
cormorant polyomavirus 1,nan
crane CRESS-DNA virus,nan
d'Urville virus,0
de Castilla virus,0
de Gerlache virus,0
de Kerguelen virus,0
de Lozier virus,0
de Nodal virus,0
duck egg-reducing syndrome virus,nan
egret CRESS-DNA virus,nan
finch CRESS-DNA virus,nan
kestrel polyomavirus 1,nan
la Roche virus,0
le Maire virus,0
psittacine adenovirus 10,nan
psittacine adenovirus 8,nan
psittacine adenovirus 9,nan
robinz virus RP_1123,nan
robinz virus RP_1124,nan
robinz virus RP_116,nan
robinz virus RP_1170,nan
robinz virus RP_199,nan
robinz virus RP_212,nan
robinz virus RP_244,nan
robinz virus RP_258,nan
robinz virus RP_259,nan
robinz virus RP_326,nan
robinz virus RP_327,nan
robinz virus RP_334,nan
robinz virus RP_340,nan
robinz virus RP_369,nan
robinz virus RP_377,nan
robinz virus RP_380,nan
robinz virus RP_382,nan
robinz virus RP_384,nan
robinz virus RP_385,nan
robinz virus RP_386,nan
robinz virus RP_389,nan
robinz virus RP_390,nan
robinz virus RP_393,nan
robinz virus RP_404,nan
robinz virus RP_428,nan
robinz virus RP_429,nan
robinz virus RP_493,nan
robinz virus RP_513,nan
robinz virus RP_526,nan
robinz virus RP_584,nan
robinz virus RP_620,nan
robinz virus RP_736,nan
robinz virus RP_954,nan
robinz virus RP_99,nan
shorebird astrovirus,0
shorebird coronavirus,0
south polar skua adenovirus-6,0
ssDNA virus sp.,nan
tawny owl-associated circovirus,nan
trumpeter swan calicivirus,nan
unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,0
unidentified Avipoxvirus,0
unidentified adenovirus,0
unidentified influenza virus,nan
