,Species,NCBI Taxon ID,Order,Family,Genus
744,Mute swan feces associated partitiviridae J,2832162,Durnavirales,Partitiviridae,
745,Mute swan feces associated partitiviridae K,2832163,Durnavirales,Partitiviridae,
746,Mute swan feces associated partitiviridae L,2832164,Durnavirales,Partitiviridae,
747,Mute swan feces associated partitiviridae M,2832165,Durnavirales,Partitiviridae,
748,Mute swan feces associated partitiviridae N,2832166,Durnavirales,Partitiviridae,
749,Mute swan feces associated partitiviridae O,2832167,Durnavirales,Partitiviridae,
750,Mute swan feces associated partitiviridae 1,2832152,Durnavirales,Partitiviridae,
751,Mute swan feces associated picobirnavirus A,2832171,Durnavirales,Picobirnaviridae,Picobirnavirus
752,Mute swan feces associated picobirnavirus B,2832172,Durnavirales,Picobirnaviridae,Picobirnavirus
753,Mute swan feces associated picobirnavirus 1,2832168,Durnavirales,Picobirnaviridae,Picobirnavirus
754,Mute swan feces associated picobirnavirus 2,2832169,Durnavirales,Picobirnaviridae,Picobirnavirus
755,Mute swan feces associated picobirnavirus 3,2832170,Durnavirales,Picobirnaviridae,Picobirnavirus
756,Mute swan feces associated picorna-like virus 1,2832182,Picornavirales,,
757,Mute swan feces associated picorna-like virus 2,2832193,Picornavirales,,
758,Mute swan feces associated picorna-like virus 3,2832204,Picornavirales,,
759,Mute swan feces associated picorna-like virus 4,2832205,Picornavirales,,
760,Mute swan feces associated picorna-like virus 5,2832206,Picornavirales,,
761,Mute swan feces associated picorna-like virus 6,2832207,Picornavirales,,
762,Mute swan feces associated picorna-like virus 7,2832208,Picornavirales,,
763,Mute swan feces associated picorna-like virus 8,2832209,Picornavirales,,
764,Mute swan feces associated picorna-like virus 9,2832210,Picornavirales,,
765,Mute swan feces associated picorna-like virus 10,2832183,Picornavirales,,
766,Mute swan feces associated picorna-like virus 11,2832184,Picornavirales,,
767,Mute swan feces associated picorna-like virus 12,2832185,Picornavirales,,
768,Mute swan feces associated picorna-like virus 13,2832186,Picornavirales,,
769,Mute swan feces associated picorna-like virus 14,2832187,Picornavirales,,
770,Mute swan feces associated picorna-like virus 15,2832188,Picornavirales,,
771,Mute swan feces associated picorna-like virus 16,2832189,Picornavirales,,
772,Mute swan feces associated picorna-like virus 17,2832190,Picornavirales,,
773,Mute swan feces associated picorna-like virus 18,2832191,Picornavirales,,
774,Mute swan feces associated picorna-like virus 19,2832192,Picornavirales,,
775,Mute swan feces associated picorna-like virus 20,2832194,Picornavirales,,
776,Mute swan feces associated picorna-like virus 21,2832195,Picornavirales,,
777,Mute swan feces associated picorna-like virus 22,2832196,Picornavirales,,
778,Mute swan feces associated picorna-like virus 23,2832197,Picornavirales,,
779,Mute swan feces associated picorna-like virus 24,2832198,Picornavirales,,
780,Mute swan feces associated picorna-like virus 25,2832199,Picornavirales,,
781,Mute swan feces associated picorna-like virus 26,2832200,Picornavirales,,
782,Mute swan feces associated picorna-like virus 27,2832201,Picornavirales,,
783,Mute swan feces associated picorna-like virus 28,2832202,Picornavirales,,
784,Mute swan feces associated picorna-like virus 29,2832203,Picornavirales,,
785,Mute swan feces associated sapelovirus 1,2832245,Picornavirales,Picornaviridae,Sapelovirus
786,Mute swan feces associated sapelovirus 2,2832246,Picornavirales,Picornaviridae,Sapelovirus
787,Mute swan feces associated sapelovirus 3,2832247,Picornavirales,Picornaviridae,Sapelovirus
788,Mute swan feces associated toti-like virus 1,2832222,Ghabrivirales,Totiviridae,
789,Mute swan feces associated toti-like virus 2,2832223,Ghabrivirales,Totiviridae,
790,Mute swan feces associated toti-like virus 3,2832224,Ghabrivirales,Totiviridae,
791,Phasianus chaphamaparvovirus,2944714,Piccovirales,Parvoviridae,Chaphamaparvovirus
792,Orthoavulavirus sp.,2809629,Mononegavirales,Paramyxoviridae,Orthoavulavirus
793,Metaavulavirus sp.,2809562,Mononegavirales,Paramyxoviridae,Metaavulavirus
794,Picornavirales sp.,1955153,Picornavirales,,
795,Gyrovirus 3,2583049,,Anelloviridae,Gyrovirus
796,Finchpox virus,2940294,Chitovirales,Poxviridae,Avipoxvirus
797,Finch poxvirus,2928837,Chitovirales,Poxviridae,
798,Albatrosspox virus,2811222,Chitovirales,Poxviridae,
799,Duck adenovirus 4,2726020,Rowavirales,Adenoviridae,Aviadenovirus
800,Dependoparvovirus sp.,2052559,Piccovirales,Parvoviridae,Dependoparvovirus
801,Orthoreovirus sp.,2558258,Reovirales,Spinareoviridae,Orthoreovirus
802,Rotavirus sp.,10970,Reovirales,Sedoreoviridae,Rotavirus
803,Anativirus sp.,2809150,Picornavirales,Picornaviridae,Anativirus
804,Aveparvovirus sp.,2715213,Piccovirales,Parvoviridae,Aveparvovirus
805,Caliciviridae sp.,1916234,Picornavirales,Caliciviridae,
806,Huchismacovirus sp.,2809473,Cremevirales,Smacoviridae,Huchismacovirus
807,Sicinivirus sp.,1930506,Picornavirales,Picornaviridae,Sicinivirus
808,Orthoavulavirus koreaense,3051382,Mononegavirales,Paramyxoviridae,Orthoavulavirus
809,Metaavulavirus taiwanense,3051370,Mononegavirales,Paramyxoviridae,Metaavulavirus
810,Strix uralensis herpesvirus,2489503,Herpesvirales,,
811,Aquila chrysaetos herpesvirus,2928392,Herpesvirales,,
812,Falco tinnunculus herpesvirus,2928397,Herpesvirales,,
813,Asio otus herpesvirus,2489501,Herpesvirales,,
814,Strix aluco herpesvirus,2928400,Herpesvirales,,
815,Larus argentatus herpesvirus,2928398,Herpesvirales,,
816,Corvus cornix herpesvirus,2928395,Herpesvirales,,
817,Corvus monedula herpesvirus,2928396,Herpesvirales,,
818,Chloris chloris herpesvirus,2928394,Herpesvirales,,
819,Passer domesticus herpesvirus,2928399,Herpesvirales,,
820,Turdus merula herpesvirus,2717891,Herpesvirales,,
821,Columba palumbus herpesvirus,2928402,Herpesvirales,,
822,Pheasant-associated gyrovirus,2926920,,Anelloviridae,Gyrovirus
823,Little bittern circovirus,2922909,Cirlivirales,Circoviridae,Circovirus
824,European bee-eater circovirus,2922908,Cirlivirales,Circoviridae,Circovirus
825,Avian picobirnavirus,2919602,Durnavirales,Picobirnaviridae,Picobirnavirus
826,Psittacine chaphamaparvovirus 2,2917163,Piccovirales,Parvoviridae,Chaphamaparvovirus
827,Falcon aviadenovirus A,692069,Rowavirales,Adenoviridae,Aviadenovirus
828,Morbillivirus canis,3052342,Mononegavirales,Paramyxoviridae,Morbillivirus
829,Ciconiid herpesvirus 1,2605648,Herpesvirales,,
830,Tern atadenovirus 1,2913659,Rowavirales,Adenoviridae,Atadenovirus
831,Owl adenovirus,2853431,Rowavirales,Adenoviridae,Aviadenovirus
832,Ghabrivirales sp.,2809433,Ghabrivirales,,
833,Partitiviridae sp.,1955170,Durnavirales,Partitiviridae,
834,Durnavirales sp.,2809355,Durnavirales,,
835,Hedwig virus,2884278,Bunyavirales,Peribunyaviridae,
836,Poicephalus senegalus papillomavirus,2876998,Zurhausenvirales,Papillomaviridae,
837,cormorant polyomavirus 1,2896467,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
838,robinz virus RP_259,2886397,Cirlivirales,Circoviridae,Cyclovirus
839,robinz virus RP_493,2886398,Cirlivirales,Circoviridae,Cyclovirus
840,robinz virus RP_526,2886399,Cirlivirales,Circoviridae,Cyclovirus
841,robinz virus RP_584,2886400,Cirlivirales,Circoviridae,Cyclovirus
842,robinz virus RP_620,2886401,Cirlivirales,Circoviridae,Cyclovirus
843,robinz virus RP_736,2886402,Cirlivirales,Circoviridae,Cyclovirus
844,robinz virus RP_954,2886403,Cirlivirales,Circoviridae,Cyclovirus
845,robinz virus RP_1123,2886404,Cirlivirales,Circoviridae,Cyclovirus
846,robinz virus RP_1124,2886405,Cirlivirales,Circoviridae,Cyclovirus
847,robinz virus RP_1170,2886406,Cirlivirales,Circoviridae,Cyclovirus
848,robinz virus RP_99,2886407,Geplafuvirales,Genomoviridae,Gemycircularvirus
849,robinz virus RP_369,2886408,Geplafuvirales,Genomoviridae,Gemycircularvirus
850,robinz virus RP_380,2886409,Geplafuvirales,Genomoviridae,Gemycircularvirus
851,robinz virus RP_384,2886410,Geplafuvirales,Genomoviridae,Gemycircularvirus
852,robinz virus RP_385,2886411,Geplafuvirales,Genomoviridae,Gemycircularvirus
853,robinz virus RP_393,2886412,Geplafuvirales,Genomoviridae,Gemycircularvirus
854,robinz virus RP_116,2886413,Geplafuvirales,Genomoviridae,Gemykibivirus
855,robinz virus RP_199,2886414,Geplafuvirales,Genomoviridae,Gemykibivirus
856,robinz virus RP_326,2886415,Geplafuvirales,Genomoviridae,Gemykibivirus
857,robinz virus RP_377,2886416,Geplafuvirales,Genomoviridae,Gemykibivirus
858,robinz virus RP_390,2886417,Geplafuvirales,Genomoviridae,Gemykroznavirus
859,robinz virus RP_212,2886418,,,
860,robinz virus RP_258,2886419,,,
861,robinz virus RP_382,2886420,,,
862,robinz virus RP_389,2886421,,,
863,robinz virus RP_244,2886422,,,
864,robinz virus RP_327,2886423,,,
865,robinz virus RP_334,2886424,,,
866,robinz virus RP_340,2886425,,,
867,robinz virus RP_386,2886430,Geplafuvirales,Genomoviridae,Gemykibivirus
868,robinz virus RP_404,2886426,,,
869,robinz virus RP_428,2886427,,,
870,robinz virus RP_429,2886428,,,
871,robinz virus RP_513,2886429,,,
872,Orthoflavivirus saumarezense,3048314,Amarillovirales,Flaviviridae,Orthoflavivirus
873,Pin virus,2880959,,,
874,Myna hepatovirus,2880957,Picornavirales,Picornaviridae,Hepatovirus
875,Myna chaphamaparvovirus,2880956,Piccovirales,Parvoviridae,Chaphamaparvovirus
876,Myna calicivirus,2880955,Picornavirales,Caliciviridae,
877,Myna siadenovirus,2880958,Rowavirales,Adenoviridae,Siadenovirus
878,Myna aviadenovirus,2880954,Rowavirales,Adenoviridae,Aviadenovirus
879,Chicken proventriculitis-associated circular virus 7,2875666,,,
880,Chicken proventriculitis-associated circular virus 8,2875667,,,
881,Chicken proventriculitis-associated circular virus 9,2875668,,,
882,Chicken proventriculitis-associated circular virus 10,2875663,,,
883,Chicken proventriculitis-associated circular virus 11,2875664,,,
884,Chicken proventriculitis-associated circular virus 12,2875665,,,
885,egret CRESS-DNA virus,2878719,Geplafuvirales,Genomoviridae,
886,crane CRESS-DNA virus,2878718,Geplafuvirales,Genomoviridae,
887,finch CRESS-DNA virus,2878720,Geplafuvirales,Genomoviridae,
888,Passer montanus pegivirus,2824657,Amarillovirales,Flaviviridae,Pegivirus
889,Leucosticte brandti pegivirus,2824655,Amarillovirales,Flaviviridae,Pegivirus
890,Montifringilla taczanowskii pegivirus,2824656,Amarillovirales,Flaviviridae,Pegivirus
891,Picobirnavirus sp.,1907787,Durnavirales,Picobirnaviridae,Picobirnavirus
892,Chicken proventriculitis-associated circular virus 1,2875658,,,
893,Chicken proventriculitis-associated circular virus 2,2875659,,,
894,Chicken proventriculitis-associated circular virus 3,2875660,,,
895,Chicken proventriculitis-associated circular virus 4,2875661,,,
896,Chicken proventriculitis-associated circular virus 5,2875662,,,
897,Chicken proventriculitis-associated circular virus 14,2875669,,,
898,Chicken proventriculitis-associated circular virus 15,2875670,,,
899,Chicken proventriculitis-associated circular virus 16,2875671,,,
900,Chicken proventriculitis-associated circular virus 18,2875673,,,
901,Chicken proventriculitis-associated circular virus 20,2875675,,,
902,Chicken proventriculitis-associated circular virus 22,2875677,,,
903,Chicken proventriculitis-associated circular virus 23,2875678,,,
904,Chicken proventriculitis-associated circular virus 24,2875679,,,
905,Chicken proventriculitis-associated circular virus 27,2875681,,,
906,Chicken proventriculitis-associated circular virus 17,2875672,,,
907,Chicken proventriculitis-associated circular virus 19,2875674,,,
908,Chicken proventriculitis-associated circular virus 21,2875676,,,
909,Chicken proventriculitis-associated circular virus 26,2875680,,,
910,Chicken proventriculitis-associated circular virus 28,2875682,,,
911,Chicken proventriculitis-associated circular virus 29,2875683,,,
912,Chicken proventriculitis-associated circular virus 30,2875684,,,
913,Nodaviridae sp.,1955166,Nodamuvirales,Nodaviridae,
914,Chuviridae sp.,2809007,Jingchuvirales,Chuviridae,
915,Totiviridae sp.,1955172,Ghabrivirales,Totiviridae,
916,Reoviridae sp.,2585267,Reovirales,,
917,Luteoviridae sp.,1955165,Tolivirales,,
918,Sapelovirus sp.,2809836,Picornavirales,Picornaviridae,Sapelovirus
919,Tymoviridae sp. XZN137671,2836004,Tymovirales,Tymoviridae,
920,Tibet bird virus 2,2836149,,,
921,Tibet bird virus 1,2836148,,,
922,Guinea fowl picornavirus,2817032,Picornavirales,Picornaviridae,
923,Tern adenovirus,2820437,Rowavirales,Adenoviridae,
924,Coronavirus HKU15,1965089,Nidovirales,Coronaviridae,Deltacoronavirus
925,Red-billed gull papillomavirus,2862952,Zurhausenvirales,Papillomaviridae,
926,Picobirnaviridae sp. gcode 3,2857096,Durnavirales,Picobirnaviridae,
927,Anser fabalis coronavirus NCN2,2860474,Nidovirales,Coronaviridae,Gammacoronavirus
928,Avisivirus sp.,2809172,Picornavirales,Picornaviridae,Avisivirus
929,Bavovirus sp.,2809180,Picornavirales,Caliciviridae,Bavovirus
930,Shorebird deltacoronavirus,2776968,Nidovirales,Coronaviridae,Deltacoronavirus
931,Cataraqui virus,2776967,Reovirales,Spinareoviridae,Orthoreovirus
932,Waterwitch virus,2776963,Picornavirales,Picornaviridae,
933,Whistler virus,2776964,Picornavirales,Picornaviridae,
934,Maypo virus,2776959,Reovirales,Sedoreoviridae,Rotavirus
935,Neva virus,2776960,Stellavirales,Astroviridae,
936,Netherby virus,2776965,Picornavirales,Picornaviridae,
937,Blencathra virus,2776961,Stellavirales,Astroviridae,
938,Carnarvon virus,2776962,Stellavirales,Astroviridae,
939,Duck coronavirus 2714,2734510,Nidovirales,Coronaviridae,Gammacoronavirus
940,Loch Leven virus,2776924,Picornavirales,Picornaviridae,Hepatovirus
941,British Admiral virus,2776966,Picornavirales,Picornaviridae,
942,Bruthen virus,2776920,Bunyavirales,Phenuiviridae,Phlebovirus
943,Caudoviricetes sp.,2832643,,,
944,Avulavirus sp.,2493083,Mononegavirales,Paramyxoviridae,
945,Avian bornavirus,675389,Mononegavirales,Bornaviridae,
946,Turdus naumanni parvoviridae sp.,2794525,Piccovirales,Parvoviridae,
947,Psittacidae parvoviridae sp.,2794536,Piccovirales,Parvoviridae,
948,Phylloscopus schwarzi parvoviridae sp.,2794533,Piccovirales,Parvoviridae,
949,Cecropis daurica parvoviridae sp.,2794470,Piccovirales,Parvoviridae,
950,Emberiza pusilla parvoviridae sp.,2794477,Piccovirales,Parvoviridae,
951,Ciconia boyciana parvoviridae sp.,2794472,Piccovirales,Parvoviridae,
952,Cyanopica cyanus parvoviridae sp.,2794473,Piccovirales,Parvoviridae,
953,Dendrocopos leucotos parvoviridae sp.,2794475,Piccovirales,Parvoviridae,
954,Emberiza chrysophrys parvoviridae sp.,2794476,Piccovirales,Parvoviridae,
955,Ficedula mugimaki parvoviridae sp.,2794480,Piccovirales,Parvoviridae,
956,Lophura nycthemera parvoviridae sp.,2794483,Piccovirales,Parvoviridae,
957,Luscinia cyane parvoviridae sp.,2794513,Piccovirales,Parvoviridae,
958,Luscinia sibilans parvoviridae sp.,2794516,Piccovirales,Parvoviridae,
959,Phoenicurus auroreus parvoviridae sp.,2794531,Piccovirales,Parvoviridae,
960,Phylloscopus fuscatus parvoviridae sp.,2794534,Piccovirales,Parvoviridae,
961,Phylloscopus inornatus parvoviridae sp.,2794539,Piccovirales,Parvoviridae,
962,Tarsiger cyanurus parvoviridae sp.,2794540,Piccovirales,Parvoviridae,
963,Emberiza spodocephala parvoviridae sp.,2794481,Piccovirales,Parvoviridae,
964,Lanius cristatus parvoviridae sp.,2794482,Piccovirales,Parvoviridae,
965,Emberiza tristrami Genomoviridae sp.,2814951,Geplafuvirales,Genomoviridae,
966,Fringilla montifringilla Genomoviridae sp.,2814960,Geplafuvirales,Genomoviridae,
967,Goose pegivirus 1,2830620,Amarillovirales,Flaviviridae,Pegivirus
968,Goose pegivirus 2,2830621,Amarillovirales,Flaviviridae,Pegivirus
969,Enquatrovirus sp.,2821802,,Schitoviridae,Enquatrovirus
970,Phoenicopteridae parvo-like hybrid virus,2794528,Piccovirales,Parvoviridae,
971,Pavo cristatus parvo-like hybrid virus,2794523,Piccovirales,Parvoviridae,
972,Grus japonensis parvoviridae sp.,2794512,Piccovirales,Parvoviridae,
973,Phylloscopus proregulus Ichthamaparvovirus,2794550,Piccovirales,Parvoviridae,Ichthamaparvovirus
974,Phylloscopus fuscatus Ichthamaparvovirus,2794549,Piccovirales,Parvoviridae,Ichthamaparvovirus
975,Emberiza pusilla parvo-like hybrid virus,2794510,Piccovirales,Parvoviridae,
976,Periparus ater parvoviridae sp.,2794527,Piccovirales,Parvoviridae,
977,Motacilla cinerea parvoviridae sp.,2794518,Piccovirales,Parvoviridae,
978,Periparus ater Ichthamaparvovirus,2794548,Piccovirales,Parvoviridae,Ichthamaparvovirus
979,Grus japonensis parvo-like hybrid virus,2794511,Piccovirales,Parvoviridae,
980,Turdus pallidus parvoviridae sp.,2794526,Piccovirales,Parvoviridae,
981,Phoenicopteridae parvoviridae sp.,2794529,Piccovirales,Parvoviridae,
982,Turdus naumanni Ichthamaparvovirus,2794551,Piccovirales,Parvoviridae,Ichthamaparvovirus
983,Emberiza rustica CRESS-DNA-virus sp.,2815032,,,
984,Emberiza spodocephala CRESS-DNA-virus sp.,2815033,,,
985,Fringilla montifringilla CRESS-DNA-virus sp.,2815044,,,
986,Syrmaticus ellioti CRESS-DNA-virus sp.,2815058,,,
987,Aegithalos caudatus CRESS-DNA-virus sp.,2815021,,,
988,Emberiza elegans CRESS-DNA-virus sp.,2815031,,,
989,Ficedula parva CRESS-DNA-virus sp.,2815036,,,
990,Carpodacus sibiricus Genomoviridae sp.,2814940,Geplafuvirales,Genomoviridae,
991,Cecropis daurica Genomoviridae sp.,2814941,Geplafuvirales,Genomoviridae,
992,Tarsiger cyanurus Genomoviridae sp.,2814994,Geplafuvirales,Genomoviridae,
993,Phoenicopterus roseus parvo-like hybrid virus,2794530,Piccovirales,Parvoviridae,
994,Pavo cristatus parvoviridae sp.,2794524,Piccovirales,Parvoviridae,
995,Ficedula parva parvoviridae sp.,2794506,Piccovirales,Parvoviridae,
996,Emberiza rustica parvoviridae sp.,2794478,Piccovirales,Parvoviridae,
997,Aegithalos caudatus parvoviridae sp.,2794464,Piccovirales,Parvoviridae,
998,Ara ararauna Chaphamaparvovirus,2794484,Piccovirales,Parvoviridae,Chaphamaparvovirus
999,Chrysolophuspictus parvoviridae sp.,2794471,Piccovirales,Parvoviridae,
1000,Cygnus atratus Chaphamaparvovirus,2794485,Piccovirales,Parvoviridae,Chaphamaparvovirus
1001,Nandayus nenday parvoviridae sp.,2794519,Piccovirales,Parvoviridae,
1002,Phylloscopus parvoviridae sp.,2794563,Piccovirales,Parvoviridae,
1003,Psittacidae parvo-like hybrid virus,2794535,Piccovirales,Parvoviridae,
1004,Psittacidae aveparvovirus,2794556,Piccovirales,Parvoviridae,Aveparvovirus
1005,Fringilla montifringilla parvoviridae sp.,2794507,Piccovirales,Parvoviridae,
1006,Cygnus columbianus parvoviridae sp.,2794474,Piccovirales,Parvoviridae,
1007,Emberiza pusilla Chaphamaparvovirus,2794488,Piccovirales,Parvoviridae,Chaphamaparvovirus
1008,Dendrocopos leucotos Chaphamaparvovirus,2794487,Piccovirales,Parvoviridae,Chaphamaparvovirus
1009,Passer montanus parvoviridae sp.,2794522,Piccovirales,Parvoviridae,
1010,Nandayus nenday Chaphamaparvovirus,2794493,Piccovirales,Parvoviridae,Chaphamaparvovirus
1011,Luscinia cyane Ichthamaparvovirus,2794553,Piccovirales,Parvoviridae,Ichthamaparvovirus
1012,Luscinia cyane Chaphamaparvovirus,2794491,Piccovirales,Parvoviridae,Chaphamaparvovirus
1013,Grus japonensis Chaphamaparvovirus,2794490,Piccovirales,Parvoviridae,Chaphamaparvovirus
1014,Fringilla montifringilla Chaphamaparvovirus,2794489,Piccovirales,Parvoviridae,Chaphamaparvovirus
1015,Cygnus columbianus parvo-like hybrid virus,2794509,Piccovirales,Parvoviridae,
1016,Ara ararauna aveparvovirus,2794555,Piccovirales,Parvoviridae,Aveparvovirus
1017,Turdus pallidus Chaphamaparvovirus,2794492,Piccovirales,Parvoviridae,Chaphamaparvovirus
1018,Turdus hortulorum parvoviridae sp.,2794538,Piccovirales,Parvoviridae,
1019,Parus major parvoviridae sp.,2794521,Piccovirales,Parvoviridae,
1020,Motacilla cinerea parvo-like hybrid virus,2794517,Piccovirales,Parvoviridae,
1021,Lophura nycthemera aveparvovirus,2794554,Piccovirales,Parvoviridae,Aveparvovirus
1022,Psittacidae Chaphamaparvovirus,2794494,Piccovirales,Parvoviridae,Chaphamaparvovirus
1023,Phylloscopus proregulus parvoviridae sp.,2794532,Piccovirales,Parvoviridae,
1024,Syrmaticus ellioti parvo-like hybrid virus,2794537,Piccovirales,Parvoviridae,
1025,Otus scops parvoviridae sp.,2794520,Piccovirales,Parvoviridae,
1026,Garrulus glandarius parvoviridae sp.,2794508,Piccovirales,Parvoviridae,
1027,Ara severa parvoviridae sp.,2794467,Piccovirales,Parvoviridae,
1028,Accipiter gentilis parvoviridae sp.,2794463,Piccovirales,Parvoviridae,
1029,Ara ararauna parvoviridae sp.,2794466,Piccovirales,Parvoviridae,
1030,Carpodacus sibiricus parvoviridae sp.,2794469,Piccovirales,Parvoviridae,
1031,Cygnus atratus parvoviridae sp.,2794505,Piccovirales,Parvoviridae,
1032,Luscinia sibilans parvo-like hybrid virus,2794515,Piccovirales,Parvoviridae,
1033,Accipiter gentilis parvo-like hybrid virus,2794564,Piccovirales,Parvoviridae,
1034,Anser anser dependoparvovirus,2794569,Piccovirales,Parvoviridae,Dependoparvovirus
1035,Arundinax aedon parvoviridae sp.,2794465,Piccovirales,Parvoviridae,
1036,Bonasa bonasia parvoviridae sp.,2794468,Piccovirales,Parvoviridae,
1037,Ciconia boyciana parvo-like hybrid virus,2794504,Piccovirales,Parvoviridae,
1038,Phylloscopus proregulus Brevihamaparvovirus,2794566,Piccovirales,Parvoviridae,Brevihamaparvovirus
1039,Cygnus columbianus Chaphamaparvovirus,2794486,Piccovirales,Parvoviridae,Chaphamaparvovirus
1040,Emberiza tristrami parvoviridae sp.,2794479,Piccovirales,Parvoviridae,
1041,Ciconia boyciana Circoviridae sp.,2814997,Cirlivirales,Circoviridae,
1042,Fringilla montifringilla Circoviridae sp.,2815000,Cirlivirales,Circoviridae,
1043,Periparus ater Circoviridae sp.,2815004,Cirlivirales,Circoviridae,
1044,Motacilla cinerea Circoviridae sp.,2815002,Cirlivirales,Circoviridae,
1045,Anser anser CRESS-DNA-virus sp.,2815022,,,
1046,Ciconia boyciana CRESS-DNA-virus sp.,2815024,,,
1047,Cygnus atratus CRESS-DNA-virus sp.,2815026,,,
1048,Cygnus columbianus CRESS-DNA-virus sp.,2815027,,,
1049,Emberiza chrysophrys CRESS-DNA-virus sp.,2815029,,,
1050,Ficedula mugimaki CRESS-DNA-virus sp.,2815035,,,
1051,Grus japonensis CRESS-DNA-virus sp.,2815045,,,
1052,Luscinia calliope CRESS-DNA-virus sp.,2815039,,,
1053,Motacilla cinerea CRESS-DNA-virus sp.,2815043,,,
1054,Nandayus nenday CRESS-DNA-virus sp.,2815047,,,
1055,Pavo cristatus CRESS-DNA-virus sp.,2815049,,,
1056,Periparus ater CRESS-DNA-virus sp.,2815050,,,
1057,Phoenicopteridae CRESS-DNA-virus sp.,2815051,,,
1058,Phoenicurus auroreus CRESS-DNA-virus sp.,2815053,,,
1059,Phylloscopus tenellipes CRESS-DNA-virus sp.,2815055,,,
1060,Psittacidae CRESS-DNA-virus sp.,2815057,,,
1061,Syrmaticus reevesii CRESS-DNA-virus sp.,2815059,,,
1062,Tarsiger cyanurus CRESS-DNA-virus sp.,2815060,,,
1063,Tragopan caboti CRESS-DNA-virus sp.,2815061,,,
1064,Turdus hortulorum CRESS-DNA-virus sp.,2815062,,,
1065,Acanthis flammea CRESS-DNA-virus sp.,2815018,,,
1066,Cecropis daurica CRESS-DNA-virus sp.,2815023,,,
1067,Chrysolophus pictus CRESS-DNA-virus sp.,2815020,,,
1068,Cyanopica cyanus CRESS-DNA-virus sp.,2815025,,,
1069,Dendrocopos leucotos CRESS-DNA-virus sp.,2815028,,,
1070,Emberiza cioides CRESS-DNA-virus sp.,2815030,,,
1071,Emberiza tristrami CRESS-DNA-virus sp.,2815034,,,
1072,Grus monacha CRESS-DNA-virus sp.,2815037,,,
1073,Luscinia cyane CRESS-DNA-virus sp.,2815040,,,
1074,Luscinia sibilans CRESS-DNA-virus sp.,2815041,,,
1075,Muscicapa latirostris CRESS-DNA-virus sp.,2815046,,,
1076,Otus scops CRESS-DNA-virus sp.,2815048,,,
1077,Phoenicopterus roseus CRESS-DNA-virus sp.,2815052,,,
1078,Phylloscopus fuscatus CRESS-DNA-virus sp.,2815054,,,
1079,Prunella montanella CRESS-DNA-virus sp.,2815056,,,
1080,Turdus naumanni CRESS-DNA-virus sp.,2815063,,,
1081,Emberiza rustica Genomoviridae sp.,2814949,Geplafuvirales,Genomoviridae,
1082,Emberiza spodocephala Genomoviridae sp.,2814950,Geplafuvirales,Genomoviridae,
1083,Prunella montanella Genomoviridae sp.,2814991,Geplafuvirales,Genomoviridae,
1084,Bobaya virus,2818228,Bunyavirales,Peribunyaviridae,Orthobunyavirus
1085,Gull adenovirus,1306817,Rowavirales,Adenoviridae,
1086,Aalivirus A,2169685,Picornavirales,Picornaviridae,Aalivirus
1087,Foot-and-mouth disease virus,12110,Picornavirales,Picornaviridae,Aphthovirus
1088,Deltacoronavirus HNU1-1,2814911,Nidovirales,Coronaviridae,Deltacoronavirus
1089,Deltacoronavirus HNU1-2,2814912,Nidovirales,Coronaviridae,Deltacoronavirus
1090,Deltacoronavirus HNU3,2814913,Nidovirales,Coronaviridae,Deltacoronavirus
1091,Deltacoronavirus HNU2,2814914,Nidovirales,Coronaviridae,Deltacoronavirus
1092,Orthoflavivirus encephalitidis,3052465,Amarillovirales,Flaviviridae,Orthoflavivirus
1093,Mudlarkpox virus,2811215,Chitovirales,Poxviridae,
1094,Penguinpox virus 2,2811223,Chitovirales,Poxviridae,
1095,Duck-associated chapparvovirus,2810801,Piccovirales,Parvoviridae,Chapparvovirus
1096,French Guiana picornavirus,2803188,Picornavirales,Picornaviridae,
1097,French Guiana reovirus,2803189,Reovirales,,
1098,Orthobunyavirus bataiense,3052371,Bunyavirales,Peribunyaviridae,Orthobunyavirus
1099,Pacific black duck aviadenovirus,2798287,Rowavirales,Adenoviridae,Aviadenovirus
1100,Grey teal gyrovirus,2798291,,Anelloviridae,Gyrovirus
1101,Pacific black duck calicivirus,2798288,Picornavirales,Caliciviridae,
1102,Pacific black duck astrovirus,2798286,Stellavirales,Astroviridae,
1103,Pacific black duck orthoreovirus,2798289,Reovirales,Spinareoviridae,Orthoreovirus
1104,Chestnut teal astrovirus,2798290,Stellavirales,Astroviridae,
1105,Chaphamaparvovirus gyb-MR3/2015/HUN,2785213,Piccovirales,Parvoviridae,Chaphamaparvovirus
1106,Montifringilla taczanowskii coronavirus N,2794340,Nidovirales,Coronaviridae,Deltacoronavirus
1107,Middelburg virus,11023,Martellivirales,Togaviridae,Alphavirus
1108,Gyrovirus 9,2781379,,Anelloviridae,Gyrovirus
1109,Duck ssDNA virus,2781382,,,
1110,Avian gyrovirus 13,2781374,,Anelloviridae,Gyrovirus
1111,Gyrovirus VC5,2781380,,Anelloviridae,Gyrovirus
1112,Gyrovirus VC7,2781381,,Anelloviridae,Gyrovirus
1113,Duck associated circular virus VC9,2781378,Geplafuvirales,Genomoviridae,
1114,Duck genomovirus VC16,2781375,Geplafuvirales,Genomoviridae,
